gene	padj	log2FoldChange	pvalue
ENSG00000039068.19_8	3.06130674045577e-167	5.35191501939892	1.93900857642245e-171
ENSG00000099994.11_5	2.89932669964024e-80	4.73942961072372	5.50923492457607e-84
ENSG00000163993.7_5	2.69233005602538e-39	4.3470470618503	3.24007290755525e-42
ENSG00000062038.14_6	1.25245871897716e-54	3.88927976121822	5.55308527542444e-58
ENSG00000181143.15_7	2.29438422727012e-51	3.5874501358257	1.3079210821783e-54
ENSG00000261150.3_5	2.87598862275302e-47	3.40952310402061	2.0037924278112e-50
ENSG00000136155.17_5	9.98245885694043e-20	3.40262856770563	3.98337286538667e-22
ENSG00000203697.12_8	1.50897878335986e-24	3.17632588382894	4.10983580469179e-27
ENSG00000196542.8_4	7.62466919670179e-06	2.94584370006902	2.19255118780251e-07
ENSG00000163347.6_6	1.35385771522491e-39	2.83628436990783	1.54354185926326e-42
ENSG00000185499.16_8	2.13991075696752e-92	2.81333237302748	2.71080663411137e-96
ENSG00000137699.17_7	1.26960804201024e-27	2.76357668916644	2.97539254841517e-30
ENSG00000214049.8_8	1.16823644716541e-57	2.75703165547517	4.43971287242997e-61
ENSG00000073350.14_6	3.84750939515227e-54	2.7463138844479	1.94958672163784e-57
ENSG00000147676.14_5	1.96834786796218e-60	2.67896255268678	6.23368339233017e-64
ENSG00000083307.12_8	1.6238145445616e-19	2.6498041615231	6.68532717231466e-22
ENSG00000163083.6_5	5.75705587908576e-65	2.64162634422069	1.4585902911289e-68
ENSG00000167703.15_6	2.62604429182013e-40	2.61419027819147	2.82763826709793e-43
ENSG00000166145.14_5	5.67404620280483e-45	2.46943053132842	4.67206743326975e-48
ENSG00000177494.6_6	1.95228206169345e-10	2.42538457770075	2.36183097151919e-12
ENSG00000142347.19_10	2.94631579629289e-23	2.38821219874593	8.58440123064815e-26
ENSG00000026751.17_6	3.24679734202597e-49	2.38062582709906	2.05649692299592e-52
ENSG00000131242.18_7	3.18118584706857e-10	2.35323146608952	3.96943002199460e-12
ENSG00000149418.11_5	9.71642976111222e-30	2.34887266826028	1.96938024040785e-32
ENSG00000168874.13_5	6.49417319691638e-14	2.31249715445108	4.8126315178567e-16
ENSG00000064787.13_7	8.22974065967647e-12	2.26598428012023	7.81898339847651e-14
ENSG00000106537.8_5	3.81156682878055e-36	2.21884057132056	5.06985706893789e-39
ENSG00000160255.18_10	4.82970255503457e-27	2.17477594860303	1.16245691089e-29
ENSG00000064205.10_5	4.88975231855272e-09	2.16785003028454	7.24728934976777e-11
ENSG00000100767.17_7	3.93167934441087e-19	2.1644594574021	1.69340128844654e-21
ENSG00000163362.11_11	4.32025461859840e-12	2.1614168876646	3.91307581998715e-14
ENSG00000128422.17_10	1.01843073878209e-10	2.15002266792904	1.14821808654176e-12
ENSG00000115738.10_6	2.1670349369444e-10	2.14403039324032	2.66281212165703e-12
ENSG00000141510.18_9	1.16256807791794e-33	-2.12516681956474	1.76726842348812e-36
