NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IRAG2	inositol 1,4,5-triphosphate receptor associated 2 [Source:HGNC Symbol;Acc:HGNC:6690]	494	2.4227302074432373	0.007236734	No	
row_1	TUBAL3	tubulin alpha like 3 [Source:HGNC Symbol;Acc:HGNC:23534]	827	1.9051026105880737	0.014386798	No	
row_2	GCNT3	glucosaminyl (N-acetyl) transferase 3, mucin type [Source:HGNC Symbol;Acc:HGNC:4205]	948	1.7488211393356323	0.025726955	No	
row_3	SLITRK6	SLIT and NTRK like family member 6 [Source:HGNC Symbol;Acc:HGNC:23503]	1024	1.6596810817718506	0.03749432	No	
row_4	MIR503HG	MIR503 host gene [Source:HGNC Symbol;Acc:HGNC:28258]	1308	1.4444565773010254	0.04210696	No	
row_5	PIK3C2B	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 beta [Source:HGNC Symbol;Acc:HGNC:8972]	1320	1.435621976852417	0.053678513	No	
row_6	LURAP1L	leucine rich adaptor protein 1 like [Source:HGNC Symbol;Acc:HGNC:31452]	1636	1.2880159616470337	0.056171924	No	
row_7	PADI1	peptidyl arginine deiminase 1 [Source:HGNC Symbol;Acc:HGNC:18367]	1813	1.2032784223556519	0.061559036	No	
row_8	LUARIS	lncRNA upregulator of antiviral response interferon signaling [Source:HGNC Symbol;Acc:HGNC:40992]	2006	1.1232751607894897	0.065871805	No	
row_9	BAIAP2-DT	BAIAP2 divergent transcript [Source:HGNC Symbol;Acc:HGNC:44342]	2680	0.9172864556312561	0.056048397	No	
row_10	PHGDH	phosphoglycerate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:8923]	3073	0.8107276558876038	0.052609533	No	
row_11	LINC00847	long intergenic non-protein coding RNA 847 [Source:HGNC Symbol;Acc:HGNC:45050]	3112	0.8020853400230408	0.058251075	No	
row_12	UPK3B	uroplakin 3B [Source:HGNC Symbol;Acc:HGNC:21444]	3177	0.7889016270637512	0.06311157	No	
row_13	FOXA2	forkhead box A2 [Source:HGNC Symbol;Acc:HGNC:5022]	3541	0.7132903933525085	0.059617758	No	
row_14	ZNF608	zinc finger protein 608 [Source:HGNC Symbol;Acc:HGNC:29238]	3699	0.6790192127227783	0.061166525	No	
row_15	MFSD13A	major facilitator superfamily domain containing 13A [Source:HGNC Symbol;Acc:HGNC:26196]	4318	0.6168848276138306	0.05028417	No	
row_16	KANK2	KN motif and ankyrin repeat domains 2 [Source:HGNC Symbol;Acc:HGNC:29300]	7344	0.4288582503795624	-0.024377918	No	
row_17	EPN3	epsin 3 [Source:HGNC Symbol;Acc:HGNC:18235]	7348	0.428581565618515	-0.02091608	No	
row_18	CBX2	chromobox 2 [Source:HGNC Symbol;Acc:HGNC:1552]	7395	0.42542093992233276	-0.018592	No	
row_19	CEBPA-DT	CEBPA divergent transcript [Source:HGNC Symbol;Acc:HGNC:25710]	7929	0.3814972937107086	-0.02922082	No	
row_20	CDT1	chromatin licensing and DNA replication factor 1 [Source:HGNC Symbol;Acc:HGNC:24576]	8232	0.3508138954639435	-0.03413111	No	
row_21	THBD	thrombomodulin [Source:HGNC Symbol;Acc:HGNC:11784]	8344	0.34059885144233704	-0.03418794	No	
row_22	NEXN	nexilin F-actin binding protein [Source:HGNC Symbol;Acc:HGNC:29557]	8465	0.3311612606048584	-0.034555376	No	
row_23	PER2	period circadian regulator 2 [Source:HGNC Symbol;Acc:HGNC:8846]	8629	0.3176047205924988	-0.036146425	No	
row_24	TEF	TEF transcription factor, PAR bZIP family member [Source:HGNC Symbol;Acc:HGNC:11722]	8990	0.28879645466804504	-0.043068323	No	
row_25	OSBPL7	oxysterol binding protein like 7 [Source:HGNC Symbol;Acc:HGNC:16387]	9152	0.2839808166027069	-0.04488535	No	
row_26	RBBP8NL	RBBP8 N-terminal like [Source:HGNC Symbol;Acc:HGNC:16144]	9239	0.2760005593299866	-0.044829343	No	
row_27	SLC46A1	solute carrier family 46 member 1 [Source:HGNC Symbol;Acc:HGNC:30521]	9426	0.2607439458370209	-0.047484577	No	
row_28	JRK	Jrk helix-turn-helix protein [Source:HGNC Symbol;Acc:HGNC:6199]	9504	0.2551408112049103	-0.047368165	No	
row_29	PGPEP1	pyroglutamyl-peptidase I [Source:HGNC Symbol;Acc:HGNC:13568]	10138	0.21507012844085693	-0.061956655	No	
row_30	PKMYT1	protein kinase, membrane associated tyrosine/threonine 1 [Source:HGNC Symbol;Acc:HGNC:29650]	10242	0.20676760375499725	-0.06291189	No	
row_31	PRR15L	proline rich 15 like [Source:HGNC Symbol;Acc:HGNC:28149]	11009	0.15261322259902954	-0.08145455	No	
row_32	HILPDA	hypoxia inducible lipid droplet associated [Source:HGNC Symbol;Acc:HGNC:28859]	11855	0.10248863697052002	-0.102453515	No	
row_33	CDC25A	cell division cycle 25A [Source:HGNC Symbol;Acc:HGNC:1725]	11968	0.09492149204015732	-0.10456509	No	
row_34	DDX11	DEAD/H-box helicase 11 [Source:HGNC Symbol;Acc:HGNC:2736]	12002	0.09163147211074829	-0.104661494	No	
row_35	CASTOR1	cytosolic arginine sensor for mTORC1 subunit 1 [Source:HGNC Symbol;Acc:HGNC:34423]	12414	0.06284883618354797	-0.114767835	No	
row_36	GOLGA2P5	GOLGA2 pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:25315]	12748	0.041685204952955246	-0.123032466	No	
row_37	ZNF395	zinc finger protein 395 [Source:HGNC Symbol;Acc:HGNC:18737]	12820	0.03720545023679733	-0.12456073	No	
row_38	RAD51	RAD51 recombinase [Source:HGNC Symbol;Acc:HGNC:9817]	12868	0.03307449445128441	-0.12550266	No	
row_39	IDI2-AS1	IDI2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:30885]	13070	0.021079672500491142	-0.13052492	No	
row_40	MSTO2P	misato family member 2, pseudogene [Source:HGNC Symbol;Acc:HGNC:26329]	13179	0.013349116779863834	-0.13320674	No	
row_41	CHTF18	chromosome transmission fidelity factor 18 [Source:HGNC Symbol;Acc:HGNC:18435]	13292	0.005292857997119427	-0.13605851	No	
row_42	ZSCAN31	zinc finger and SCAN domain containing 31 [Source:HGNC Symbol;Acc:HGNC:14097]	13335	0.0031708208844065666	-0.13711813	No	
row_43	SNHG4	small nucleolar RNA host gene 4 [Source:HGNC Symbol;Acc:HGNC:32964]	26427	-0.016463590785861015	-0.47541705	No	
row_44	WDR76	WD repeat domain 76 [Source:HGNC Symbol;Acc:HGNC:25773]	27499	-0.07536294311285019	-0.5024827	No	
row_45	TEDC2	tubulin epsilon and delta complex 2 [Source:HGNC Symbol;Acc:HGNC:25849]	27506	-0.07585001736879349	-0.5020114	No	
row_46	RHNO1	RAD9-HUS1-RAD1 interacting nuclear orphan 1 [Source:HGNC Symbol;Acc:HGNC:28206]	27778	-0.09388167411088943	-0.50824213	No	
row_47	RRM2	ribonucleotide reductase regulatory subunit M2 [Source:HGNC Symbol;Acc:HGNC:10452]	28457	-0.12622855603694916	-0.52472764	No	
row_48	E2F8	E2F transcription factor 8 [Source:HGNC Symbol;Acc:HGNC:24727]	28474	-0.12781904637813568	-0.5240857	No	
row_49	VAV3	vav guanine nucleotide exchange factor 3 [Source:HGNC Symbol;Acc:HGNC:12659]	28589	-0.13454385101795197	-0.52592176	No	
row_50	FAM111B	family with sequence similarity 111 member B [Source:HGNC Symbol;Acc:HGNC:24200]	28813	-0.13888637721538544	-0.53053993	No	
row_51	E2F1	E2F transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:3113]	28852	-0.14132550358772278	-0.53035516	No	
row_52	MCM7	minichromosome maintenance complex component 7 [Source:HGNC Symbol;Acc:HGNC:6950]	29108	-0.16186487674713135	-0.5356108	No	
row_53	PADI3	peptidyl arginine deiminase 3 [Source:HGNC Symbol;Acc:HGNC:18337]	29261	-0.17188775539398193	-0.53812087	No	
row_54	S1PR5	sphingosine-1-phosphate receptor 5 [Source:HGNC Symbol;Acc:HGNC:14299]	29382	-0.18202459812164307	-0.53971994	No	
row_55	TK1	thymidine kinase 1 [Source:HGNC Symbol;Acc:HGNC:11830]	29482	-0.18912172317504883	-0.5407175	No	
row_56	UHRF1	ubiquitin like with PHD and ring finger domains 1 [Source:HGNC Symbol;Acc:HGNC:12556]	29494	-0.189922034740448	-0.5394334	No	
row_57	ZNF331	zinc finger protein 331 [Source:HGNC Symbol;Acc:HGNC:15489]	29545	-0.19343328475952148	-0.5391286	No	
row_58	CDCA7	cell division cycle associated 7 [Source:HGNC Symbol;Acc:HGNC:14628]	29872	-0.21639971435070038	-0.5457694	No	
row_59	ZNF248	zinc finger protein 248 [Source:HGNC Symbol;Acc:HGNC:13041]	29909	-0.21985916793346405	-0.5448844	No	
row_60	CENPO	centromere protein O [Source:HGNC Symbol;Acc:HGNC:28152]	30125	-0.23493175208568573	-0.5485025	No	
row_61	MYBL2	MYB proto-oncogene like 2 [Source:HGNC Symbol;Acc:HGNC:7548]	30265	-0.24566175043582916	-0.55006725	No	
row_62	MCM2	minichromosome maintenance complex component 2 [Source:HGNC Symbol;Acc:HGNC:6944]	30285	-0.2474694848060608	-0.5485147	No	
row_63	TMCC2	transmembrane and coiled-coil domain family 2 [Source:HGNC Symbol;Acc:HGNC:24239]	30295	-0.248932883143425	-0.54669166	No	
row_64	MIPEPP3	mitochondrial intermediate peptidase pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:39458]	30467	-0.26304951310157776	-0.54894006	No	
