NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CCN5	cellular communication network factor 5 [Source:HGNC Symbol;Acc:HGNC:12770]	12	4.388634204864502	0.032472283	Yes	
row_1	CRB3	crumbs cell polarity complex component 3 [Source:HGNC Symbol;Acc:HGNC:20237]	27	4.08590841293335	0.06263167	Yes	
row_2	ATOH8	atonal bHLH transcription factor 8 [Source:HGNC Symbol;Acc:HGNC:24126]	33	4.0257487297058105	0.09257395	Yes	
row_3	BCAS1	brain enriched myelin associated protein 1 [Source:HGNC Symbol;Acc:HGNC:974]	34	3.998753309249878	0.12244362	Yes	
row_4	LLGL2	LLGL scribble cell polarity complex component 2 [Source:HGNC Symbol;Acc:HGNC:6629]	43	3.8890421390533447	0.1512873	Yes	
row_5	CYP4F12	cytochrome P450 family 4 subfamily F member 12 [Source:HGNC Symbol;Acc:HGNC:18857]	48	3.8240482807159424	0.17974874	Yes	
row_6	NECAB2	N-terminal EF-hand calcium binding protein 2 [Source:HGNC Symbol;Acc:HGNC:23746]	86	3.4888200759887695	0.20485443	Yes	
row_7	RAB37	RAB37, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:30268]	108	3.4376323223114014	0.2299907	Yes	
row_8	ARHGEF16	Rho guanine nucleotide exchange factor 16 [Source:HGNC Symbol;Acc:HGNC:15515]	118	3.3293941020965576	0.25462815	Yes	
row_9	H19	H19 imprinted maternally expressed transcript [Source:HGNC Symbol;Acc:HGNC:4713]	124	3.3055930137634277	0.27919105	Yes	
row_10	ZDHHC8P1	ZDHHC8 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:26461]	164	3.1649727821350098	0.30182606	Yes	
row_11	FBXO2	F-box protein 2 [Source:HGNC Symbol;Acc:HGNC:13581]	202	2.8661699295043945	0.3222807	Yes	
row_12	MCF2L	MCF.2 cell line derived transforming sequence like [Source:HGNC Symbol;Acc:HGNC:14576]	219	2.8101625442504883	0.34285897	Yes	
row_13	MROH6	maestro heat like repeat family member 6 [Source:HGNC Symbol;Acc:HGNC:27814]	222	2.7980079650878906	0.36370778	Yes	
row_14	EPHB3	EPH receptor B3 [Source:HGNC Symbol;Acc:HGNC:3394]	306	2.472870349884033	0.3800374	Yes	
