NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CCN5	cellular communication network factor 5 [Source:HGNC Symbol;Acc:HGNC:12770]	12	4.388634204864502	0.036152232	Yes	
row_1	BCAS1	brain enriched myelin associated protein 1 [Source:HGNC Symbol;Acc:HGNC:974]	34	3.998753309249878	0.06883297	Yes	
row_2	LLGL2	LLGL scribble cell polarity complex component 2 [Source:HGNC Symbol;Acc:HGNC:6629]	43	3.8890421390533447	0.100937694	Yes	
row_3	CYP4F12	cytochrome P450 family 4 subfamily F member 12 [Source:HGNC Symbol;Acc:HGNC:18857]	48	3.8240482807159424	0.13260566	Yes	
row_4	MUC5B	mucin 5B, oligomeric mucus/gel-forming [Source:HGNC Symbol;Acc:HGNC:7516]	59	3.7269060611724854	0.16331169	Yes	
row_5	INHBB	inhibin subunit beta B [Source:HGNC Symbol;Acc:HGNC:6067]	60	3.7221055030822754	0.19423592	Yes	
row_6	CKMT1B	creatine kinase, mitochondrial 1B [Source:HGNC Symbol;Acc:HGNC:1995]	104	3.453540802001953	0.22181913	Yes	
row_7	RAB37	RAB37, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:30268]	108	3.4376323223114014	0.25030246	Yes	
row_8	RTN4RL1	reticulon 4 receptor like 1 [Source:HGNC Symbol;Acc:HGNC:21329]	157	3.2415974140167236	0.27599576	Yes	
row_9	ZDHHC8P1	ZDHHC8 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:26461]	164	3.1649727821350098	0.30213633	Yes	
row_10	MMP28	matrix metallopeptidase 28 [Source:HGNC Symbol;Acc:HGNC:14366]	193	2.9188523292541504	0.3256643	Yes	
row_11	MCF2L	MCF.2 cell line derived transforming sequence like [Source:HGNC Symbol;Acc:HGNC:14576]	219	2.8101625442504883	0.3483667	Yes	
row_12	EPHB3	EPH receptor B3 [Source:HGNC Symbol;Acc:HGNC:3394]	306	2.472870349884033	0.36669254	Yes	
row_13	AQP3	aquaporin 3 (Gill blood group) [Source:HGNC Symbol;Acc:HGNC:636]	312	2.4508116245269775	0.3869255	Yes	
row_14	CRIP3	cysteine rich protein 3 [Source:HGNC Symbol;Acc:HGNC:17751]	423	2.4227302074432373	0.4042154	Yes	
row_15	SLC7A7	solute carrier family 7 member 7 [Source:HGNC Symbol;Acc:HGNC:11065]	580	2.2070467472076416	0.4185262	Yes	
row_16	RERG	RAS like estrogen regulated growth inhibitor [Source:HGNC Symbol;Acc:HGNC:15980]	583	2.197523593902588	0.43673217	Yes	
row_17	C9orf152	chromosome 9 open reading frame 152 [Source:HGNC Symbol;Acc:HGNC:31455]	596	2.165097713470459	0.4544107	Yes	
row_18	SERPINF2	serpin family F member 2 [Source:HGNC Symbol;Acc:HGNC:9075]	631	2.0843443870544434	0.47085053	Yes	
row_19	TPPP3	tubulin polymerization promoting protein family member 3 [Source:HGNC Symbol;Acc:HGNC:24162]	797	1.9457663297653198	0.48275828	Yes	
row_20	LINC02593	long intergenic non-protein coding RNA 2593 [Source:HGNC Symbol;Acc:HGNC:53933]	949	1.74831223487854	0.49338683	Yes	
row_21	KRT4	keratin 4 [Source:HGNC Symbol;Acc:HGNC:6441]	1040	1.6485786437988281	0.50476104	Yes	
row_22	FGFR3	fibroblast growth factor receptor 3 [Source:HGNC Symbol;Acc:HGNC:3690]	1125	1.584585189819336	0.5157584	Yes	
row_23	SEMA4G	semaphorin 4G [Source:HGNC Symbol;Acc:HGNC:10735]	1303	1.4477264881134033	0.52321863	Yes	
row_24	PRODH	proline dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:9453]	1355	1.4106340408325195	0.5336224	Yes	
row_25	MMP24	matrix metallopeptidase 24 [Source:HGNC Symbol;Acc:HGNC:7172]	1370	1.3959870338439941	0.5448593	Yes	
row_26	DDC	dopa decarboxylase [Source:HGNC Symbol;Acc:HGNC:2719]	1375	1.3950588703155518	0.5563466	Yes	
row_27	TJP3	tight junction protein 3 [Source:HGNC Symbol;Acc:HGNC:11829]	1513	1.3673847913742065	0.5641716	Yes	
row_28	INSL4	insulin like 4 [Source:HGNC Symbol;Acc:HGNC:6087]	1557	1.3399560451507568	0.5741946	Yes	
row_29	DACT2	dishevelled binding antagonist of beta catenin 2 [Source:HGNC Symbol;Acc:HGNC:21231]	1591	1.3152953386306763	0.5842708	Yes	
