NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SCEL	sciellin [Source:HGNC Symbol;Acc:HGNC:10573]	5	4.7386322021484375	0.064262584	Yes	
row_1	MUC16	mucin 16, cell surface associated [Source:HGNC Symbol;Acc:HGNC:15582]	8	4.495097637176514	0.1252932	Yes	
row_2	MUC1	mucin 1, cell surface associated [Source:HGNC Symbol;Acc:HGNC:7508]	45	3.8610129356384277	0.17683116	Yes	
row_3	KRT17	keratin 17 [Source:HGNC Symbol;Acc:HGNC:6427]	81	3.6016721725463867	0.22487082	Yes	
row_4	PSCA	prostate stem cell antigen [Source:HGNC Symbol;Acc:HGNC:9500]	103	3.4579861164093018	0.2713188	Yes	
row_5	TMPRSS2	transmembrane serine protease 2 [Source:HGNC Symbol;Acc:HGNC:11876]	110	3.435859203338623	0.31785274	Yes	
row_6	H19	H19 imprinted maternally expressed transcript [Source:HGNC Symbol;Acc:HGNC:4713]	124	3.3055930137634277	0.36243612	Yes	
row_7	ELF3	E74 like ETS transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:3318]	129	3.2723402976989746	0.40679958	Yes	
row_8	CEACAM6	CEA cell adhesion molecule 6 [Source:HGNC Symbol;Acc:HGNC:1818]	132	3.2639341354370117	0.45110038	Yes	
row_9	GPRC5A	G protein-coupled receptor class C group 5 member A [Source:HGNC Symbol;Acc:HGNC:9836]	240	2.7070252895355225	0.48512733	Yes	
row_10	TACSTD2	tumor associated calcium signal transducer 2 [Source:HGNC Symbol;Acc:HGNC:11530]	502	2.414149761199951	0.5112053	Yes	
row_11	LCN2	lipocalin 2 [Source:HGNC Symbol;Acc:HGNC:6526]	508	2.384748935699463	0.5434819	Yes	
row_12	MUC4	mucin 4, cell surface associated [Source:HGNC Symbol;Acc:HGNC:7514]	621	2.1081652641296387	0.56924224	Yes	
row_13	DUOX2	dual oxidase 2 [Source:HGNC Symbol;Acc:HGNC:13273]	694	2.0007314682006836	0.5945737	Yes	
row_14	SPNS2	sphingolipid transporter 2 [Source:HGNC Symbol;Acc:HGNC:26992]	805	1.9345568418502808	0.6180265	Yes	
row_15	CLDN7	claudin 7 [Source:HGNC Symbol;Acc:HGNC:2049]	1002	1.6885098218917847	0.63591933	Yes	
row_16	KRT4	keratin 4 [Source:HGNC Symbol;Acc:HGNC:6441]	1040	1.6485786437988281	0.65736765	Yes	
row_17	KRT18	keratin 18 [Source:HGNC Symbol;Acc:HGNC:6430]	1055	1.6348410844802856	0.679222	Yes	
row_18	SPINK5	serine peptidase inhibitor Kazal type 5 [Source:HGNC Symbol;Acc:HGNC:15464]	1098	1.595327615737915	0.69981784	Yes	
row_19	F3	coagulation factor III, tissue factor [Source:HGNC Symbol;Acc:HGNC:3541]	1204	1.5193114280700684	0.71775687	Yes	
row_20	KRT16	keratin 16 [Source:HGNC Symbol;Acc:HGNC:6423]	1297	1.4523764848709106	0.7351215	Yes	
