NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CDH1	cadherin 1 [Source:HGNC Symbol;Acc:HGNC:1748]	0	4.838791847229004	0.016644249	Yes	
row_1	SCEL	sciellin [Source:HGNC Symbol;Acc:HGNC:10573]	5	4.7386322021484375	0.032840453	Yes	
row_2	CDH3	cadherin 3 [Source:HGNC Symbol;Acc:HGNC:1762]	7	4.520000457763672	0.04836226	Yes	
row_3	DOK7	docking protein 7 [Source:HGNC Symbol;Acc:HGNC:26594]	16	4.2268900871276855	0.062694676	Yes	
row_4	CAPN8	calpain 8 [Source:HGNC Symbol;Acc:HGNC:1485]	18	4.200253486633301	0.07711664	Yes	
row_5	GRHL2	grainyhead like transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:2799]	20	4.163315773010254	0.09141153	Yes	
row_6	RAB11FIP4	RAB11 family interacting protein 4 [Source:HGNC Symbol;Acc:HGNC:30267]	22	4.1319355964660645	0.105598494	Yes	
row_7	IRF6	interferon regulatory factor 6 [Source:HGNC Symbol;Acc:HGNC:6121]	26	4.102447986602783	0.11963226	Yes	
row_8	ENPP5	ectonucleotide pyrophosphatase/phosphodiesterase family member 5 [Source:HGNC Symbol;Acc:HGNC:13717]	49	3.8231723308563232	0.13221367	Yes	
row_9	NPNT	nephronectin [Source:HGNC Symbol;Acc:HGNC:27405]	52	3.8231723308563232	0.14531268	Yes	
row_10	MAL2	mal, T cell differentiation protein 2 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:13634]	55	3.8055598735809326	0.15835111	Yes	
row_11	OVOL2	ovo like zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:15804]	56	3.771130084991455	0.17132287	Yes	
row_12	EPPK1	epiplakin 1 [Source:HGNC Symbol;Acc:HGNC:15577]	74	3.6620919704437256	0.18347959	Yes	
row_13	ST14	suppression of tumorigenicity 14 [Source:HGNC Symbol;Acc:HGNC:11344]	78	3.6285951137542725	0.19588342	Yes	
row_14	TC2N	tandem C2 domains, nuclear [Source:HGNC Symbol;Acc:HGNC:19859]	82	3.598315954208374	0.20818311	Yes	
row_15	C1orf116	chromosome 1 open reading frame 116 [Source:HGNC Symbol;Acc:HGNC:28667]	85	3.495181083679199	0.22015391	Yes	
row_16	MPZL2	myelin protein zero like 2 [Source:HGNC Symbol;Acc:HGNC:3496]	100	3.4796743392944336	0.23176081	Yes	
row_17	SPINT1	serine peptidase inhibitor, Kunitz type 1 [Source:HGNC Symbol;Acc:HGNC:11246]	109	3.4361648559570312	0.24337333	Yes	
row_18	ITGB6	integrin subunit beta 6 [Source:HGNC Symbol;Acc:HGNC:6161]	113	3.394448757171631	0.25497174	Yes	
row_19	B3GNT3	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:13528]	125	3.3033013343811035	0.26604962	Yes	
row_20	GRHL3	grainyhead like transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:25839]	127	3.289793014526367	0.27733982	Yes	
row_21	ELF3	E74 like ETS transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:3318]	129	3.2723402976989746	0.28857	Yes	
row_22	TSPAN1	tetraspanin 1 [Source:HGNC Symbol;Acc:HGNC:20657]	155	3.253052234649658	0.29911268	Yes	
row_23	FGFBP1	fibroblast growth factor binding protein 1 [Source:HGNC Symbol;Acc:HGNC:19695]	162	3.172260284423828	0.3098692	Yes	
row_24	ERBB3	erb-b2 receptor tyrosine kinase 3 [Source:HGNC Symbol;Acc:HGNC:3431]	182	2.996861457824707	0.31968594	Yes	
row_25	CGN	cingulin [Source:HGNC Symbol;Acc:HGNC:17429]	187	2.960533618927002	0.32976592	Yes	
row_26	ESRP2	epithelial splicing regulatory protein 2 [Source:HGNC Symbol;Acc:HGNC:26152]	198	2.884312391281128	0.33942845	Yes	
row_27	AGR2	anterior gradient 2, protein disulphide isomerase family member [Source:HGNC Symbol;Acc:HGNC:328]	203	2.8618087768554688	0.34916884	Yes	
row_28	LRG1	leucine rich alpha-2-glycoprotein 1 [Source:HGNC Symbol;Acc:HGNC:29480]	206	2.843797206878662	0.35889903	Yes	
row_29	TMC5	transmembrane channel like 5 [Source:HGNC Symbol;Acc:HGNC:22999]	216	2.8184635639190674	0.36836094	Yes	
row_30	CDS1	CDP-diacylglycerol synthase 1 [Source:HGNC Symbol;Acc:HGNC:1800]	250	2.647301197052002	0.37661296	Yes	
row_31	FGD4	FYVE, RhoGEF and PH domain containing 4 [Source:HGNC Symbol;Acc:HGNC:19125]	289	2.511322021484375	0.38426787	Yes	
row_32	SPINT1-AS1	SPINT1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:53162]	293	2.5038864612579346	0.39280295	Yes	
row_33	MACC1	MET transcriptional regulator MACC1 [Source:HGNC Symbol;Acc:HGNC:30215]	310	2.458528995513916	0.40084562	Yes	
row_34	KLC3	kinesin light chain 3 [Source:HGNC Symbol;Acc:HGNC:20717]	316	2.430119037628174	0.40907523	Yes	
row_35	TMEM265	transmembrane protein 265 [Source:HGNC Symbol;Acc:HGNC:51241]	379	2.4227302074432373	0.41580427	Yes	
row_36	TACSTD2	tumor associated calcium signal transducer 2 [Source:HGNC Symbol;Acc:HGNC:11530]	502	2.414149761199951	0.420951	Yes	
row_37	KDF1	keratinocyte differentiation factor 1 [Source:HGNC Symbol;Acc:HGNC:26624]	521	2.3636972904205322	0.4286157	Yes	
row_38	PIK3IP1	phosphoinositide-3-kinase interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:24942]	529	2.3365373611450195	0.43647164	Yes	
row_39	GRHL1	grainyhead like transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:17923]	563	2.2649998664855957	0.44340864	Yes	
row_40	LSR	lipolysis stimulated lipoprotein receptor [Source:HGNC Symbol;Acc:HGNC:29572]	570	2.2437572479248047	0.45097134	Yes	
row_41	GPR87	G protein-coupled receptor 87 [Source:HGNC Symbol;Acc:HGNC:4538]	579	2.2097480297088623	0.4583653	Yes	
