NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IRF6	interferon regulatory factor 6 [Source:HGNC Symbol;Acc:HGNC:6121]	26	4.102447986602783	0.042469807	Yes	
row_1	NPNT	nephronectin [Source:HGNC Symbol;Acc:HGNC:27405]	52	3.8231723308563232	0.08202861	Yes	
row_2	ITGB6	integrin subunit beta 6 [Source:HGNC Symbol;Acc:HGNC:6161]	113	3.394448757171631	0.11617646	Yes	
row_3	GRHL3	grainyhead like transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:25839]	127	3.289793014526367	0.15043585	Yes	
row_4	GRB14	growth factor receptor bound protein 14 [Source:HGNC Symbol;Acc:HGNC:4565]	204	2.850219488143921	0.17844811	Yes	
row_5	N4BP3	NEDD4 binding protein 3 [Source:HGNC Symbol;Acc:HGNC:29852]	211	2.8262715339660645	0.20801374	Yes	
row_6	RAB27B	RAB27B, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9767]	271	2.5793449878692627	0.23361596	Yes	
row_7	ERBB4	erb-b2 receptor tyrosine kinase 4 [Source:HGNC Symbol;Acc:HGNC:3432]	525	2.3520846366882324	0.2518254	Yes	
row_8	AHNAK2	AHNAK nucleoprotein 2 [Source:HGNC Symbol;Acc:HGNC:20125]	574	2.2239530086517334	0.2739741	Yes	
row_9	EGLN3	egl-9 family hypoxia inducible factor 3 [Source:HGNC Symbol;Acc:HGNC:14661]	613	2.1200108528137207	0.2952876	Yes	
row_10	BMF	Bcl2 modifying factor [Source:HGNC Symbol;Acc:HGNC:24132]	619	2.1101460456848145	0.31734845	Yes	
row_11	HCAR1	hydroxycarboxylic acid receptor 1 [Source:HGNC Symbol;Acc:HGNC:4532]	674	2.027606248855591	0.33727765	Yes	
row_12	IL1R1	interleukin 1 receptor type 1 [Source:HGNC Symbol;Acc:HGNC:5993]	796	1.9459158182144165	0.35462	Yes	
row_13	CDK6	cyclin dependent kinase 6 [Source:HGNC Symbol;Acc:HGNC:1777]	802	1.9375196695327759	0.37486553	Yes	
row_14	TMEM45B	transmembrane protein 45B [Source:HGNC Symbol;Acc:HGNC:25194]	898	1.8103556632995605	0.39145288	Yes	
row_15	KIAA0513	KIAA0513 [Source:HGNC Symbol;Acc:HGNC:29058]	910	1.7974556684494019	0.41007078	Yes	
row_16	TGFB2	transforming growth factor beta 2 [Source:HGNC Symbol;Acc:HGNC:11768]	939	1.7604507207870483	0.42786115	Yes	
row_17	RND1	Rho family GTPase 1 [Source:HGNC Symbol;Acc:HGNC:18314]	998	1.6928895711898804	0.44416744	Yes	
row_18	PLIN2	perilipin 2 [Source:HGNC Symbol;Acc:HGNC:248]	999	1.691230058670044	0.46195197	Yes	
row_19	TNS3	tensin 3 [Source:HGNC Symbol;Acc:HGNC:21616]	1085	1.6126224994659424	0.4767179	Yes	
row_20	DRAM1	DNA damage regulated autophagy modulator 1 [Source:HGNC Symbol;Acc:HGNC:25645]	1152	1.5574957132339478	0.49139407	Yes	
row_21	CCNG2	cyclin G2 [Source:HGNC Symbol;Acc:HGNC:1593]	1210	1.51383376121521	0.5058432	Yes	
row_22	ZDHHC7	zinc finger DHHC-type palmitoyltransferase 7 [Source:HGNC Symbol;Acc:HGNC:18459]	1359	1.4046802520751953	0.5167978	Yes	
row_23	RNF144B	ring finger protein 144B [Source:HGNC Symbol;Acc:HGNC:21578]	1362	1.402219533920288	0.53149164	Yes	
row_24	ARID5B	AT-rich interaction domain 5B [Source:HGNC Symbol;Acc:HGNC:17362]	1685	1.2591136693954468	0.5364283	Yes	
row_25	EPAS1	endothelial PAS domain protein 1 [Source:HGNC Symbol;Acc:HGNC:3374]	1711	1.244279146194458	0.54886806	Yes	
row_26	KLHL24	kelch like family member 24 [Source:HGNC Symbol;Acc:HGNC:25947]	1751	1.2286741733551025	0.56078273	Yes	
row_27	SH3BP4	SH3 domain binding protein 4 [Source:HGNC Symbol;Acc:HGNC:10826]	1949	1.1470545530319214	0.5677645	Yes	
row_28	LMO7	LIM domain 7 [Source:HGNC Symbol;Acc:HGNC:6646]	2127	1.0978885889053345	0.5747451	Yes	
row_29	GRB7	growth factor receptor bound protein 7 [Source:HGNC Symbol;Acc:HGNC:4567]	2157	1.088394045829773	0.5854425	Yes	
row_30	CRYBG1	crystallin beta-gamma domain containing 1 [Source:HGNC Symbol;Acc:HGNC:356]	2242	1.0504724979400635	0.5943228	Yes	
row_31	LIPH	lipase H [Source:HGNC Symbol;Acc:HGNC:18483]	2249	1.0478912591934204	0.6051874	Yes	
row_32	CRISPLD2	cysteine rich secretory protein LCCL domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25248]	2320	1.0255167484283447	0.6141663	Yes	
row_33	EFNA1	ephrin A1 [Source:HGNC Symbol;Acc:HGNC:3221]	2458	0.9859286546707153	0.62100106	Yes	
row_34	CREBRF	CREB3 regulatory factor [Source:HGNC Symbol;Acc:HGNC:24050]	2514	0.965158224105835	0.629732	Yes	
row_35	TGFB3	transforming growth factor beta 3 [Source:HGNC Symbol;Acc:HGNC:11769]	2754	0.8929678797721863	0.6329588	Yes	
row_36	ZNF467	zinc finger protein 467 [Source:HGNC Symbol;Acc:HGNC:23154]	2845	0.8716982007026672	0.6398044	Yes	
row_37	PLA2R1	phospholipase A2 receptor 1 [Source:HGNC Symbol;Acc:HGNC:9042]	2849	0.8709902763366699	0.64888614	Yes	
row_38	MYO1B	myosin IB [Source:HGNC Symbol;Acc:HGNC:7596]	2942	0.8454725742340088	0.6554044	Yes	
row_39	YPEL3	yippee like 3 [Source:HGNC Symbol;Acc:HGNC:18327]	2974	0.8366982936859131	0.66340345	Yes	
row_40	TP53INP1	tumor protein p53 inducible nuclear protein 1 [Source:HGNC Symbol;Acc:HGNC:18022]	3129	0.798890233039856	0.667833	Yes	
row_41	PTGER4	prostaglandin E receptor 4 [Source:HGNC Symbol;Acc:HGNC:9596]	3135	0.7983187437057495	0.67609894	Yes	
