NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LUM	lumican [Source:HGNC Symbol;Acc:HGNC:6724]	61	3.7035109996795654	0.023548745	No	
row_1	COL1A2	collagen type I alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2198]	615	2.116990566253662	0.023613589	No	
row_2	IL32	interleukin 32 [Source:HGNC Symbol;Acc:HGNC:16830]	1121	1.5880759954452515	0.021331115	No	
row_3	ANO5	anoctamin 5 [Source:HGNC Symbol;Acc:HGNC:27337]	1295	1.4547184705734253	0.026727587	No	
row_4	DUSP10	dual specificity phosphatase 10 [Source:HGNC Symbol;Acc:HGNC:3065]	1432	1.388691782951355	0.03263273	No	
row_5	TGIF1	TGFB induced factor homeobox 1 [Source:HGNC Symbol;Acc:HGNC:11776]	2466	0.9836542010307312	0.012598482	No	
row_6	AK4	adenylate kinase 4 [Source:HGNC Symbol;Acc:HGNC:363]	2772	0.8900385499000549	0.010751184	No	
row_7	NID1	nidogen 1 [Source:HGNC Symbol;Acc:HGNC:7821]	2796	0.8849121332168579	0.016160073	No	
row_8	PHGDH	phosphoglycerate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:8923]	3073	0.8107276558876038	0.014524483	No	
row_9	PDGFD	platelet derived growth factor D [Source:HGNC Symbol;Acc:HGNC:30620]	3074	0.8106164336204529	0.02002398	No	
row_10	ADGRF5	adhesion G protein-coupled receptor F5 [Source:HGNC Symbol;Acc:HGNC:19030]	4818	0.5703088045120239	-0.021171233	No	
row_11	ITM2A	integral membrane protein 2A [Source:HGNC Symbol;Acc:HGNC:6173]	5717	0.5316740274429321	-0.04078151	No	
row_12	MAP7D3	MAP7 domain containing 3 [Source:HGNC Symbol;Acc:HGNC:25742]	7932	0.3812720477581024	-0.09543668	No	
row_13	VCAM1	vascular cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:12663]	8189	0.3554776906967163	-0.099643745	No	
row_14	FAM124B	family with sequence similarity 124 member B [Source:HGNC Symbol;Acc:HGNC:26224]	9072	0.2873140871524811	-0.12049817	No	
row_15	SLC15A2	solute carrier family 15 member 2 [Source:HGNC Symbol;Acc:HGNC:10921]	9431	0.2599619925022125	-0.12799041	No	
row_16	ANXA1	annexin A1 [Source:HGNC Symbol;Acc:HGNC:533]	9787	0.23880261182785034	-0.13554864	No	
row_17	HMGN2	high mobility group nucleosomal binding domain 2 [Source:HGNC Symbol;Acc:HGNC:4986]	10855	0.16599412262439728	-0.16200922	No	
row_18	LDLR	low density lipoprotein receptor [Source:HGNC Symbol;Acc:HGNC:6547]	11079	0.14835293591022491	-0.1667683	No	
