NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	AQP3	aquaporin 3 (Gill blood group) [Source:HGNC Symbol;Acc:HGNC:636]	312	2.4508116245269775	0.037216496	No	
row_1	CD36	CD36 molecule [Source:HGNC Symbol;Acc:HGNC:1663]	1470	1.385754942893982	0.032973167	No	
row_2	CCNE1	cyclin E1 [Source:HGNC Symbol;Acc:HGNC:1589]	2609	0.9409427642822266	0.021004908	No	
row_3	LEPR	leptin receptor [Source:HGNC Symbol;Acc:HGNC:6554]	2748	0.8938149213790894	0.033953436	No	
row_4	COTL1	coactosin like F-actin binding protein 1 [Source:HGNC Symbol;Acc:HGNC:18304]	4866	0.5626943111419678	-0.010246011	No	
row_5	SNRNP25	small nuclear ribonucleoprotein U11/U12 subunit 25 [Source:HGNC Symbol;Acc:HGNC:14161]	7836	0.3829645812511444	-0.0797354	No	
row_6	SLC7A5	solute carrier family 7 member 5 [Source:HGNC Symbol;Acc:HGNC:11063]	8320	0.34222424030303955	-0.085870326	No	
row_7	CDC25A	cell division cycle 25A [Source:HGNC Symbol;Acc:HGNC:1725]	11968	0.09492149204015732	-0.17816304	No	
row_8	ATP5MC3	ATP synthase membrane subunit c locus 3 [Source:HGNC Symbol;Acc:HGNC:843]	12301	0.07114743441343307	-0.18541041	No	
row_9	SAC3D1	SAC3 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30179]	12350	0.06809161603450775	-0.18539067	No	
row_10	MINPP1	multiple inositol-polyphosphate phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:7102]	13326	0.003744750749319792	-0.21046399	No	
row_11	HBB	hemoglobin subunit beta [Source:HGNC Symbol;Acc:HGNC:4827]	14427	0.0	-0.23882985	No	
row_12	HBD	hemoglobin subunit delta [Source:HGNC Symbol;Acc:HGNC:4829]	14428	0.0	-0.23882985	No	
row_13	LAT	linker for activation of T cells [Source:HGNC Symbol;Acc:HGNC:18874]	15158	0.0	-0.25762868	No	
row_14	GZMB	granzyme B [Source:HGNC Symbol;Acc:HGNC:4709]	21540	0.0	-0.4221765	No	
row_15	HBG1	hemoglobin subunit gamma 1 [Source:HGNC Symbol;Acc:HGNC:4831]	22838	0.0	-0.45562243	No	
row_16	RRM2	ribonucleotide reductase regulatory subunit M2 [Source:HGNC Symbol;Acc:HGNC:10452]	28457	-0.12622855603694916	-0.5981634	No	
row_17	CSF2RB	colony stimulating factor 2 receptor subunit beta [Source:HGNC Symbol;Acc:HGNC:2436]	28689	-0.13454385101795197	-0.6016355	No	
row_18	TK1	thymidine kinase 1 [Source:HGNC Symbol;Acc:HGNC:11830]	29482	-0.18912172317504883	-0.61856616	No	
row_19	NUP85	nucleoporin 85 [Source:HGNC Symbol;Acc:HGNC:8734]	29976	-0.2243582159280777	-0.62713575	No	
