NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TRIM46	tripartite motif containing 46 [Source:HGNC Symbol;Acc:HGNC:19019]	784	1.9678637981414795	0.0030385798	No	
row_1	CRIP2	cysteine rich protein 2 [Source:HGNC Symbol;Acc:HGNC:2361]	1081	1.6168073415756226	0.014527204	No	
row_2	CDKN1A	cyclin dependent kinase inhibitor 1A [Source:HGNC Symbol;Acc:HGNC:1784]	1197	1.5264089107513428	0.029621083	No	
row_3	GSN	gelsolin [Source:HGNC Symbol;Acc:HGNC:4620]	1866	1.1805922985076904	0.026338909	No	
row_4	CCNE1	cyclin E1 [Source:HGNC Symbol;Acc:HGNC:1589]	2609	0.9409427642822266	0.018309254	No	
row_5	ITGB7	integrin subunit beta 7 [Source:HGNC Symbol;Acc:HGNC:6162]	2860	0.866518497467041	0.022106756	No	
row_6	FLII	FLII actin remodeling protein [Source:HGNC Symbol;Acc:HGNC:3750]	4616	0.59316486120224	-0.016203554	No	
row_7	VPS72	vacuolar protein sorting 72 homolog [Source:HGNC Symbol;Acc:HGNC:11644]	6587	0.5108747482299805	-0.061040983	No	
row_8	ARL1	ADP ribosylation factor like GTPase 1 [Source:HGNC Symbol;Acc:HGNC:692]	6612	0.5083976984024048	-0.05564427	No	
row_9	CTC1	CST telomere replication complex component 1 [Source:HGNC Symbol;Acc:HGNC:26169]	7021	0.4651309549808502	-0.060677975	No	
row_10	ACTN4	actinin alpha 4 [Source:HGNC Symbol;Acc:HGNC:166]	7448	0.42017754912376404	-0.0667086	No	
row_11	DCTPP1	dCTP pyrophosphatase 1 [Source:HGNC Symbol;Acc:HGNC:28777]	7813	0.38594692945480347	-0.071542926	No	
row_12	ENO1	enolase 1 [Source:HGNC Symbol;Acc:HGNC:3350]	8800	0.3036443293094635	-0.09341697	No	
row_13	DDX19A	DEAD-box helicase 19A [Source:HGNC Symbol;Acc:HGNC:25628]	8863	0.29824885725975037	-0.091488756	No	
row_14	ANP32A	acidic nuclear phosphoprotein 32 family member A [Source:HGNC Symbol;Acc:HGNC:13233]	9499	0.25550276041030884	-0.104866505	No	
row_15	IPO5	importin 5 [Source:HGNC Symbol;Acc:HGNC:6402]	9517	0.2544085383415222	-0.10229482	No	
row_16	HOXC5	homeobox C5 [Source:HGNC Symbol;Acc:HGNC:5127]	9592	0.24891731142997742	-0.10126037	No	
row_17	MTHFD2	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase [Source:HGNC Symbol;Acc:HGNC:7434]	9597	0.24859890341758728	-0.09842165	No	
row_18	ACY1	aminoacylase 1 [Source:HGNC Symbol;Acc:HGNC:177]	9836	0.23690687119960785	-0.10176531	No	
row_19	NT5DC2	5'-nucleotidase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25717]	9926	0.23141799867153168	-0.1013254	No	
row_20	LDHA	lactate dehydrogenase A [Source:HGNC Symbol;Acc:HGNC:6535]	9977	0.22751808166503906	-0.0999243	No	
row_21	HTT	huntingtin [Source:HGNC Symbol;Acc:HGNC:4851]	10390	0.19742408394813538	-0.10822949	No	
row_22	AZIN1	antizyme inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:16432]	10632	0.18083374202251434	-0.11231423	No	
row_23	HES1	hes family bHLH transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:5192]	11169	0.14491209387779236	-0.12444369	No	
row_24	EIF2AK2	eukaryotic translation initiation factor 2 alpha kinase 2 [Source:HGNC Symbol;Acc:HGNC:9437]	11675	0.1109871119260788	-0.13617392	No	
row_25	PPP1CA	protein phosphatase 1 catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:9281]	12139	0.08232033997774124	-0.14715858	No	
row_26	AARS1	alanyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:20]	12296	0.07140092551708221	-0.15034293	No	
row_27	STIM1	stromal interaction molecule 1 [Source:HGNC Symbol;Acc:HGNC:11386]	12592	0.049946047365665436	-0.15737143	No	
row_28	ZNF358	zinc finger protein 358 [Source:HGNC Symbol;Acc:HGNC:16838]	12605	0.04926444962620735	-0.15709837	No	
row_29	COIL	coilin [Source:HGNC Symbol;Acc:HGNC:2184]	12832	0.036177195608615875	-0.16250761	No	
row_30	GSPT1	G1 to S phase transition 1 [Source:HGNC Symbol;Acc:HGNC:4621]	12840	0.035728536546230316	-0.16226558	No	
row_31	RAD51	RAD51 recombinase [Source:HGNC Symbol;Acc:HGNC:9817]	12868	0.03307449445128441	-0.16257155	No	
row_32	NUDC	nuclear distribution C, dynein complex regulator [Source:HGNC Symbol;Acc:HGNC:8045]	12988	0.02619774267077446	-0.16533518	No	
row_33	PIH1D1	PIH1 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26075]	13061	0.02179078944027424	-0.166937	No	
row_34	CAMP	cathelicidin antimicrobial peptide [Source:HGNC Symbol;Acc:HGNC:1472]	19365	0.0	-0.3297379	No	
row_35	TUBB	tubulin beta class I [Source:HGNC Symbol;Acc:HGNC:20778]	26384	-0.01281846035271883	-0.51085496	No	
row_36	CBX1	chromobox 1 [Source:HGNC Symbol;Acc:HGNC:1551]	26608	-0.02950579673051834	-0.51626563	No	
row_37	TUBA1A	tubulin alpha 1a [Source:HGNC Symbol;Acc:HGNC:20766]	26951	-0.04562819376587868	-0.5245592	No	
row_38	NUCKS1	nuclear casein kinase and cyclin dependent kinase substrate 1 [Source:HGNC Symbol;Acc:HGNC:29923]	26997	-0.050011493265628815	-0.5251297	No	
row_39	PPP2CA	protein phosphatase 2 catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:9299]	27603	-0.0828254446387291	-0.5397761	No	
row_40	ECT2	epithelial cell transforming 2 [Source:HGNC Symbol;Acc:HGNC:3155]	27731	-0.09117904305458069	-0.54197735	No	
row_41	PSMC3	proteasome 26S subunit, ATPase 3 [Source:HGNC Symbol;Acc:HGNC:9549]	28211	-0.10831891745328903	-0.55306756	No	
row_42	RRM2	ribonucleotide reductase regulatory subunit M2 [Source:HGNC Symbol;Acc:HGNC:10452]	28457	-0.12622855603694916	-0.55790186	No	
row_43	E2F8	E2F transcription factor 8 [Source:HGNC Symbol;Acc:HGNC:24727]	28474	-0.12781904637813568	-0.55680245	No	
row_44	LIG1	DNA ligase 1 [Source:HGNC Symbol;Acc:HGNC:6598]	28541	-0.13204927742481232	-0.55694443	No	
row_45	IL4	interleukin 4 [Source:HGNC Symbol;Acc:HGNC:6014]	28595	-0.13454385101795197	-0.55672115	No	
row_46	UBE2S	ubiquitin conjugating enzyme E2 S [Source:HGNC Symbol;Acc:HGNC:17895]	28857	-0.14176608622074127	-0.5617848	No	
row_47	TUBB3	tubulin beta 3 class III [Source:HGNC Symbol;Acc:HGNC:20772]	28999	-0.15423379838466644	-0.56360143	No	
row_48	HMGB3	high mobility group box 3 [Source:HGNC Symbol;Acc:HGNC:5004]	29323	-0.17624294757843018	-0.5698585	No	
row_49	ABR	ABR activator of RhoGEF and GTPase [Source:HGNC Symbol;Acc:HGNC:81]	29432	-0.18548081815242767	-0.570453	No	
row_50	HMGB2	high mobility group box 2 [Source:HGNC Symbol;Acc:HGNC:5000]	29435	-0.1856050342321396	-0.5683081	No	
row_51	CBX5	chromobox 5 [Source:HGNC Symbol;Acc:HGNC:1555]	29437	-0.1856633871793747	-0.5661367	No	
row_52	TK1	thymidine kinase 1 [Source:HGNC Symbol;Acc:HGNC:11830]	29482	-0.18912172317504883	-0.56503505	No	
row_53	TUBB4B	tubulin beta 4B class IVb [Source:HGNC Symbol;Acc:HGNC:20771]	29901	-0.21903787553310394	-0.5732394	No	
row_54	H2AX	H2A.X variant histone [Source:HGNC Symbol;Acc:HGNC:4739]	29992	-0.22584784030914307	-0.57289124	No	
row_55	FAM111A	family with sequence similarity 111 member A [Source:HGNC Symbol;Acc:HGNC:24725]	30213	-0.24278749525547028	-0.5757004	No	
row_56	RAMP1	receptor activity modifying protein 1 [Source:HGNC Symbol;Acc:HGNC:9843]	30473	-0.26341915130615234	-0.5792727	No	
row_57	KIN	Kin17 DNA and RNA binding protein [Source:HGNC Symbol;Acc:HGNC:6327]	30671	-0.27989569306373596	-0.5810486	No	
row_58	FEN1	flap structure-specific endonuclease 1 [Source:HGNC Symbol;Acc:HGNC:3650]	30781	-0.28820887207984924	-0.5804532	No	
row_59	SNX2	sorting nexin 2 [Source:HGNC Symbol;Acc:HGNC:11173]	30790	-0.28902408480644226	-0.5772394	No	
row_60	TRIP13	thyroid hormone receptor interactor 13 [Source:HGNC Symbol;Acc:HGNC:12307]	30990	-0.3035978376865387	-0.5787865	No	
