NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CX3CL1	C-X3-C motif chemokine ligand 1 [Source:HGNC Symbol;Acc:HGNC:10647]	567	2.2576205730438232	9.961328E-5	No	
row_1	GJB3	gap junction protein beta 3 [Source:HGNC Symbol;Acc:HGNC:4285]	882	1.8353651762008667	0.003986034	No	
row_2	CCND1	cyclin D1 [Source:HGNC Symbol;Acc:HGNC:1582]	1189	1.530617117881775	0.0060841665	No	
row_3	EREG	epiregulin [Source:HGNC Symbol;Acc:HGNC:3443]	1246	1.4956021308898926	0.014427025	No	
row_4	OASL	2'-5'-oligoadenylate synthetase like [Source:HGNC Symbol;Acc:HGNC:8090]	1326	1.4331871271133423	0.02176559	No	
row_5	NRG1	neuregulin 1 [Source:HGNC Symbol;Acc:HGNC:7997]	1587	1.3174169063568115	0.023658928	No	
row_6	UPP1	uridine phosphorylase 1 [Source:HGNC Symbol;Acc:HGNC:12576]	1716	1.2414196729660034	0.028472915	No	
row_7	ELL2	elongation factor for RNA polymerase II 2 [Source:HGNC Symbol;Acc:HGNC:17064]	1832	1.194891333580017	0.03331889	No	
row_8	ODC1	ornithine decarboxylase 1 [Source:HGNC Symbol;Acc:HGNC:8109]	1937	1.1509507894515991	0.038162	No	
row_9	TGFA	transforming growth factor alpha [Source:HGNC Symbol;Acc:HGNC:11765]	2145	1.09147047996521	0.039948355	No	
row_10	DKK1	dickkopf WNT signaling pathway inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:2891]	2537	0.9604488015174866	0.03611193	No	
row_11	MAFF	MAF bZIP transcription factor F [Source:HGNC Symbol;Acc:HGNC:6780]	2908	0.8525803685188293	0.03211301	No	
row_12	IER3	immediate early response 3 [Source:HGNC Symbol;Acc:HGNC:5392]	3274	0.7719317674636841	0.027715491	No	
row_13	CDC42EP1	CDC42 effector protein 1 [Source:HGNC Symbol;Acc:HGNC:17014]	3632	0.6925235390663147	0.023005186	No	
row_14	DUSP4	dual specificity phosphatase 4 [Source:HGNC Symbol;Acc:HGNC:3070]	4319	0.6168274879455566	0.009279447	No	
row_15	SLC20A1	solute carrier family 20 member 1 [Source:HGNC Symbol;Acc:HGNC:10946]	4544	0.6040855646133423	0.0074342266	No	
row_16	TUBB2A	tubulin beta 2A class IIa [Source:HGNC Symbol;Acc:HGNC:12412]	4667	0.5882722735404968	0.008126855	No	
row_17	MYBL1	MYB proto-oncogene like 1 [Source:HGNC Symbol;Acc:HGNC:7547]	4688	0.5871961712837219	0.01145383	No	
row_18	ITGA6	integrin subunit alpha 6 [Source:HGNC Symbol;Acc:HGNC:6142]	5468	0.5497443675994873	-0.005119491	No	
row_19	AREG	amphiregulin [Source:HGNC Symbol;Acc:HGNC:651]	6642	0.5065101385116577	-0.032178927	No	
row_20	CDCA4	cell division cycle associated 4 [Source:HGNC Symbol;Acc:HGNC:14625]	6838	0.483614057302475	-0.034061998	No	
row_21	GALNT10	polypeptide N-acetylgalactosaminyltransferase 10 [Source:HGNC Symbol;Acc:HGNC:19873]	7386	0.42651650309562683	-0.04543433	No	
row_22	ZC3HAV1	zinc finger CCCH-type containing, antiviral 1 [Source:HGNC Symbol;Acc:HGNC:23721]	7452	0.4198734760284424	-0.044368286	No	
row_23	SRM	spermidine synthase [Source:HGNC Symbol;Acc:HGNC:11296]	7741	0.39489156007766724	-0.049240626	No	
