NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CDH1	cadherin 1 [Source:HGNC Symbol;Acc:HGNC:1748]	0	4.838791847229004	0.018143086	Yes	
row_1	GRHL2	grainyhead like transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:2799]	20	4.163315773010254	0.033261243	Yes	
row_2	IRF6	interferon regulatory factor 6 [Source:HGNC Symbol;Acc:HGNC:6121]	26	4.102447986602783	0.048513867	Yes	
row_3	ID2	inhibitor of DNA binding 2 [Source:HGNC Symbol;Acc:HGNC:5361]	54	3.809542655944824	0.062098294	Yes	
row_4	INHBB	inhibin subunit beta B [Source:HGNC Symbol;Acc:HGNC:6067]	60	3.7221055030822754	0.07592482	Yes	
row_5	SCIN	scinderin [Source:HGNC Symbol;Acc:HGNC:21695]	73	3.683725595474243	0.0894261	Yes	
row_6	AQP5	aquaporin 5 [Source:HGNC Symbol;Acc:HGNC:638]	75	3.6330416202545166	0.10302231	Yes	
row_7	ST14	suppression of tumorigenicity 14 [Source:HGNC Symbol;Acc:HGNC:11344]	78	3.6285951137542725	0.11657594	Yes	
row_8	SPINT1	serine peptidase inhibitor, Kunitz type 1 [Source:HGNC Symbol;Acc:HGNC:11246]	109	3.4361648559570312	0.12868266	Yes	
row_9	TMPRSS2	transmembrane serine protease 2 [Source:HGNC Symbol;Acc:HGNC:11876]	110	3.435859203338623	0.14156544	Yes	
row_10	RAB17	RAB17, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:16523]	156	3.248938798904419	0.15258156	Yes	
row_11	CTSE	cathepsin E [Source:HGNC Symbol;Acc:HGNC:2530]	180	3.005300521850586	0.16325411	Yes	
row_12	ERBB3	erb-b2 receptor tyrosine kinase 3 [Source:HGNC Symbol;Acc:HGNC:3431]	182	2.996861457824707	0.17446496	Yes	
row_13	ESRP2	epithelial splicing regulatory protein 2 [Source:HGNC Symbol;Acc:HGNC:26152]	198	2.884312391281128	0.1848911	Yes	
row_14	ESRP1	epithelial splicing regulatory protein 1 [Source:HGNC Symbol;Acc:HGNC:25966]	233	2.7435078620910645	0.19429708	Yes	
row_15	SLC44A2	solute carrier family 44 member 2 [Source:HGNC Symbol;Acc:HGNC:17292]	244	2.6838979721069336	0.20410131	Yes	
row_16	MDK	midkine [Source:HGNC Symbol;Acc:HGNC:6972]	253	2.6310176849365234	0.21375906	Yes	
row_17	FHDC1	FH2 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29363]	280	2.558499813079834	0.22267862	Yes	
row_18	SYNPO	synaptopodin [Source:HGNC Symbol;Acc:HGNC:30672]	291	2.5063560009002686	0.23181714	Yes	
row_19	ID4	inhibitor of DNA binding 4, HLH protein [Source:HGNC Symbol;Acc:HGNC:5363]	303	2.4794163703918457	0.24082877	Yes	
row_20	CYSTM1	cysteine rich transmembrane module containing 1 [Source:HGNC Symbol;Acc:HGNC:30239]	304	2.4769127368927	0.25011596	Yes	
row_21	KRT14	keratin 14 [Source:HGNC Symbol;Acc:HGNC:6416]	317	2.424929141998291	0.25889736	Yes	
row_22	UPK3A	uroplakin 3A [Source:HGNC Symbol;Acc:HGNC:12580]	378	2.4227302074432373	0.266427	Yes	
row_23	INMT	indolethylamine N-methyltransferase [Source:HGNC Symbol;Acc:HGNC:6069]	391	2.4227302074432373	0.2752002	Yes	
row_24	ATP1A3	ATPase Na+/K+ transporting subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:801]	439	2.4227302074432373	0.2830666	Yes	
row_25	TACSTD2	tumor associated calcium signal transducer 2 [Source:HGNC Symbol;Acc:HGNC:11530]	502	2.414149761199951	0.29051226	Yes	
row_26	LCN2	lipocalin 2 [Source:HGNC Symbol;Acc:HGNC:6526]	508	2.384748935699463	0.29932436	Yes	
row_27	EPCAM	epithelial cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:11529]	517	2.374185800552368	0.30801913	Yes	
row_28	TSPAN8	tetraspanin 8 [Source:HGNC Symbol;Acc:HGNC:11855]	558	2.2793684005737305	0.31552938	Yes	
row_29	ERRFI1	ERBB receptor feedback inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:18185]	571	2.2416043281555176	0.32362342	Yes	
row_30	VASN	vasorin [Source:HGNC Symbol;Acc:HGNC:18517]	616	2.114088535308838	0.3304103	Yes	
