NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MSLNL	mesothelin like [Source:HGNC Symbol;Acc:HGNC:14170]	215	2.8186919689178467	0.0358202	Yes	
row_1	RPL3L	ribosomal protein L3 like [Source:HGNC Symbol;Acc:HGNC:10351]	326	2.4227302074432373	0.068538785	Yes	
row_2	PRSS22	serine protease 22 [Source:HGNC Symbol;Acc:HGNC:14368]	623	2.1035563945770264	0.09177288	Yes	
row_3	MSLN	mesothelin [Source:HGNC Symbol;Acc:HGNC:7371]	650	2.062375068664551	0.12137048	Yes	
row_4	MCRIP2	MAPK regulated corepressor interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:14142]	1077	1.6212462186813354	0.13417098	Yes	
row_5	IL32	interleukin 32 [Source:HGNC Symbol;Acc:HGNC:16830]	1121	1.5880759954452515	0.15636879	Yes	
row_6	RAB40C	RAB40C, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:18285]	1269	1.4753501415252686	0.17422822	Yes	
row_7	CACNA1H	calcium voltage-gated channel subunit alpha1 H [Source:HGNC Symbol;Acc:HGNC:1395]	1479	1.383298635482788	0.18913661	Yes	
row_8	FBXL16	F-box and leucine rich repeat protein 16 [Source:HGNC Symbol;Acc:HGNC:14150]	1507	1.3708739280700684	0.20855954	Yes	
row_9	KCTD5	potassium channel tetramerization domain containing 5 [Source:HGNC Symbol;Acc:HGNC:21423]	1758	1.2263920307159424	0.22010699	Yes	
row_10	EME2	essential meiotic structure-specific endonuclease subunit 2 [Source:HGNC Symbol;Acc:HGNC:27289]	1760	1.2244840860366821	0.23805241	Yes	
row_11	MMP25	matrix metallopeptidase 25 [Source:HGNC Symbol;Acc:HGNC:14246]	1847	1.188658595085144	0.25327843	Yes	
row_12	BAIAP3	BAI1 associated protein 3 [Source:HGNC Symbol;Acc:HGNC:948]	1930	1.1559079885482788	0.26812702	Yes	
row_13	FAHD1	fumarylacetoacetate hydrolase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:14169]	1958	1.1433075666427612	0.28421006	Yes	
row_14	HAGHL	hydroxyacylglutathione hydrolase like [Source:HGNC Symbol;Acc:HGNC:14177]	1981	1.1300945281982422	0.3002282	Yes	
row_15	TPSG1	tryptase gamma 1 [Source:HGNC Symbol;Acc:HGNC:14134]	2019	1.1217267513275146	0.31573644	Yes	
row_16	SLC9A3R2	SLC9A3 regulator 2 [Source:HGNC Symbol;Acc:HGNC:11076]	2199	1.0735833644866943	0.3268735	Yes	
row_17	PKD1	polycystin 1, transient receptor potential channel interacting [Source:HGNC Symbol;Acc:HGNC:9008]	2333	1.0211000442504883	0.3384274	Yes	
row_18	RPUSD1	RNA pseudouridine synthase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:14173]	2363	1.006912350654602	0.35245702	Yes	
row_19	MAPK8IP3	mitogen-activated protein kinase 8 interacting protein 3 [Source:HGNC Symbol;Acc:HGNC:6884]	2645	0.9298890233039856	0.3588528	Yes	
row_20	ZNF598	zinc finger protein 598, E3 ubiquitin ligase [Source:HGNC Symbol;Acc:HGNC:28079]	2711	0.9088358879089355	0.37051392	Yes	
row_21	CLDN6	claudin 6 [Source:HGNC Symbol;Acc:HGNC:2048]	2798	0.8849121332168579	0.38128197	Yes	
row_22	JPT2	Jupiter microtubule associated homolog 2 [Source:HGNC Symbol;Acc:HGNC:14137]	2856	0.8682389259338379	0.39255375	Yes	
row_23	RHBDL1	rhomboid like 1 [Source:HGNC Symbol;Acc:HGNC:10007]	3029	0.8232304453849792	0.40019712	Yes	
row_24	NHLRC4	NHL repeat containing 4 [Source:HGNC Symbol;Acc:HGNC:26700]	3078	0.8097283244132996	0.41084242	Yes	
row_25	METTL26	methyltransferase like 26 [Source:HGNC Symbol;Acc:HGNC:14141]	3093	0.8064064979553223	0.4223164	Yes	
row_26	GNG13	G protein subunit gamma 13 [Source:HGNC Symbol;Acc:HGNC:14131]	3117	0.8015730977058411	0.43348718	Yes	
row_27	AXIN1	axin 1 [Source:HGNC Symbol;Acc:HGNC:903]	3126	0.7995386123657227	0.44501522	Yes	
row_28	ZNF213	zinc finger protein 213 [Source:HGNC Symbol;Acc:HGNC:13005]	3143	0.7970135807991028	0.45629972	Yes	
row_29	WFIKKN1	WAP, follistatin/kazal, immunoglobulin, kunitz and netrin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30912]	3162	0.7929388284683228	0.46747282	Yes	
row_30	SYNGR3	synaptogyrin 3 [Source:HGNC Symbol;Acc:HGNC:11501]	3254	0.7760973572731018	0.47651482	Yes	
row_31	GNPTG	N-acetylglucosamine-1-phosphate transferase subunit gamma [Source:HGNC Symbol;Acc:HGNC:23026]	3263	0.7748237252235413	0.4876801	Yes	
row_32	RHOT2	ras homolog family member T2 [Source:HGNC Symbol;Acc:HGNC:21169]	3535	0.715690553188324	0.49119025	Yes	
row_33	JMJD8	jumonji domain containing 8 [Source:HGNC Symbol;Acc:HGNC:14148]	3555	0.710369884967804	0.5011257	Yes	
row_34	DECR2	2,4-dienoyl-CoA reductase 2 [Source:HGNC Symbol;Acc:HGNC:2754]	3577	0.70677649974823	0.5109568	Yes	
row_35	SPSB3	splA/ryanodine receptor domain and SOCS box containing 3 [Source:HGNC Symbol;Acc:HGNC:30629]	3619	0.6958271265029907	0.5201111	Yes	
row_36	METRN	meteorin, glial cell differentiation regulator [Source:HGNC Symbol;Acc:HGNC:14151]	3692	0.6813832521438599	0.5282534	Yes	
row_37	CCDC78	coiled-coil domain containing 78 [Source:HGNC Symbol;Acc:HGNC:14153]	3782	0.6663439273834229	0.53573614	Yes	
row_38	ZG16B	zymogen granule protein 16B [Source:HGNC Symbol;Acc:HGNC:30456]	3972	0.6434541940689087	0.54030234	Yes	
row_39	CLCN7	chloride voltage-gated channel 7 [Source:HGNC Symbol;Acc:HGNC:2025]	3990	0.6416025757789612	0.5492801	Yes	
row_40	FLYWCH2	FLYWCH family member 2 [Source:HGNC Symbol;Acc:HGNC:25178]	4081	0.6330095529556274	0.5562479	Yes	
row_41	NME3	NME/NM23 nucleoside diphosphate kinase 3 [Source:HGNC Symbol;Acc:HGNC:7851]	4102	0.6303186416625977	0.56498265	Yes	
row_42	PDIA2	protein disulfide isomerase family A member 2 [Source:HGNC Symbol;Acc:HGNC:14180]	4219	0.6212183237075806	0.5711064	Yes	
row_43	MRPS34	mitochondrial ribosomal protein S34 [Source:HGNC Symbol;Acc:HGNC:16618]	4355	0.6126412749290466	0.5766139	Yes	
row_44	MPG	N-methylpurine DNA glycosylase [Source:HGNC Symbol;Acc:HGNC:7211]	4401	0.6073977947235107	0.5843671	Yes	
row_45	STUB1	STIP1 homology and U-box containing protein 1 [Source:HGNC Symbol;Acc:HGNC:11427]	4736	0.5804314017295837	0.58426625	Yes	
row_46	NTHL1	nth like DNA glycosylase 1 [Source:HGNC Symbol;Acc:HGNC:8028]	4798	0.5728280544281006	0.5910992	Yes	
row_47	GFER	growth factor, augmenter of liver regeneration [Source:HGNC Symbol;Acc:HGNC:4236]	4908	0.5567647218704224	0.5964576	Yes	
row_48	ZNF205	zinc finger protein 205 [Source:HGNC Symbol;Acc:HGNC:12996]	4913	0.5564868450164795	0.6045217	Yes	
row_49	IFT140	intraflagellar transport 140 [Source:HGNC Symbol;Acc:HGNC:29077]	4926	0.5541698932647705	0.61234534	Yes	
row_50	TPSD1	tryptase delta 1 [Source:HGNC Symbol;Acc:HGNC:14118]	5085	0.5539348721504211	0.6163977	Yes	
row_51	PRR35	proline rich 35 [Source:HGNC Symbol;Acc:HGNC:14139]	5366	0.5539348721504211	0.6173015	Yes	
row_52	RHBDF1	rhomboid 5 homolog 1 [Source:HGNC Symbol;Acc:HGNC:20561]	5475	0.5490416884422302	0.6225724	Yes	
row_53	RGS11	regulator of G protein signaling 11 [Source:HGNC Symbol;Acc:HGNC:9993]	5726	0.5316740274429321	0.6239238	Yes	
row_54	SSTR5	somatostatin receptor 5 [Source:HGNC Symbol;Acc:HGNC:11334]	6126	0.5316740274429321	0.62142986	Yes	
row_55	PTX4	pentraxin 4 [Source:HGNC Symbol;Acc:HGNC:14171]	6152	0.5316740274429321	0.62858784	Yes	
row_56	FAM234A	family with sequence similarity 234 member A [Source:HGNC Symbol;Acc:HGNC:14163]	6583	0.5113494396209717	0.62499565	Yes	
row_57	CAPN15	calpain 15 [Source:HGNC Symbol;Acc:HGNC:11182]	6692	0.5010728240013123	0.6295625	Yes	
