NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CDH1	cadherin 1 [Source:HGNC Symbol;Acc:HGNC:1748]	0	4.838791847229004	0.009521874	Yes	
row_1	S100P	S100 calcium binding protein P [Source:HGNC Symbol;Acc:HGNC:10504]	2	4.806792259216309	0.018954733	Yes	
row_2	SCEL	sciellin [Source:HGNC Symbol;Acc:HGNC:10573]	5	4.7386322021484375	0.028227422	Yes	
row_3	CDH3	cadherin 3 [Source:HGNC Symbol;Acc:HGNC:1762]	7	4.520000457763672	0.037095927	Yes	
row_4	KRT6A	keratin 6A [Source:HGNC Symbol;Acc:HGNC:6443]	10	4.466808795928955	0.045833714	Yes	
row_5	GRHL2	grainyhead like transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:2799]	20	4.163315773010254	0.053791974	Yes	
row_6	IRF6	interferon regulatory factor 6 [Source:HGNC Symbol;Acc:HGNC:6121]	26	4.102447986602783	0.06173463	Yes	
row_7	TRIM29	tripartite motif containing 29 [Source:HGNC Symbol;Acc:HGNC:17274]	31	4.035844326019287	0.06957227	Yes	
row_8	CLDN1	claudin 1 [Source:HGNC Symbol;Acc:HGNC:2032]	40	3.9241836071014404	0.077086	Yes	
row_9	INAVA	innate immunity activator [Source:HGNC Symbol;Acc:HGNC:25599]	42	3.9032366275787354	0.08474083	Yes	
row_10	ZBED2	zinc finger BED-type containing 2 [Source:HGNC Symbol;Acc:HGNC:20710]	46	3.837867259979248	0.09221493	Yes	
row_11	OVOL2	ovo like zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:15804]	56	3.771130084991455	0.09940144	Yes	
row_12	ST14	suppression of tumorigenicity 14 [Source:HGNC Symbol;Acc:HGNC:11344]	78	3.6285951137542725	0.105994925	Yes	
row_13	KRT17	keratin 17 [Source:HGNC Symbol;Acc:HGNC:6427]	81	3.6016721725463867	0.113030285	Yes	
row_14	C1orf116	chromosome 1 open reading frame 116 [Source:HGNC Symbol;Acc:HGNC:28667]	85	3.495181083679199	0.11983004	Yes	
row_15	KLK10	kallikrein related peptidase 10 [Source:HGNC Symbol;Acc:HGNC:6358]	88	3.4888200759887695	0.12664331	Yes	
row_16	MPZL2	myelin protein zero like 2 [Source:HGNC Symbol;Acc:HGNC:3496]	100	3.4796743392944336	0.1332042	Yes	
row_17	CKMT1B	creatine kinase, mitochondrial 1B [Source:HGNC Symbol;Acc:HGNC:1995]	104	3.453540802001953	0.13992202	Yes	
row_18	SPINT1	serine peptidase inhibitor, Kunitz type 1 [Source:HGNC Symbol;Acc:HGNC:11246]	109	3.4361648559570312	0.14657961	Yes	
row_19	TSPAN13	tetraspanin 13 [Source:HGNC Symbol;Acc:HGNC:21643]	111	3.422607421875	0.15328863	Yes	
row_20	ITGB6	integrin subunit beta 6 [Source:HGNC Symbol;Acc:HGNC:6161]	113	3.394448757171631	0.15994225	Yes	
row_21	B3GNT3	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:13528]	125	3.3033013343811035	0.16615607	Yes	
row_22	CEACAM6	CEA cell adhesion molecule 6 [Source:HGNC Symbol;Acc:HGNC:1818]	132	3.2639341354370117	0.17242265	Yes	
row_23	TSPAN1	tetraspanin 1 [Source:HGNC Symbol;Acc:HGNC:20657]	155	3.253052234649658	0.17825109	Yes	
row_24	RAB17	RAB17, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:16523]	156	3.248938798904419	0.18464442	Yes	
row_25	MISP	mitotic spindle positioning [Source:HGNC Symbol;Acc:HGNC:27000]	160	3.2012529373168945	0.19086577	Yes	
row_26	FGFBP1	fibroblast growth factor binding protein 1 [Source:HGNC Symbol;Acc:HGNC:19695]	162	3.172260284423828	0.19708216	Yes	
row_27	PTGS2	prostaglandin-endoperoxide synthase 2 [Source:HGNC Symbol;Acc:HGNC:9605]	178	3.012589693069458	0.20261973	Yes	
row_28	ERBB3	erb-b2 receptor tyrosine kinase 3 [Source:HGNC Symbol;Acc:HGNC:3431]	182	2.996861457824707	0.20843889	Yes	
row_29	SH2D3A	SH2 domain containing 3A [Source:HGNC Symbol;Acc:HGNC:16885]	196	2.892836093902588	0.21379289	Yes	
row_30	ESRP2	epithelial splicing regulatory protein 2 [Source:HGNC Symbol;Acc:HGNC:26152]	198	2.884312391281128	0.21944267	Yes	
row_31	SCNN1A	sodium channel epithelial 1 subunit alpha [Source:HGNC Symbol;Acc:HGNC:10599]	199	2.8803107738494873	0.22511059	Yes	
row_32	GRB14	growth factor receptor bound protein 14 [Source:HGNC Symbol;Acc:HGNC:4565]	204	2.850219488143921	0.23061514	Yes	
row_33	HOOK1	hook microtubule tethering protein 1 [Source:HGNC Symbol;Acc:HGNC:19884]	217	2.8180601596832275	0.23584804	Yes	
row_34	NCF2	neutrophil cytosolic factor 2 [Source:HGNC Symbol;Acc:HGNC:7661]	220	2.803553342819214	0.24131285	Yes	
row_35	JAG2	jagged canonical Notch ligand 2 [Source:HGNC Symbol;Acc:HGNC:6189]	224	2.7848007678985596	0.2467147	Yes	
row_36	C3	complement C3 [Source:HGNC Symbol;Acc:HGNC:1318]	226	2.7761764526367188	0.25215167	Yes	
row_37	BDKRB2	bradykinin receptor B2 [Source:HGNC Symbol;Acc:HGNC:1030]	229	2.7660164833068848	0.2575426	Yes	
row_38	ESRP1	epithelial splicing regulatory protein 1 [Source:HGNC Symbol;Acc:HGNC:25966]	233	2.7435078620910645	0.2628632	Yes	
row_39	SEL1L3	SEL1L family member 3 [Source:HGNC Symbol;Acc:HGNC:29108]	234	2.73842191696167	0.26825193	Yes	
row_40	GPRC5A	G protein-coupled receptor class C group 5 member A [Source:HGNC Symbol;Acc:HGNC:9836]	240	2.7070252895355225	0.27344865	Yes	
row_41	RASSF9	Ras association domain family member 9 [Source:HGNC Symbol;Acc:HGNC:15739]	241	2.705568790435791	0.2787727	Yes	
row_42	CDS1	CDP-diacylglycerol synthase 1 [Source:HGNC Symbol;Acc:HGNC:1800]	250	2.647301197052002	0.28377378	Yes	
row_43	CD24P4	CD24 molecule pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:1649]	258	2.619605779647827	0.2887464	Yes	
row_44	PKP3	plakophilin 3 [Source:HGNC Symbol;Acc:HGNC:9025]	264	2.6082582473754883	0.29374874	Yes	
row_45	BIRC3	baculoviral IAP repeat containing 3 [Source:HGNC Symbol;Acc:HGNC:591]	281	2.555798292160034	0.2983614	Yes	
row_46	SEMA3F	semaphorin 3F [Source:HGNC Symbol;Acc:HGNC:10728]	286	2.525916576385498	0.30322775	Yes	
row_47	PCDH7	protocadherin 7 [Source:HGNC Symbol;Acc:HGNC:8659]	295	2.495920181274414	0.30793092	Yes	
row_48	F11R	F11 receptor [Source:HGNC Symbol;Acc:HGNC:14685]	311	2.454341173171997	0.31236994	Yes	
row_49	AQP3	aquaporin 3 (Gill blood group) [Source:HGNC Symbol;Acc:HGNC:636]	312	2.4508116245269775	0.3171927	Yes	
row_50	MAP7	microtubule associated protein 7 [Source:HGNC Symbol;Acc:HGNC:6869]	315	2.430142641067505	0.32192272	Yes	
