NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SEC31A	SEC31 homolog A, COPII coat complex component [Source:HGNC Symbol;Acc:HGNC:17052]	2327	1.0236692428588867	-0.041904617	No	
row_1	DDX39B	DExD-box helicase 39B [Source:HGNC Symbol;Acc:HGNC:13917]	2375	1.0033626556396484	-0.025330506	No	
row_2	DCP2	decapping mRNA 2 [Source:HGNC Symbol;Acc:HGNC:24452]	2612	0.9401077628135681	-0.01475516	No	
row_3	NCK1	NCK adaptor protein 1 [Source:HGNC Symbol;Acc:HGNC:7664]	3806	0.6639777421951294	-0.033771656	No	
row_4	STAT5A	signal transducer and activator of transcription 5A [Source:HGNC Symbol;Acc:HGNC:11366]	7732	0.39587363600730896	-0.12804417	No	
row_5	TCF3	transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:11633]	8773	0.30595338344573975	-0.14945912	No	
row_6	ABCB7	ATP binding cassette subfamily B member 7 [Source:HGNC Symbol;Acc:HGNC:48]	9325	0.2697391211986542	-0.1588967	No	
row_7	ZNHIT3	zinc finger HIT-type containing 3 [Source:HGNC Symbol;Acc:HGNC:12309]	9377	0.2650166153907776	-0.15551478	No	
row_8	CNOT9	CCR4-NOT transcription complex subunit 9 [Source:HGNC Symbol;Acc:HGNC:10445]	9783	0.23911108076572418	-0.16172756	No	
row_9	ATM	ATM serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:795]	10579	0.18511484563350677	-0.1789621	No	
row_10	IDH3B	isocitrate dehydrogenase (NAD(+)) 3 non-catalytic subunit beta [Source:HGNC Symbol;Acc:HGNC:5385]	10691	0.17621736228466034	-0.17870273	No	
row_11	RECQL	RecQ like helicase [Source:HGNC Symbol;Acc:HGNC:9948]	10985	0.1571905016899109	-0.18347745	No	
row_12	PRPF4	pre-mRNA processing factor 4 [Source:HGNC Symbol;Acc:HGNC:17349]	11502	0.122383713722229	-0.19462402	No	
row_13	AATF	apoptosis antagonizing transcription factor [Source:HGNC Symbol;Acc:HGNC:19235]	11839	0.10359565168619156	-0.20145851	No	
row_14	SSBP2	single stranded DNA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:15831]	12229	0.07616394758224487	-0.21014704	No	
row_15	CSNK2A1	casein kinase 2 alpha 1 [Source:HGNC Symbol;Acc:HGNC:2457]	12784	0.03963722661137581	-0.22374114	No	
row_16	TAF11	TATA-box binding protein associated factor 11 [Source:HGNC Symbol;Acc:HGNC:11544]	12883	0.03243974968791008	-0.2256951	No	
row_17	SRSF11	serine and arginine rich splicing factor 11 [Source:HGNC Symbol;Acc:HGNC:10782]	12963	0.028009604662656784	-0.22723727	No	
row_18	MED20	mediator complex subunit 20 [Source:HGNC Symbol;Acc:HGNC:16840]	26287	-0.006787129212170839	-0.5709363	No	
row_19	RBBP4	RB binding protein 4, chromatin remodeling factor [Source:HGNC Symbol;Acc:HGNC:9887]	26635	-0.03110978938639164	-0.5793397	No	
