NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RHOH	ras homolog family member H [Source:HGNC Symbol;Acc:HGNC:686]	392	2.4227302074432373	0.019213723	No	
row_1	SEC31A	SEC31 homolog A, COPII coat complex component [Source:HGNC Symbol;Acc:HGNC:17052]	2327	1.0236692428588867	-0.01836226	No	
row_2	DDX39B	DExD-box helicase 39B [Source:HGNC Symbol;Acc:HGNC:13917]	2375	1.0033626556396484	-0.0074244924	No	
row_3	DCP2	decapping mRNA 2 [Source:HGNC Symbol;Acc:HGNC:24452]	2612	0.9401077628135681	-0.0021365592	No	
row_4	NCK1	NCK adaptor protein 1 [Source:HGNC Symbol;Acc:HGNC:7664]	3806	0.6639777421951294	-0.024921661	No	
row_5	STAT5A	signal transducer and activator of transcription 5A [Source:HGNC Symbol;Acc:HGNC:11366]	7732	0.39587363600730896	-0.12154823	No	
row_6	TCF3	transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:11633]	8773	0.30595338344573975	-0.14471605	No	
row_7	ABCB7	ATP binding cassette subfamily B member 7 [Source:HGNC Symbol;Acc:HGNC:48]	9325	0.2697391211986542	-0.15568683	No	
row_8	ZNHIT3	zinc finger HIT-type containing 3 [Source:HGNC Symbol;Acc:HGNC:12309]	9377	0.2650166153907776	-0.15379491	No	
row_9	CNOT9	CCR4-NOT transcription complex subunit 9 [Source:HGNC Symbol;Acc:HGNC:10445]	9783	0.23911108076572418	-0.16136403	No	
row_10	HMGN1	high mobility group nucleosome binding domain 1 [Source:HGNC Symbol;Acc:HGNC:4984]	10561	0.1864386349916458	-0.1791835	No	
row_11	ATM	ATM serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:795]	10579	0.18511484563350677	-0.17738076	No	
row_12	IDH3B	isocitrate dehydrogenase (NAD(+)) 3 non-catalytic subunit beta [Source:HGNC Symbol;Acc:HGNC:5385]	10691	0.17621736228466034	-0.17811471	No	
row_13	HMGN4	high mobility group nucleosomal binding domain 4 [Source:HGNC Symbol;Acc:HGNC:4989]	10698	0.17557667195796967	-0.17614324	No	
row_14	CASP2	caspase 2 [Source:HGNC Symbol;Acc:HGNC:1503]	10950	0.15993502736091614	-0.18069199	No	
row_15	RECQL	RecQ like helicase [Source:HGNC Symbol;Acc:HGNC:9948]	10985	0.1571905016899109	-0.17966673	No	
row_16	RIF1	replication timing regulatory factor 1 [Source:HGNC Symbol;Acc:HGNC:23207]	11375	0.1324375867843628	-0.18811439	No	
row_17	PRPF4	pre-mRNA processing factor 4 [Source:HGNC Symbol;Acc:HGNC:17349]	11502	0.122383713722229	-0.18988794	No	
row_18	AATF	apoptosis antagonizing transcription factor [Source:HGNC Symbol;Acc:HGNC:19235]	11839	0.10359565168619156	-0.19731542	No	
