NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	H4C9	H4 clustered histone 9 [Source:HGNC Symbol;Acc:HGNC:4793]	2557	0.954565703868866	-0.039964616	No	
row_1	H4C5	H4 clustered histone 5 [Source:HGNC Symbol;Acc:HGNC:4790]	6058	0.5316740274429321	-0.11572554	No	
row_2	H2AJ	H2A.J histone [Source:HGNC Symbol;Acc:HGNC:14456]	8057	0.3697909712791443	-0.1571731	No	
row_3	CENPS	centromere protein S [Source:HGNC Symbol;Acc:HGNC:23163]	9643	0.2450874149799347	-0.19136472	No	
row_4	CENPX	centromere protein X [Source:HGNC Symbol;Acc:HGNC:11422]	10103	0.2176603376865387	-0.19728027	No	
row_5	SMARCA5	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5 [Source:HGNC Symbol;Acc:HGNC:11101]	11224	0.14102619886398315	-0.22231479	No	
row_6	H4C13	H4 clustered histone 13 [Source:HGNC Symbol;Acc:HGNC:4791]	16841	0.0	-0.36706078	No	
row_7	H2BC9	H2B clustered histone 9 [Source:HGNC Symbol;Acc:HGNC:4755]	17597	0.0	-0.38652003	No	
row_8	H2AB1	H2A.B variant histone 1 [Source:HGNC Symbol;Acc:HGNC:22516]	17893	0.0	-0.39412332	No	
row_9	H2AC8	H2A clustered histone 8 [Source:HGNC Symbol;Acc:HGNC:4724]	17899	0.0	-0.3942522	No	
row_10	H2AC7	H2A clustered histone 7 [Source:HGNC Symbol;Acc:HGNC:4729]	17900	0.0	-0.3942522	No	
row_11	H2BS1	H2B.S histone 1 [Source:HGNC Symbol;Acc:HGNC:4762]	18224	0.0	-0.40257716	No	
row_12	H2BU1	H2B.U histone 1 [Source:HGNC Symbol;Acc:HGNC:20514]	18243	0.0	-0.4030411	No	
row_13	H2AC19	H2A clustered histone 19 [Source:HGNC Symbol;Acc:HGNC:29668]	19040	0.0	-0.42355707	No	
row_14	H2AC18	H2A clustered histone 18 [Source:HGNC Symbol;Acc:HGNC:4736]	19044	0.0	-0.4236344	No	
row_15	H2BC10	H2B clustered histone 10 [Source:HGNC Symbol;Acc:HGNC:4756]	25964	0.0	-0.60196376	No	
row_16	RSF1	remodeling and spacing factor 1 [Source:HGNC Symbol;Acc:HGNC:18118]	26630	-0.03091227076947689	-0.61826336	No	
row_17	RBBP4	RB binding protein 4, chromatin remodeling factor [Source:HGNC Symbol;Acc:HGNC:9887]	26635	-0.03110978938639164	-0.61752105	No	
row_18	H2BC13	H2B clustered histone 13 [Source:HGNC Symbol;Acc:HGNC:4748]	27628	-0.08406013995409012	-0.6408045	No	
row_19	NPM1	nucleophosmin 1 [Source:HGNC Symbol;Acc:HGNC:7910]	27751	-0.09203726798295975	-0.6414479	No	
row_20	RUVBL1	RuvB like AAA ATPase 1 [Source:HGNC Symbol;Acc:HGNC:10474]	29233	-0.16986575722694397	-0.6750031	No	
row_21	H2AX	H2A.X variant histone [Source:HGNC Symbol;Acc:HGNC:4739]	29992	-0.22584784030914307	-0.6884026	Yes	
row_22	CENPO	centromere protein O [Source:HGNC Symbol;Acc:HGNC:28152]	30125	-0.23493175208568573	-0.68542075	Yes	
row_23	H2BC15	H2B clustered histone 15 [Source:HGNC Symbol;Acc:HGNC:4749]	30305	-0.2498731017112732	-0.6832443	Yes	
row_24	CENPT	centromere protein T [Source:HGNC Symbol;Acc:HGNC:25787]	30680	-0.28051069378852844	-0.68526113	Yes	
row_25	H2AC20	H2A clustered histone 20 [Source:HGNC Symbol;Acc:HGNC:4738]	30850	-0.2932804822921753	-0.6816474	Yes	
row_26	CENPQ	centromere protein Q [Source:HGNC Symbol;Acc:HGNC:21347]	30972	-0.3022499978542328	-0.6765528	Yes	
row_27	H2AC6	H2A clustered histone 6 [Source:HGNC Symbol;Acc:HGNC:4733]	31103	-0.3123719096183777	-0.67141503	Yes	
row_28	H2BC4	H2B clustered histone 4 [Source:HGNC Symbol;Acc:HGNC:4757]	31921	-0.3822215497493744	-0.6820859	Yes	
row_29	CENPM	centromere protein M [Source:HGNC Symbol;Acc:HGNC:18352]	31933	-0.38325920701026917	-0.6719548	Yes	
row_30	MIS18A	MIS18 kinetochore protein A [Source:HGNC Symbol;Acc:HGNC:1286]	32110	-0.4005429148674011	-0.66560674	Yes	
row_31	CENPL	centromere protein L [Source:HGNC Symbol;Acc:HGNC:17879]	32749	-0.46188074350357056	-0.66949946	Yes	
row_32	H4-16	H4 histone 16 [Source:HGNC Symbol;Acc:HGNC:20510]	32761	-0.4638388454914093	-0.6571787	Yes	
row_33	H2BC21	H2B clustered histone 21 [Source:HGNC Symbol;Acc:HGNC:4760]	32968	-0.48765498399734497	-0.6492367	Yes	
row_34	MIS18BP1	MIS18 binding protein 1 [Source:HGNC Symbol;Acc:HGNC:20190]	33266	-0.5289019346237183	-0.6425193	Yes	
row_35	H2AC14	H2A clustered histone 14 [Source:HGNC Symbol;Acc:HGNC:4727]	33534	-0.5630189180374146	-0.63410157	Yes	
row_36	H2AZ1	H2A.Z variant histone 1 [Source:HGNC Symbol;Acc:HGNC:4741]	34825	-0.6040700078010559	-0.650935	Yes	
row_37	H2BC3	H2B clustered histone 3 [Source:HGNC Symbol;Acc:HGNC:4751]	34965	-0.6228475570678711	-0.63759243	Yes	
row_38	H4C1	H4 clustered histone 1 [Source:HGNC Symbol;Acc:HGNC:4781]	35223	-0.6410688161849976	-0.62679607	Yes	
row_39	H2BC5	H2B clustered histone 5 [Source:HGNC Symbol;Acc:HGNC:4747]	35302	-0.6515946984291077	-0.61110014	Yes	
