NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SUPT4H1	SPT4 homolog, DSIF elongation factor subunit [Source:HGNC Symbol;Acc:HGNC:11467]	3123	0.8003136515617371	-0.056461647	No	
row_1	E2F2	E2F transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:3114]	7475	0.4173135459423065	-0.15606084	No	
row_2	BRD2	bromodomain containing 2 [Source:HGNC Symbol;Acc:HGNC:1103]	9390	0.2638465166091919	-0.19746569	No	
row_3	CKS1BP7	CDC28 protein kinase regulatory subunit 1B pseudogene 7 [Source:HGNC Symbol;Acc:HGNC:1999]	11130	0.14597468078136444	-0.23789798	No	
row_4	CDC25A	cell division cycle 25A [Source:HGNC Symbol;Acc:HGNC:1725]	11968	0.09492149204015732	-0.25661844	No	
row_5	RAD51	RAD51 recombinase [Source:HGNC Symbol;Acc:HGNC:9817]	12868	0.03307449445128441	-0.27879247	No	
row_6	E2F3	E2F transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:3115]	12905	0.03128445893526077	-0.27878138	No	
row_7	CSTF1	cleavage stimulation factor subunit 1 [Source:HGNC Symbol;Acc:HGNC:2483]	13133	0.016509177163243294	-0.28413558	No	
row_8	H2AC18	H2A clustered histone 18 [Source:HGNC Symbol;Acc:HGNC:4736]	19044	0.0	-0.43643162	No	
row_9	H3C4	H3 clustered histone 4 [Source:HGNC Symbol;Acc:HGNC:4767]	20162	0.0	-0.46521583	No	
row_10	UMPS	uridine monophosphate synthetase [Source:HGNC Symbol;Acc:HGNC:12563]	27024	-0.05304715037345886	-0.6404266	No	
row_11	RFC2	replication factor C subunit 2 [Source:HGNC Symbol;Acc:HGNC:9970]	27273	-0.07107198983430862	-0.6446846	No	
row_12	MLH1	mutL homolog 1 [Source:HGNC Symbol;Acc:HGNC:7127]	27776	-0.09349509328603745	-0.6548152	No	
row_13	NAP1L4	nucleosome assembly protein 1 like 4 [Source:HGNC Symbol;Acc:HGNC:7640]	28958	-0.15060082077980042	-0.68072945	No	
row_14	HMGB3	high mobility group box 3 [Source:HGNC Symbol;Acc:HGNC:5004]	29323	-0.17624294757843018	-0.6848208	Yes	
row_15	POLD1	DNA polymerase delta 1, catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9175]	29399	-0.18309234082698822	-0.6812593	Yes	
row_16	CBX5	chromobox 5 [Source:HGNC Symbol;Acc:HGNC:1555]	29437	-0.1856633871793747	-0.6766414	Yes	
row_17	TK1	thymidine kinase 1 [Source:HGNC Symbol;Acc:HGNC:11830]	29482	-0.18912172317504883	-0.6721001	Yes	
row_18	RB1	RB transcriptional corepressor 1 [Source:HGNC Symbol;Acc:HGNC:9884]	29853	-0.2149997055530548	-0.6751831	Yes	
row_19	H2AX	H2A.X variant histone [Source:HGNC Symbol;Acc:HGNC:4739]	29992	-0.22584784030914307	-0.6719621	Yes	
row_20	MCM5	minichromosome maintenance complex component 5 [Source:HGNC Symbol;Acc:HGNC:6948]	30372	-0.25554150342941284	-0.67406034	Yes	
row_21	FEN1	flap structure-specific endonuclease 1 [Source:HGNC Symbol;Acc:HGNC:3650]	30781	-0.28820887207984924	-0.67592573	Yes	
row_22	RPA3	replication protein A3 [Source:HGNC Symbol;Acc:HGNC:10291]	30840	-0.29274246096611023	-0.6686358	Yes	
row_23	PCNA	proliferating cell nuclear antigen [Source:HGNC Symbol;Acc:HGNC:8729]	30888	-0.29805654287338257	-0.6609029	Yes	
