NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FA2H	fatty acid 2-hydroxylase [Source:HGNC Symbol;Acc:HGNC:21197]	23	4.123072147369385	0.03582639	Yes	
row_1	MAB21L4	mab-21 like 4 [Source:HGNC Symbol;Acc:HGNC:26216]	28	4.065120697021484	0.07163161	Yes	
row_2	MUC1	mucin 1, cell surface associated [Source:HGNC Symbol;Acc:HGNC:7508]	45	3.8610129356384277	0.10532395	Yes	
row_3	TMPRSS2	transmembrane serine protease 2 [Source:HGNC Symbol;Acc:HGNC:11876]	110	3.435859203338623	0.134021	Yes	
row_4	ITGB6	integrin subunit beta 6 [Source:HGNC Symbol;Acc:HGNC:6161]	113	3.394448757171631	0.1639536	Yes	
row_5	CEACAM6	CEA cell adhesion molecule 6 [Source:HGNC Symbol;Acc:HGNC:1818]	132	3.2639341354370117	0.1923201	Yes	
row_6	TSPAN1	tetraspanin 1 [Source:HGNC Symbol;Acc:HGNC:20657]	155	3.253052234649658	0.22048715	Yes	
row_7	CLIC3	chloride intracellular channel 3 [Source:HGNC Symbol;Acc:HGNC:2064]	179	3.0124104022979736	0.2465027	Yes	
row_8	SCNN1A	sodium channel epithelial 1 subunit alpha [Source:HGNC Symbol;Acc:HGNC:10599]	199	2.8803107738494873	0.27145466	Yes	
row_9	MMP15	matrix metallopeptidase 15 [Source:HGNC Symbol;Acc:HGNC:7161]	201	2.8671162128448486	0.29675502	Yes	
row_10	TMC5	transmembrane channel like 5 [Source:HGNC Symbol;Acc:HGNC:22999]	216	2.8184635639190674	0.32128984	Yes	
row_11	FUT3	fucosyltransferase 3 (Lewis blood group) [Source:HGNC Symbol;Acc:HGNC:4014]	227	2.7698614597320557	0.34549865	Yes	
row_12	CD24P4	CD24 molecule pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:1649]	258	2.619605779647827	0.36786363	Yes	
row_13	ASS1	argininosuccinate synthase 1 [Source:HGNC Symbol;Acc:HGNC:758]	301	2.483314037322998	0.38871473	Yes	
