NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
SNORD121B	1	ENSG00000238300	
HTR4	1	ENSG00000164270	
SNORD121A	1	ENSG00000238886	
HTR6	1	ENSG00000158748	
HTR7	1	ENSG00000148680	
BBX	1	ENSG00000114439	
RNU6-654P	1	ENSG00000201243	
RN7SL563P	1	ENSG00000239211	
ARL14EPP1	1	ENSG00000224891	
EXOC3-AS1	1	ENSG00000221990	
AL035696.3	1	ENSG00000263667	
WDR83OS	1	ENSG00000105583	
DHDH	1	ENSG00000104808	
BCR	1	ENSG00000186716	
VOPP1	1	ENSG00000154978	
RNU6-653P	1	ENSG00000199944	
CLEC20A	1	ENSG00000188585	
COL13A1	1	ENSG00000197467	
FOXP1-IT1	1	ENSG00000242094	
FAM187B2P	1	ENSG00000262497	
BNC2-AS1	1	ENSG00000234779	
SNORA63B	1	ENSG00000200418	
SNORA63C	1	ENSG00000201448	
RNU6-656P	1	ENSG00000252594	
SNORA63D	1	ENSG00000201229	
RN7SL561P	1	ENSG00000242348	
SNORA63E	1	ENSG00000199363	
SRP72P2	1	ENSG00000188451	
GTF2IRD2B	1	ENSG00000174428	
SRP72P1	1	ENSG00000265182	
MYOM3-AS1	1	ENSG00000230703	
SPAG5-AS1	1	ENSG00000227543	
DHFR	1	ENSG00000228716	
DELEC1	1	ENSG00000173077	
DCLRE1CP1	1	ENSG00000237470	
STRC	1	ENSG00000242866	
RNU6-655P	1	ENSG00000199728	
STRN	1	ENSG00000115808	
AC010478.1	1	ENSG00000259663	
RN7SL560P	1	ENSG00000264438	
CASP4LP	1	ENSG00000235505	
AC011890.1	1	ENSG00000181511	
BBC3	1	ENSG00000105327	
RNU6-650P	1	ENSG00000202528	
STUM	1	ENSG00000203685	
MYBPC3	1	ENSG00000134571	
MYBPC1	1	ENSG00000196091	
MYBPC2	1	ENSG00000086967	
FLJ20021	1	ENSG00000254531	
ANKRD49P2	1	ENSG00000225349	
ANKRD49P1	1	ENSG00000228446	
BGN	1	ENSG00000182492	
ANKRD49P4	1	ENSG00000214684	
ANKRD49P3	1	ENSG00000248616	
TMEFF1	1	ENSG00000241697	
TMEFF2	1	ENSG00000144339	
TRDD2	1	ENSG00000237235	
TRDD3	1	ENSG00000228985	
TRDD1	1	ENSG00000223997	
VCAN-AS1	1	ENSG00000249835	
RPS7P11	1	ENSG00000213326	
RPS7P12	1	ENSG00000237432	
RPS7P10	1	ENSG00000226525	
PAXBP1-AS1	1	ENSG00000238197	
BORCS7-ASMT	1	ENSG00000270316	
STX6	1	ENSG00000135823	
STX5	1	ENSG00000162236	
STX4	1	ENSG00000103496	
STX3	1	ENSG00000166900	
RPS7P15	1	ENSG00000237170	
STX2	1	ENSG00000111450	
BID	1	ENSG00000015475	
RPS7P13	1	ENSG00000235425	
RNU6-652P	1	ENSG00000202358	
SPDEF	1	ENSG00000124664	
RPS7P14	1	ENSG00000213695	
MBD3	1	ENSG00000071655	
MBD4	1	ENSG00000129071	
MBD5	1	ENSG00000204406	
MBD6	1	ENSG00000166987	
BIK	1	ENSG00000100290	
MBD1	1	ENSG00000141644	
MBD2	1	ENSG00000134046	
RNU6-651P	1	ENSG00000222972	
RNF14P1	1	ENSG00000232915	
RNF14P2	1	ENSG00000250594	
FBXO27	1	ENSG00000161243	
FBXO28	1	ENSG00000143756	
FBXO25	1	ENSG00000147364	
FBXO24	1	ENSG00000106336	
MCHR2-AS1	1	ENSG00000229315	
FBXO21	1	ENSG00000135108	
AC236972.3	1	ENSG00000273877	
FBXO22	1	ENSG00000167196	
FADS3	1	ENSG00000221968	
FADS2	1	ENSG00000134824	
AL355390.1	1	ENSG00000177596	
TIMM17BP1	1	ENSG00000256756	
MYBPHL	1	ENSG00000221986	
FNTA	1	ENSG00000168522	
IGHD2OR15-2B	1	ENSG00000282268	
FADS6	1	ENSG00000172782	
FNTB	1	ENSG00000257365	
IGHD2OR15-2A	1	ENSG00000282599	
RNF14P3	1	ENSG00000238109	
RNF14P4	1	ENSG00000223500	
FADS1	1	ENSG00000149485	
RXYLT1-AS1	1	ENSG00000255850	
FBXO16	1	ENSG00000214050	
STX8	1	ENSG00000170310	
STX7	1	ENSG00000079950	
AC044839.1	1	ENSG00000254519	
FBXO17	1	ENSG00000269190	
FGD5P1	1	ENSG00000275340	
FBXO15	1	ENSG00000141665	
MIR583HG	1	ENSG00000250551	
FBXO10	1	ENSG00000147912	
FBXO11	1	ENSG00000138081	
MINPP1	1	ENSG00000107789	
AC005622.1	1	ENSG00000283525	
BLK	1	ENSG00000136573	
BLM	1	ENSG00000197299	
PDZRN3-AS1	1	ENSG00000239677	
IREB2	1	ENSG00000136381	
FBXO47	1	ENSG00000204952	
FBXO48	1	ENSG00000204923	
FBXO45	1	ENSG00000174013	
FBXO46	1	ENSG00000177051	
FBXO43	1	ENSG00000156509	
FBXO44	1	ENSG00000132879	
FBXO41	1	ENSG00000163013	
FBXO42	1	ENSG00000037637	
FBXO40	1	ENSG00000163833	
GRAMD4P1	1	ENSG00000227874	
FAM111A-DT	1	ENSG00000245571	
GRAMD4P7	1	ENSG00000266242	
GRAMD4P8	1	ENSG00000270930	
GRAMD4P5	1	ENSG00000259089	
GRAMD4P6	1	ENSG00000258848	
MBIP	1	ENSG00000151332	
BMF	1	ENSG00000104081	
TACC1P1	1	ENSG00000224920	
AC073636.1	1	ENSG00000227098	
HTR1E	1	ENSG00000168830	
HTR1F	1	ENSG00000179097	
FBXO38	1	ENSG00000145868	
HTR1D	1	ENSG00000179546	
STYX	1	ENSG00000198252	
FBXO39	1	ENSG00000177294	
FBXO36	1	ENSG00000153832	
HTR1A	1	ENSG00000178394	
HTR1B	1	ENSG00000135312	
FBXO34	1	ENSG00000178974	
RGMB-AS1	1	ENSG00000246763	
AL354718.3	1	ENSG00000276832	
FBXO32	1	ENSG00000156804	
BMX	1	ENSG00000102010	
FBXO33	1	ENSG00000165355	
FBXO30	1	ENSG00000118496	
FAM90A1	1	ENSG00000171847	
FBXO31	1	ENSG00000103264	
AGAP1-IT1	1	ENSG00000235529	
LRRC37BP1	1	ENSG00000250462	
HTR2B	1	ENSG00000135914	
EDRF1-DT	1	ENSG00000224023	
PPWD1	1	ENSG00000113593	
HTR2C	1	ENSG00000147246	
HTR2A	1	ENSG00000102468	
HCFC1-AS1	1	ENSG00000235802	
BOC	1	ENSG00000144857	
SPDL1	1	ENSG00000040275	
BOK	1	ENSG00000176720	
MBL2	1	ENSG00000165471	
SLC36A1	1	ENSG00000123643	
SLC36A3	1	ENSG00000186334	
SLC36A2	1	ENSG00000186335	
ASTN2-AS1	1	ENSG00000229105	
HTR3E	1	ENSG00000186038	
VPS13C	1	ENSG00000129003	
VPS13D	1	ENSG00000048707	
DHPS	1	ENSG00000095059	
HTR3C	1	ENSG00000178084	
VPS13A	1	ENSG00000197969	
HTR3D	1	ENSG00000186090	
VPS13B	1	ENSG00000132549	
HTR3A	1	ENSG00000166736	
HTR3B	1	ENSG00000149305	
RABGGTB	1	ENSG00000137955	
RABGGTA	1	ENSG00000100949	
CD24P4	1	ENSG00000185275	
CD24P1	1	ENSG00000236500	
CD24P2	1	ENSG00000261333	
C1D	1	ENSG00000197223	
BPI	1	ENSG00000101425	
AC073610.1	1	ENSG00000239617	
CYP51A1P1	1	ENSG00000241095	
C1S	1	ENSG00000182326	
C1R	1	ENSG00000159403	
CYP51A1P3	1	ENSG00000215223	
IL2RG	1	ENSG00000147168	
CYP51A1P2	1	ENSG00000233588	
CYP1D1P	1	ENSG00000228024	
AL133330.2	1	ENSG00000255004	
CYP4A27P	1	ENSG00000261593	
SLC36A4	1	ENSG00000180773	
MYG1-AS1	1	ENSG00000257605	
TSPOAP1	1	ENSG00000005379	
OR7E55P	1	ENSG00000230655	
OR7E53P	1	ENSG00000239978	
GPKOW	1	ENSG00000068394	
TRDJ2	1	ENSG00000211827	
TRDJ3	1	ENSG00000211828	
TRDJ1	1	ENSG00000211825	
HTR5A	1	ENSG00000157219	
IL2RA	1	ENSG00000134460	
TRDJ4	1	ENSG00000211826	
ANKRD62P1-PARP4P3	1	ENSG00000189295	
IL2RB	1	ENSG00000100385	
