NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CTH	cystathionine gamma-lyase [Source:HGNC Symbol;Acc:HGNC:2501]	557	2.280534029006958	0.039530862	No	
row_1	FOSL2	FOS like 2, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3798]	1693	1.2537089586257935	0.039908662	No	
row_2	PPL	periplakin [Source:HGNC Symbol;Acc:HGNC:9273]	1874	1.1786623001098633	0.06311913	No	
row_3	TREM1	triggering receptor expressed on myeloid cells 1 [Source:HGNC Symbol;Acc:HGNC:17760]	4945	0.5539348721504211	-0.0028923175	No	
row_4	MAP1B	microtubule associated protein 1B [Source:HGNC Symbol;Acc:HGNC:6836]	5465	0.5504254102706909	-0.0032595894	No	
row_5	PDP1	pyruvate dehyrogenase phosphatase catalytic subunit 1 [Source:HGNC Symbol;Acc:HGNC:9279]	8007	0.37347954511642456	-0.059904844	No	
row_6	ADARB1	adenosine deaminase RNA specific B1 [Source:HGNC Symbol;Acc:HGNC:226]	9342	0.26808270812034607	-0.08794168	No	
row_7	IGFBP5	insulin like growth factor binding protein 5 [Source:HGNC Symbol;Acc:HGNC:5474]	9748	0.24015437066555023	-0.09270247	No	
row_8	CDC25A	cell division cycle 25A [Source:HGNC Symbol;Acc:HGNC:1725]	11968	0.09492149204015732	-0.14763281	No	
row_9	OR1E1	olfactory receptor family 1 subfamily E member 1 [Source:HGNC Symbol;Acc:HGNC:8189]	16746	0.0	-0.2707133	No	
row_10	ZFY	zinc finger protein Y-linked [Source:HGNC Symbol;Acc:HGNC:12870]	18127	0.0	-0.3062693	No	
row_11	H2AC16	H2A clustered histone 16 [Source:HGNC Symbol;Acc:HGNC:4730]	19043	0.0	-0.32984447	No	
row_12	TCF4	transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:11634]	27123	-0.061185725033283234	-0.5365561	No	
row_13	PTTG3P	pituitary tumor-transforming 3, pseudogene [Source:HGNC Symbol;Acc:HGNC:13422]	28600	-0.13454385101795197	-0.5714067	No	
row_14	TK1	thymidine kinase 1 [Source:HGNC Symbol;Acc:HGNC:11830]	29482	-0.18912172317504883	-0.5896375	No	
row_15	IL12RB2	interleukin 12 receptor subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:5972]	30145	-0.2366563230752945	-0.60110265	No	
row_16	NUP62	nucleoporin 62 [Source:HGNC Symbol;Acc:HGNC:8066]	30451	-0.2618938088417053	-0.60277325	No	
row_17	RACGAP1	Rac GTPase activating protein 1 [Source:HGNC Symbol;Acc:HGNC:9804]	31738	-0.3675881326198578	-0.62722236	No	
row_18	EXOSC9	exosome component 9 [Source:HGNC Symbol;Acc:HGNC:9137]	31971	-0.38608241081237793	-0.6240779	No	
row_19	UBE2C	ubiquitin conjugating enzyme E2 C [Source:HGNC Symbol;Acc:HGNC:15937]	32379	-0.42731115221977234	-0.6244683	No	
row_20	QPCT	glutaminyl-peptide cyclotransferase [Source:HGNC Symbol;Acc:HGNC:9753]	32651	-0.453888475894928	-0.6207267	No	
row_21	CDC20	cell division cycle 20 [Source:HGNC Symbol;Acc:HGNC:1723]	33238	-0.5246305465698242	-0.6234297	No	
row_22	LMNB1	lamin B1 [Source:HGNC Symbol;Acc:HGNC:6637]	33448	-0.5529128909111023	-0.61575097	No	
row_23	MRE11	MRE11 homolog, double strand break repair nuclease [Source:HGNC Symbol;Acc:HGNC:7230]	35180	-0.6357802748680115	-0.645329	Yes	
row_24	FBXO5	F-box protein 5 [Source:HGNC Symbol;Acc:HGNC:13584]	35198	-0.6374514102935791	-0.630706	Yes	
row_25	TPX2	TPX2 microtubule nucleation factor [Source:HGNC Symbol;Acc:HGNC:1249]	35321	-0.6527886986732483	-0.6184259	Yes	
row_26	AURKB	aurora kinase B [Source:HGNC Symbol;Acc:HGNC:11390]	35621	-0.7030037641525269	-0.6095199	Yes	
row_27	DBF4	DBF4 zinc finger [Source:HGNC Symbol;Acc:HGNC:17364]	35798	-0.7220892906188965	-0.5969938	Yes	
row_28	NEK2	NIMA related kinase 2 [Source:HGNC Symbol;Acc:HGNC:7745]	35893	-0.742292582988739	-0.5818776	Yes	
