NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	F10	coagulation factor X [Source:HGNC Symbol;Acc:HGNC:3528]	327	2.4227302074432373	0.021434426	No	
row_1	DCN	decorin [Source:HGNC Symbol;Acc:HGNC:2705]	634	2.0659282207489014	0.039011147	No	
row_2	GASK1B	golgi associated kinase 1B [Source:HGNC Symbol;Acc:HGNC:25312]	687	2.0140273571014404	0.06250407	No	
row_3	SEMA3B	semaphorin 3B [Source:HGNC Symbol;Acc:HGNC:10724]	855	1.875644564628601	0.08132222	No	
row_4	SOD3	superoxide dismutase 3 [Source:HGNC Symbol;Acc:HGNC:11181]	1369	1.396132469177246	0.0852966	No	
row_5	WIPI1	WD repeat domain, phosphoinositide interacting 1 [Source:HGNC Symbol;Acc:HGNC:25471]	3393	0.7412856221199036	0.04222022	No	
row_6	SQOR	sulfide quinone oxidoreductase [Source:HGNC Symbol;Acc:HGNC:20390]	3509	0.7199227213859558	0.04812929	No	
row_7	JPT1	Jupiter microtubule associated homolog 1 [Source:HGNC Symbol;Acc:HGNC:14569]	5608	0.5374714136123657	6.037781E-4	No	
row_8	DCTPP1	dCTP pyrophosphatase 1 [Source:HGNC Symbol;Acc:HGNC:28777]	7813	0.38594692945480347	-0.05152624	No	
row_9	LRRN4CL	LRRN4 C-terminal like [Source:HGNC Symbol;Acc:HGNC:33724]	8231	0.35096660256385803	-0.05796196	No	
row_10	IFT20	intraflagellar transport 20 [Source:HGNC Symbol;Acc:HGNC:30989]	8735	0.30961474776268005	-0.0671274	No	
row_11	EIF2S1	eukaryotic translation initiation factor 2 subunit alpha [Source:HGNC Symbol;Acc:HGNC:3265]	12046	0.08902857452630997	-0.15146658	No	
row_12	LXN	latexin [Source:HGNC Symbol;Acc:HGNC:13347]	12321	0.06954797357320786	-0.15768139	No	
row_13	RPA2	replication protein A2 [Source:HGNC Symbol;Acc:HGNC:10290]	12436	0.06126284971833229	-0.15986851	No	
row_14	RANBP1	RAN binding protein 1 [Source:HGNC Symbol;Acc:HGNC:9847]	12870	0.032978832721710205	-0.17063834	No	
row_15	PTTG2	pituitary tumor-transforming 2 [Source:HGNC Symbol;Acc:HGNC:9691]	23820	0.0	-0.4532515	No	
row_16	SULF2	sulfatase 2 [Source:HGNC Symbol;Acc:HGNC:20392]	26394	-0.013919329270720482	-0.5194936	No	
row_17	TPRKB	TP53RK binding protein [Source:HGNC Symbol;Acc:HGNC:24259]	26415	-0.015386226586997509	-0.5198201	No	
row_18	MAGOHB	mago homolog B, exon junction complex subunit [Source:HGNC Symbol;Acc:HGNC:25504]	26895	-0.041629426181316376	-0.5316706	No	
row_19	HAUS3	HAUS augmin like complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:28719]	27097	-0.05867761746048927	-0.5361352	No	
row_20	MXRA5	matrix remodeling associated 5 [Source:HGNC Symbol;Acc:HGNC:7539]	27342	-0.07346084713935852	-0.54152745	No	
row_21	DNAJC9	DnaJ heat shock protein family (Hsp40) member C9 [Source:HGNC Symbol;Acc:HGNC:19123]	28281	-0.11305779218673706	-0.56434476	No	
row_22	ALYREF	Aly/REF export factor [Source:HGNC Symbol;Acc:HGNC:19071]	28325	-0.11699626594781876	-0.564012	No	
row_23	E2F8	E2F transcription factor 8 [Source:HGNC Symbol;Acc:HGNC:24727]	28474	-0.12781904637813568	-0.566256	No	
row_24	E2F1	E2F transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:3113]	28852	-0.14132550358772278	-0.5742443	No	
row_25	PAICS	phosphoribosylaminoimidazole carboxylase and phosphoribosylaminoimidazolesuccinocarboxamide synthase [Source:HGNC Symbol;Acc:HGNC:8587]	28913	-0.14615730941295624	-0.57399076	No	
row_26	NUP88	nucleoporin 88 [Source:HGNC Symbol;Acc:HGNC:8067]	29032	-0.15687981247901917	-0.57510203	No	
row_27	MCM7	minichromosome maintenance complex component 7 [Source:HGNC Symbol;Acc:HGNC:6950]	29108	-0.16186487674713135	-0.57504195	No	
row_28	KNSTRN	kinetochore localized astrin (SPAG5) binding protein [Source:HGNC Symbol;Acc:HGNC:30767]	29273	-0.17227882146835327	-0.5771507	No	
row_29	HMGB3	high mobility group box 3 [Source:HGNC Symbol;Acc:HGNC:5004]	29323	-0.17624294757843018	-0.5762422	No	
row_30	POLD1	DNA polymerase delta 1, catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9175]	29399	-0.18309234082698822	-0.57592034	No	
row_31	HMGB2	high mobility group box 2 [Source:HGNC Symbol;Acc:HGNC:5000]	29435	-0.1856050342321396	-0.5745351	No	
row_32	UHRF1	ubiquitin like with PHD and ring finger domains 1 [Source:HGNC Symbol;Acc:HGNC:12556]	29494	-0.189922034740448	-0.57369024	No	
row_33	CLN6	CLN6 transmembrane ER protein [Source:HGNC Symbol;Acc:HGNC:2077]	29627	-0.19881895184516907	-0.5746457	No	
row_34	H2AX	H2A.X variant histone [Source:HGNC Symbol;Acc:HGNC:4739]	29992	-0.22584784030914307	-0.5812563	No	
row_35	PLEK2	pleckstrin 2 [Source:HGNC Symbol;Acc:HGNC:19238]	30157	-0.23743033409118652	-0.5825616	No	
row_36	MYBL2	MYB proto-oncogene like 2 [Source:HGNC Symbol;Acc:HGNC:7548]	30265	-0.24566175043582916	-0.5822942	No	
row_37	MCM2	minichromosome maintenance complex component 2 [Source:HGNC Symbol;Acc:HGNC:6944]	30285	-0.2474694848060608	-0.5797331	No	
row_38	PCNA	proliferating cell nuclear antigen [Source:HGNC Symbol;Acc:HGNC:8729]	30888	-0.29805654287338257	-0.59159636	No	
row_39	TRIP13	thyroid hormone receptor interactor 13 [Source:HGNC Symbol;Acc:HGNC:12307]	30990	-0.3035978376865387	-0.5904597	No	
row_40	RFC4	replication factor C subunit 4 [Source:HGNC Symbol;Acc:HGNC:9972]	31244	-0.32248640060424805	-0.59301347	No	
row_41	RBBP8	RB binding protein 8, endonuclease [Source:HGNC Symbol;Acc:HGNC:9891]	31415	-0.33700546622276306	-0.5932458	Yes	
