NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
CHARAFE_BREAST_CANCER_BASAL_VS_MESENCHYMAL_UP	CHARAFE_BREAST_CANCER_BASAL_VS_MESENCHYMAL_UP	Details ...	123	0.81311417	2.3994558	0.0	0.0	0.0	3218	tags=61%, list=8%, signal=66%	
COLDREN_GEFITINIB_RESISTANCE_DN	COLDREN_GEFITINIB_RESISTANCE_DN	Details ...	228	0.76382726	2.3968303	0.0	0.0	0.0	3767	tags=56%, list=10%, signal=61%	
CHARAFE_BREAST_CANCER_LUMINAL_VS_MESENCHYMAL_UP	CHARAFE_BREAST_CANCER_LUMINAL_VS_MESENCHYMAL_UP	Details ...	451	0.72082394	2.3866765	0.0	0.0	0.0	4191	tags=51%, list=11%, signal=56%	
HOLLERN_EMT_BREAST_TUMOR_DN	HOLLERN_EMT_BREAST_TUMOR_DN	Details ...	122	0.80273587	2.364711	0.0	0.0	0.0	3437	tags=60%, list=9%, signal=65%	
LIN_SILENCED_BY_TUMOR_MICROENVIRONMENT	LIN_SILENCED_BY_TUMOR_MICROENVIRONMENT	Details ...	107	0.77382183	2.2588515	0.0	0.0	0.0	2629	tags=48%, list=7%, signal=51%	
ONDER_CDH1_TARGETS_2_DN	ONDER_CDH1_TARGETS_2_DN	Details ...	472	0.6640262	2.1989517	0.0	0.0	0.0	3287	tags=42%, list=8%, signal=45%	
AIGNER_ZEB1_TARGETS	AIGNER_ZEB1_TARGETS	Details ...	34	0.8972238	2.190768	0.0	0.0	0.0	1915	tags=79%, list=5%, signal=83%	
JAEGER_METASTASIS_DN	JAEGER_METASTASIS_DN	Details ...	256	0.68642974	2.1890998	0.0	0.0	0.0	3424	tags=40%, list=9%, signal=44%	
ANDERSEN_CHOLANGIOCARCINOMA_CLASS2	ANDERSEN_CHOLANGIOCARCINOMA_CLASS2	Details ...	175	0.7081004	2.1646764	0.0	0.0	0.0	3724	tags=49%, list=10%, signal=54%	
BOSCO_EPITHELIAL_DIFFERENTIATION_MODULE	BOSCO_EPITHELIAL_DIFFERENTIATION_MODULE	Details ...	69	0.78823394	2.1468825	0.0	0.0	0.0	3142	tags=41%, list=8%, signal=44%	
MCBRYAN_PUBERTAL_BREAST_4_5WK_UP	MCBRYAN_PUBERTAL_BREAST_4_5WK_UP	Details ...	268	0.6509499	2.0769007	0.0	0.0	0.0	3808	tags=42%, list=10%, signal=46%	
REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE	REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE	Details ...	129	0.69759303	2.0721128	0.0	0.0	0.0	2119	tags=24%, list=5%, signal=25%	
RASHI_RESPONSE_TO_IONIZING_RADIATION_2	RASHI_RESPONSE_TO_IONIZING_RADIATION_2	Details ...	124	0.69324374	2.0660217	0.0	0.0	0.0	4865	tags=48%, list=13%, signal=55%	
WAMUNYOKOLI_OVARIAN_CANCER_LMP_UP	WAMUNYOKOLI_OVARIAN_CANCER_LMP_UP	Details ...	268	0.6511563	2.0614543	0.0	0.0	0.0	4848	tags=42%, list=12%, signal=47%	
DIRMEIER_LMP1_RESPONSE_EARLY	DIRMEIER_LMP1_RESPONSE_EARLY	Details ...	62	0.7697606	2.0608037	0.0	0.0	0.0	3721	tags=58%, list=10%, signal=64%	
REACTOME_KERATINIZATION	REACTOME_KERATINIZATION	Details ...	217	0.65606004	2.055299	0.0	0.0	0.0	6160	tags=22%, list=16%, signal=26%	
BLANCO_MELO_HUMAN_PARAINFLUENZA_VIRUS_3_INFECTION_A594_CELLS_DN	BLANCO_MELO_HUMAN_PARAINFLUENZA_VIRUS_3_INFECTION_A594_CELLS_DN	Details ...	121	0.6979933	2.0447962	0.0	0.0	0.0	3627	tags=42%, list=9%, signal=46%	
RICKMAN_METASTASIS_DN	RICKMAN_METASTASIS_DN	Details ...	260	0.63937986	2.0399222	0.0	7.0605405E-5	0.001	7327	tags=53%, list=19%, signal=64%	
NIKOLSKY_BREAST_CANCER_16P13_AMPLICON	NIKOLSKY_BREAST_CANCER_16P13_AMPLICON	Details ...	119	0.6902603	2.0285769	0.0	6.688933E-5	0.001	8848	tags=66%, list=23%, signal=86%	
SARRIO_EPITHELIAL_MESENCHYMAL_TRANSITION_DN	SARRIO_EPITHELIAL_MESENCHYMAL_TRANSITION_DN	Details ...	144	0.6726787	2.0188	0.0	6.354486E-5	0.001	5001	tags=48%, list=13%, signal=55%	
NAGASHIMA_NRG1_SIGNALING_UP	NAGASHIMA_NRG1_SIGNALING_UP	Details ...	172	0.6541758	2.012232	0.0	6.051892E-5	0.001	4867	tags=48%, list=13%, signal=54%	
MISSIAGLIA_REGULATED_BY_METHYLATION_UP	MISSIAGLIA_REGULATED_BY_METHYLATION_UP	Details ...	125	0.68160415	2.0102525	0.0	5.776806E-5	0.001	4884	tags=52%, list=13%, signal=59%	
KOBAYASHI_EGFR_SIGNALING_24HR_UP	KOBAYASHI_EGFR_SIGNALING_24HR_UP	Details ...	101	0.68966204	2.002483	0.0	1.0969557E-4	0.002	3048	tags=47%, list=8%, signal=50%	
DUTERTRE_ESTRADIOL_RESPONSE_6HR_DN	DUTERTRE_ESTRADIOL_RESPONSE_6HR_DN	Details ...	91	0.7036732	1.991389	0.0	1.0512492E-4	0.002	3593	tags=52%, list=9%, signal=57%	
BLANCO_MELO_RESPIRATORY_SYNCYTIAL_VIRUS_INFECTION_A594_CELLS_DN	BLANCO_MELO_RESPIRATORY_SYNCYTIAL_VIRUS_INFECTION_A594_CELLS_DN	Details ...	119	0.67961466	1.9903939	0.0	1.0091992E-4	0.002	3523	tags=40%, list=9%, signal=44%	
ZHANG_RESPONSE_TO_IKK_INHIBITOR_AND_TNF_UP	ZHANG_RESPONSE_TO_IKK_INHIBITOR_AND_TNF_UP	Details ...	223	0.62990785	1.9862648	0.0	1.4535853E-4	0.003	4808	tags=47%, list=12%, signal=53%	
SMID_BREAST_CANCER_ERBB2_UP	SMID_BREAST_CANCER_ERBB2_UP	Details ...	151	0.6531552	1.9808135	0.0	1.8696499E-4	0.004	4751	tags=31%, list=12%, signal=35%	
KIM_RESPONSE_TO_TSA_AND_DECITABINE_UP	KIM_RESPONSE_TO_TSA_AND_DECITABINE_UP	Details ...	135	0.6573988	1.9655911	0.0	3.6122068E-4	0.008	3371	tags=37%, list=9%, signal=40%	
DELPUECH_FOXO3_TARGETS_UP	DELPUECH_FOXO3_TARGETS_UP	Details ...	65	0.72354513	1.9630572	0.0	3.487648E-4	0.008	3763	tags=45%, list=10%, signal=49%	
FURUKAWA_DUSP6_TARGETS_PCI35_UP	FURUKAWA_DUSP6_TARGETS_PCI35_UP	Details ...	72	0.7150193	1.961935	0.0	3.3713932E-4	0.008	2785	tags=42%, list=7%, signal=45%	
AMIT_SERUM_RESPONSE_120_MCF10A	AMIT_SERUM_RESPONSE_120_MCF10A		65	0.7200991	1.9614756	0.0	3.2626386E-4	0.008	4867	tags=54%, list=13%, signal=61%	
LIEN_BREAST_CARCINOMA_METAPLASTIC_VS_DUCTAL_DN	LIEN_BREAST_CARCINOMA_METAPLASTIC_VS_DUCTAL_DN		115	0.6672033	1.9497998	0.0	4.733512E-4	0.012	3397	tags=36%, list=9%, signal=39%	
WU_CELL_MIGRATION	WU_CELL_MIGRATION		182	0.63301647	1.9466583	0.0	4.974537E-4	0.013	3724	tags=42%, list=10%, signal=47%	
CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_5	CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_5		492	0.5850501	1.9464386	0.0	4.828227E-4	0.013	4813	tags=38%, list=12%, signal=43%	
ZWANG_CLASS_3_TRANSIENTLY_INDUCED_BY_EGF	ZWANG_CLASS_3_TRANSIENTLY_INDUCED_BY_EGF		230	0.61636627	1.9376978	0.0	5.399329E-4	0.015	4888	tags=46%, list=13%, signal=52%	
ABBUD_LIF_SIGNALING_1_UP	ABBUD_LIF_SIGNALING_1_UP		42	0.76740676	1.9297045	0.0	5.5964536E-4	0.016	3689	tags=50%, list=9%, signal=55%	
SEITZ_NEOPLASTIC_TRANSFORMATION_BY_8P_DELETION_UP	SEITZ_NEOPLASTIC_TRANSFORMATION_BY_8P_DELETION_UP		74	0.6896008	1.9240505	0.0	7.141448E-4	0.021	4931	tags=57%, list=13%, signal=65%	
UZONYI_RESPONSE_TO_LEUKOTRIENE_AND_THROMBIN	UZONYI_RESPONSE_TO_LEUKOTRIENE_AND_THROMBIN		36	0.7796519	1.9207511	0.0	7.949514E-4	0.024	3644	tags=64%, list=9%, signal=70%	
REACTOME_DEFECTIVE_C1GALT1C1_CAUSES_TN_POLYAGGLUTINATION_SYNDROME_TNPS_	REACTOME_DEFECTIVE_C1GALT1C1_CAUSES_TN_POLYAGGLUTINATION_SYNDROME_TNPS_		17	0.89624864	1.901946	0.0	0.001195535	0.036	755	tags=35%, list=2%, signal=36%	
ZWANG_EGF_INTERVAL_DN	ZWANG_EGF_INTERVAL_DN		237	0.6021063	1.90111	0.0	0.0011656465	0.036	3931	tags=35%, list=10%, signal=38%	
UDAYAKUMAR_MED1_TARGETS_DN	UDAYAKUMAR_MED1_TARGETS_DN		244	0.6037313	1.8995897	0.0	0.0011984014	0.038	4092	tags=37%, list=11%, signal=41%	
MUELLER_METHYLATED_IN_GLIOBLASTOMA	MUELLER_METHYLATED_IN_GLIOBLASTOMA		43	0.74284357	1.8964841	0.0	0.0012001896	0.039	3371	tags=42%, list=9%, signal=46%	
GALINDO_IMMUNE_RESPONSE_TO_ENTEROTOXIN	GALINDO_IMMUNE_RESPONSE_TO_ENTEROTOXIN		79	0.6809941	1.8947753	0.0	0.001231209	0.041	4762	tags=53%, list=12%, signal=60%	
DAUER_STAT3_TARGETS_UP	DAUER_STAT3_TARGETS_UP		48	0.72908336	1.894477	0.0	0.001203227	0.041	3861	tags=56%, list=10%, signal=62%	
TIEN_INTESTINE_PROBIOTICS_24HR_DN	TIEN_INTESTINE_PROBIOTICS_24HR_DN		215	0.59744245	1.8935012	0.0	0.001232574	0.043	8994	tags=53%, list=23%, signal=69%	
BLANCO_MELO_BETA_INTERFERON_TREATED_BRONCHIAL_EPITHELIAL_CELLS_DN	BLANCO_MELO_BETA_INTERFERON_TREATED_BRONCHIAL_EPITHELIAL_CELLS_DN		216	0.606107	1.8927461	0.0	0.0012326641	0.044	4904	tags=37%, list=13%, signal=42%	
MCBRYAN_PUBERTAL_TGFB1_TARGETS_DN	MCBRYAN_PUBERTAL_TGFB1_TARGETS_DN		63	0.69979805	1.891769	0.0	0.0012064374	0.044	4562	tags=51%, list=12%, signal=57%	
HECKER_IFNB1_TARGETS	HECKER_IFNB1_TARGETS		94	0.6540786	1.8872138	0.0	0.0013670927	0.051	5054	tags=41%, list=13%, signal=48%	
AMIT_EGF_RESPONSE_120_HELA	AMIT_EGF_RESPONSE_120_HELA		68	0.69190496	1.8848253	0.0	0.001365015	0.052	3386	tags=47%, list=9%, signal=51%	
