NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
FLORIO_NEOCORTEX_BASAL_RADIAL_GLIA_DN	FLORIO_NEOCORTEX_BASAL_RADIAL_GLIA_DN	Details ...	190	-0.668663	-2.2946494	0.0	0.0	0.0	7136	tags=77%, list=18%, signal=94%	
ROSTY_CERVICAL_CANCER_PROLIFERATION_CLUSTER	ROSTY_CERVICAL_CANCER_PROLIFERATION_CLUSTER	Details ...	140	-0.692282	-2.2573774	0.0	0.0	0.0	8718	tags=81%, list=22%, signal=104%	
SOTIRIOU_BREAST_CANCER_GRADE_1_VS_3_UP	SOTIRIOU_BREAST_CANCER_GRADE_1_VS_3_UP	Details ...	153	-0.6662127	-2.2205224	0.0	0.0	0.0	8947	tags=72%, list=23%, signal=93%	
KANG_DOXORUBICIN_RESISTANCE_UP	KANG_DOXORUBICIN_RESISTANCE_UP	Details ...	54	-0.7551006	-2.1359572	0.0	1.3622844E-4	0.001	7625	tags=87%, list=20%, signal=108%	
PUJANA_XPRSS_INT_NETWORK	PUJANA_XPRSS_INT_NETWORK	Details ...	168	-0.62751245	-2.1071548	0.0	1.0898275E-4	0.001	8703	tags=67%, list=22%, signal=86%	
CROONQUIST_IL6_DEPRIVATION_DN	CROONQUIST_IL6_DEPRIVATION_DN	Details ...	95	-0.681329	-2.1052098	0.0	9.0818954E-5	0.001	7981	tags=77%, list=21%, signal=96%	
KOBAYASHI_EGFR_SIGNALING_24HR_DN	KOBAYASHI_EGFR_SIGNALING_24HR_DN	Details ...	252	-0.58255595	-2.0300376	0.0	9.271431E-4	0.012	7981	tags=66%, list=21%, signal=82%	
REACTOME_DEPOSITION_OF_NEW_CENPA_CONTAINING_NUCLEOSOMES_AT_THE_CENTROMERE	REACTOME_DEPOSITION_OF_NEW_CENPA_CONTAINING_NUCLEOSOMES_AT_THE_CENTROMERE	Details ...	69	-0.6945397	-2.0253909	0.0	8.7993644E-4	0.013	8877	tags=70%, list=23%, signal=90%	
PUJANA_BREAST_CANCER_WITH_BRCA1_MUTATED_UP	PUJANA_BREAST_CANCER_WITH_BRCA1_MUTATED_UP	Details ...	55	-0.70412457	-2.0211287	0.0	8.413732E-4	0.014	8604	tags=75%, list=22%, signal=96%	
REN_BOUND_BY_E2F	REN_BOUND_BY_E2F	Details ...	62	-0.69010943	-2.020625	0.0	8.1080315E-4	0.015	9546	tags=77%, list=25%, signal=102%	
