NAME	TITLE	SCORE	
CDH1	cadherin 1 [Source:HGNC Symbol;Acc:HGNC:1748]	4.838792	
SPTSSB	serine palmitoyltransferase small subunit B [Source:HGNC Symbol;Acc:HGNC:24045]	4.8110824	
S100P	S100 calcium binding protein P [Source:HGNC Symbol;Acc:HGNC:10504]	4.8067923	
RORC	RAR related orphan receptor C [Source:HGNC Symbol;Acc:HGNC:10260]	4.8048477	
SUSD2	sushi domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30667]	4.8031726	
SCEL	sciellin [Source:HGNC Symbol;Acc:HGNC:10573]	4.738632	
MDFI	MyoD family inhibitor [Source:HGNC Symbol;Acc:HGNC:6967]	4.6108756	
CDH3	cadherin 3 [Source:HGNC Symbol;Acc:HGNC:1762]	4.5200005	
MUC16	mucin 16, cell surface associated [Source:HGNC Symbol;Acc:HGNC:15582]	4.4950976	
LINC01723	long intergenic non-protein coding RNA 1723 [Source:HGNC Symbol;Acc:HGNC:52511]	4.4943843	
KRT6A	keratin 6A [Source:HGNC Symbol;Acc:HGNC:6443]	4.466809	
LINC02736	long intergenic non-protein coding RNA 2736 [Source:HGNC Symbol;Acc:HGNC:54253]	4.4074044	
CCN5	cellular communication network factor 5 [Source:HGNC Symbol;Acc:HGNC:12770]	4.388634	
LINC02015	long intergenic non-protein coding RNA 2015 [Source:HGNC Symbol;Acc:HGNC:52850]	4.340392	
LINC00431	long intergenic non-protein coding RNA 431 [Source:HGNC Symbol;Acc:HGNC:42766]	4.2375007	
DENND1C	DENN domain containing 1C [Source:HGNC Symbol;Acc:HGNC:26225]	4.235098	
DOK7	docking protein 7 [Source:HGNC Symbol;Acc:HGNC:26594]	4.22689	
ALPG	alkaline phosphatase, germ cell [Source:HGNC Symbol;Acc:HGNC:441]	4.2151613	
CAPN8	calpain 8 [Source:HGNC Symbol;Acc:HGNC:1485]	4.2002535	
FAM83E	family with sequence similarity 83 member E [Source:HGNC Symbol;Acc:HGNC:25972]	4.1904383	
GRHL2	grainyhead like transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:2799]	4.163316	
IGFL2-AS1	IGFL2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:52559]	4.1328917	
RAB11FIP4	RAB11 family interacting protein 4 [Source:HGNC Symbol;Acc:HGNC:30267]	4.1319356	
FA2H	fatty acid 2-hydroxylase [Source:HGNC Symbol;Acc:HGNC:21197]	4.123072	
CDH12	cadherin 12 [Source:HGNC Symbol;Acc:HGNC:1751]	4.122836	
TLE6	TLE family member 6, subcortical maternal complex member [Source:HGNC Symbol;Acc:HGNC:30788]	4.122836	
IRF6	interferon regulatory factor 6 [Source:HGNC Symbol;Acc:HGNC:6121]	4.102448	
CRB3	crumbs cell polarity complex component 3 [Source:HGNC Symbol;Acc:HGNC:20237]	4.0859084	
MAB21L4	mab-21 like 4 [Source:HGNC Symbol;Acc:HGNC:26216]	4.0651207	
ADAM29	ADAM metallopeptidase domain 29 [Source:HGNC Symbol;Acc:HGNC:207]	4.0363765	
FGF18	fibroblast growth factor 18 [Source:HGNC Symbol;Acc:HGNC:3674]	4.0363765	
TRIM29	tripartite motif containing 29 [Source:HGNC Symbol;Acc:HGNC:17274]	4.0358443	
SLC28A2	solute carrier family 28 member 2 [Source:HGNC Symbol;Acc:HGNC:11002]	4.026213	
ATOH8	atonal bHLH transcription factor 8 [Source:HGNC Symbol;Acc:HGNC:24126]	4.0257487	
BCAS1	brain enriched myelin associated protein 1 [Source:HGNC Symbol;Acc:HGNC:974]	3.9987533	
MMP13	matrix metallopeptidase 13 [Source:HGNC Symbol;Acc:HGNC:7159]	3.9950178	
ACVRL1	activin A receptor like type 1 [Source:HGNC Symbol;Acc:HGNC:175]	3.949613	
DEFB1	defensin beta 1 [Source:HGNC Symbol;Acc:HGNC:2766]	3.949613	
TPM1-AS	TPM1 antisense RNA [Source:HGNC Symbol;Acc:HGNC:53635]	3.949613	
OLR1	oxidized low density lipoprotein receptor 1 [Source:HGNC Symbol;Acc:HGNC:8133]	3.9249969	
CLDN1	claudin 1 [Source:HGNC Symbol;Acc:HGNC:2032]	3.9241836	
WNT10A	Wnt family member 10A [Source:HGNC Symbol;Acc:HGNC:13829]	3.9199588	
INAVA	innate immunity activator [Source:HGNC Symbol;Acc:HGNC:25599]	3.9032366	
LLGL2	LLGL scribble cell polarity complex component 2 [Source:HGNC Symbol;Acc:HGNC:6629]	3.8890421	
UCA1	urothelial cancer associated 1 [Source:HGNC Symbol;Acc:HGNC:37126]	3.8823025	
MUC1	mucin 1, cell surface associated [Source:HGNC Symbol;Acc:HGNC:7508]	3.861013	
ZBED2	zinc finger BED-type containing 2 [Source:HGNC Symbol;Acc:HGNC:20710]	3.8378673	
SLC43A2	solute carrier family 43 member 2 [Source:HGNC Symbol;Acc:HGNC:23087]	3.830399	
CYP4F12	cytochrome P450 family 4 subfamily F member 12 [Source:HGNC Symbol;Acc:HGNC:18857]	3.8240483	
ENPP5	ectonucleotide pyrophosphatase/phosphodiesterase family member 5 [Source:HGNC Symbol;Acc:HGNC:13717]	3.8231723	
KEL	Kell metallo-endopeptidase (Kell blood group) [Source:HGNC Symbol;Acc:HGNC:6308]	3.8231723	
APOL4	apolipoprotein L4 [Source:HGNC Symbol;Acc:HGNC:14867]	3.8231723	
NPNT	nephronectin [Source:HGNC Symbol;Acc:HGNC:27405]	3.8231723	
ARL4AP2	ADP ribosylation factor like GTPase 4A pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:32379]	3.8231723	
ID2	inhibitor of DNA binding 2 [Source:HGNC Symbol;Acc:HGNC:5361]	3.8095427	
MAL2	mal, T cell differentiation protein 2 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:13634]	3.8055599	
OVOL2	ovo like zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:15804]	3.77113	
LEFTY1	left-right determination factor 1 [Source:HGNC Symbol;Acc:HGNC:6552]	3.7417803	
MYO1F	myosin IF [Source:HGNC Symbol;Acc:HGNC:7600]	3.7304692	
MUC5B	mucin 5B, oligomeric mucus/gel-forming [Source:HGNC Symbol;Acc:HGNC:7516]	3.726906	
INHBB	inhibin subunit beta B [Source:HGNC Symbol;Acc:HGNC:6067]	3.7221055	
LUM	lumican [Source:HGNC Symbol;Acc:HGNC:6724]	3.703511	
SYNPR-AS1	SYNPR antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40774]	3.693328	
PLIN5	perilipin 5 [Source:HGNC Symbol;Acc:HGNC:33196]	3.691138	
MTCO1P31	MT-CO1 pseudogene 31 [Source:HGNC Symbol;Acc:HGNC:52096]	3.691138	
HAND1	heart and neural crest derivatives expressed 1 [Source:HGNC Symbol;Acc:HGNC:4807]	3.691138	
PCDHB5	protocadherin beta 5 [Source:HGNC Symbol;Acc:HGNC:8690]	3.691138	
IZUMO1	izumo sperm-egg fusion 1 [Source:HGNC Symbol;Acc:HGNC:28539]	3.691138	
MTND5P14	MT-ND5 pseudogene 14 [Source:HGNC Symbol;Acc:HGNC:42276]	3.691138	
CDO1	cysteine dioxygenase type 1 [Source:HGNC Symbol;Acc:HGNC:1795]	3.691138	
AMMECR1LP1	AMMECR1 like pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:39809]	3.691138	
CLDN16	claudin 16 [Source:HGNC Symbol;Acc:HGNC:2037]	3.691138	
MTCO2P12	MT-CO2 pseudogene 12 [Source:HGNC Symbol;Acc:HGNC:52028]	3.691138	
SCIN	scinderin [Source:HGNC Symbol;Acc:HGNC:21695]	3.6837256	
EPPK1	epiplakin 1 [Source:HGNC Symbol;Acc:HGNC:15577]	3.662092	
AQP5	aquaporin 5 [Source:HGNC Symbol;Acc:HGNC:638]	3.6330416	
ADGRB3	adhesion G protein-coupled receptor B3 [Source:HGNC Symbol;Acc:HGNC:945]	3.631573	
PIGR	polymeric immunoglobulin receptor [Source:HGNC Symbol;Acc:HGNC:8968]	3.629973	
ST14	suppression of tumorigenicity 14 [Source:HGNC Symbol;Acc:HGNC:11344]	3.628595	
ABCA6	ATP binding cassette subfamily A member 6 [Source:HGNC Symbol;Acc:HGNC:36]	3.6168237	
VILL	villin like [Source:HGNC Symbol;Acc:HGNC:30906]	3.6060379	
KRT17	keratin 17 [Source:HGNC Symbol;Acc:HGNC:6427]	3.6016722	
TC2N	tandem C2 domains, nuclear [Source:HGNC Symbol;Acc:HGNC:19859]	3.598316	
SLAMF7	SLAM family member 7 [Source:HGNC Symbol;Acc:HGNC:21394]	3.545459	
RAB3B	RAB3B, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9778]	3.5082214	
C1orf116	chromosome 1 open reading frame 116 [Source:HGNC Symbol;Acc:HGNC:28667]	3.495181	
NECAB2	N-terminal EF-hand calcium binding protein 2 [Source:HGNC Symbol;Acc:HGNC:23746]	3.48882	
LINC02313	long intergenic non-protein coding RNA 2313 [Source:HGNC Symbol;Acc:HGNC:53232]	3.48882	
KLK10	kallikrein related peptidase 10 [Source:HGNC Symbol;Acc:HGNC:6358]	3.48882	
RASA4DP	RAS p21 protein activator 4CD, pseudogene [Source:HGNC Symbol;Acc:HGNC:44226]	3.48882	
SOWAHD	sosondowah ankyrin repeat domain family member D [Source:HGNC Symbol;Acc:HGNC:32960]	3.48882	
LINC00885	long intergenic non-protein coding RNA 885 [Source:HGNC Symbol;Acc:HGNC:48571]	3.48882	
RPL7AP15	ribosomal protein L7a pseudogene 15 [Source:HGNC Symbol;Acc:HGNC:36873]	3.48882	
AL157895.1	novel transcript, antisense to C10orf112	3.48882	
CDK5R2	cyclin dependent kinase 5 regulatory subunit 2 [Source:HGNC Symbol;Acc:HGNC:1776]	3.48882	
MAJIN	membrane anchored junction protein [Source:HGNC Symbol;Acc:HGNC:27441]	3.48882	
KLHL38	kelch like family member 38 [Source:HGNC Symbol;Acc:HGNC:34435]	3.48882	
CD244	CD244 molecule [Source:HGNC Symbol;Acc:HGNC:18171]	3.48882	
AZGP1	alpha-2-glycoprotein 1, zinc-binding [Source:HGNC Symbol;Acc:HGNC:910]	3.48882	
APOE	apolipoprotein E [Source:HGNC Symbol;Acc:HGNC:613]	3.4814298	
MPZL2	myelin protein zero like 2 [Source:HGNC Symbol;Acc:HGNC:3496]	3.4796743	
PAPLN	papilin, proteoglycan like sulfated glycoprotein [Source:HGNC Symbol;Acc:HGNC:19262]	3.4763813	
OR10A3	olfactory receptor family 10 subfamily A member 3 [Source:HGNC Symbol;Acc:HGNC:8162]	3.4665825	
PSCA	prostate stem cell antigen [Source:HGNC Symbol;Acc:HGNC:9500]	3.457986	
