NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	APOE	apolipoprotein E [Source:HGNC Symbol;Acc:HGNC:613]	99	3.4814298152923584	0.030547624	Yes	
row_1	C3	complement C3 [Source:HGNC Symbol;Acc:HGNC:1318]	226	2.7761764526367188	0.053690143	Yes	
row_2	NABP1	nucleic acid binding protein 1 [Source:HGNC Symbol;Acc:HGNC:26232]	670	2.033660650253296	0.06157345	Yes	
row_3	TOB1	transducer of ERBB2, 1 [Source:HGNC Symbol;Acc:HGNC:11979]	689	2.012502670288086	0.08024655	Yes	
row_4	ALDOA	aldolase, fructose-bisphosphate A [Source:HGNC Symbol;Acc:HGNC:414]	945	1.755029320716858	0.090342015	Yes	
row_5	PTGER3	prostaglandin E receptor 3 [Source:HGNC Symbol;Acc:HGNC:9595]	981	1.7072522640228271	0.10567259	Yes	
row_6	PLIN2	perilipin 2 [Source:HGNC Symbol;Acc:HGNC:248]	999	1.691230058670044	0.1213163	Yes	
row_7	GPX4	glutathione peroxidase 4 [Source:HGNC Symbol;Acc:HGNC:4556]	1129	1.582689642906189	0.13303135	Yes	
row_8	CCNG2	cyclin G2 [Source:HGNC Symbol;Acc:HGNC:1593]	1210	1.51383376121521	0.14535879	Yes	
row_9	CAVIN1	caveolae associated protein 1 [Source:HGNC Symbol;Acc:HGNC:9688]	1305	1.4473161697387695	0.1566916	Yes	
row_10	ENPP2	ectonucleotide pyrophosphatase/phosphodiesterase 2 [Source:HGNC Symbol;Acc:HGNC:3357]	1321	1.435315489768982	0.16995332	Yes	
row_11	PIM3	Pim-3 proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:19310]	1332	1.4279547929763794	0.18327434	Yes	
row_12	CD36	CD36 molecule [Source:HGNC Symbol;Acc:HGNC:1663]	1470	1.385754942893982	0.19290969	Yes	
row_13	MGLL	monoglyceride lipase [Source:HGNC Symbol;Acc:HGNC:17038]	1606	1.3032183647155762	0.20181184	Yes	
row_14	SCP2	sterol carrier protein 2 [Source:HGNC Symbol;Acc:HGNC:10606]	1969	1.1362489461898804	0.20325565	Yes	
row_15	ECH1	enoyl-CoA hydratase 1 [Source:HGNC Symbol;Acc:HGNC:3149]	2045	1.119035005569458	0.21195792	Yes	
row_16	ESRRA	estrogen related receptor alpha [Source:HGNC Symbol;Acc:HGNC:3471]	2146	1.0914647579193115	0.21975148	Yes	
