NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CDH1	cadherin 1 [Source:HGNC Symbol;Acc:HGNC:1748]	0	4.838791847229004	0.033715606	Yes	
row_1	CDH3	cadherin 3 [Source:HGNC Symbol;Acc:HGNC:1762]	7	4.520000457763672	0.06505478	Yes	
row_2	CRB3	crumbs cell polarity complex component 3 [Source:HGNC Symbol;Acc:HGNC:20237]	27	4.08590841293335	0.093033135	Yes	
row_3	MPZL2	myelin protein zero like 2 [Source:HGNC Symbol;Acc:HGNC:3496]	100	3.4796743392944336	0.1154168	Yes	
row_4	PCDH1	protocadherin 1 [Source:HGNC Symbol;Acc:HGNC:8655]	191	2.943979263305664	0.1336024	Yes	
row_5	MDK	midkine [Source:HGNC Symbol;Acc:HGNC:6972]	253	2.6310176849365234	0.15035729	Yes	
row_6	TNFRSF11B	TNF receptor superfamily member 11b [Source:HGNC Symbol;Acc:HGNC:11909]	305	2.47536301612854	0.1662862	Yes	
row_7	ATP1A3	ATPase Na+/K+ transporting subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:801]	439	2.4227302074432373	0.17972788	Yes	
row_8	FSCN1	fascin actin-bundling protein 1 [Source:HGNC Symbol;Acc:HGNC:11148]	522	2.362910747528076	0.1940716	Yes	
row_9	CX3CL1	C-X3-C motif chemokine ligand 1 [Source:HGNC Symbol;Acc:HGNC:10647]	567	2.2576205730438232	0.20866436	Yes	
row_10	CLDN4	claudin 4 [Source:HGNC Symbol;Acc:HGNC:2046]	646	2.0658416748046875	0.2210416	Yes	
row_11	CD34	CD34 molecule [Source:HGNC Symbol;Acc:HGNC:1662]	803	1.9365586042404175	0.23050098	Yes	
row_12	CDH15	cadherin 15 [Source:HGNC Symbol;Acc:HGNC:1754]	853	1.8776483535766602	0.24231687	Yes	
row_13	LAMC2	laminin subunit gamma 2 [Source:HGNC Symbol;Acc:HGNC:6493]	873	1.8466229438781738	0.25469238	Yes	
row_14	JUP	junction plakoglobin [Source:HGNC Symbol;Acc:HGNC:6207]	894	1.8191945552825928	0.26685092	Yes	
row_15	COL17A1	collagen type XVII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2194]	920	1.7842786312103271	0.27863687	Yes	
row_16	ALOX15B	arachidonate 15-lipoxygenase type B [Source:HGNC Symbol;Acc:HGNC:434]	954	1.7421969175338745	0.28992274	Yes	
row_17	NECTIN4	nectin cell adhesion molecule 4 [Source:HGNC Symbol;Acc:HGNC:19688]	986	1.701692819595337	0.3009781	Yes	
row_18	VWF	von Willebrand factor [Source:HGNC Symbol;Acc:HGNC:12726]	987	1.7011035680770874	0.31283098	Yes	
