NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MAL2	mal, T cell differentiation protein 2 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:13634]	55	3.8055598735809326	0.07623273	Yes	
row_1	CXCL16	C-X-C motif chemokine ligand 16 [Source:HGNC Symbol;Acc:HGNC:16642]	313	2.4477696418762207	0.11955347	Yes	
row_2	ERRFI1	ERBB receptor feedback inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:18185]	571	2.2416043281555176	0.1586675	Yes	
row_3	SEMA3B	semaphorin 3B [Source:HGNC Symbol;Acc:HGNC:10724]	855	1.875644564628601	0.18964413	Yes	
row_4	ATF3	activating transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:785]	952	1.743844985961914	0.22275177	Yes	
row_5	SREBF2	sterol regulatory element binding transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:11290]	1566	1.3319737911224365	0.2341286	Yes	
row_6	HMGCS1	3-hydroxy-3-methylglutaryl-CoA synthase 1 [Source:HGNC Symbol;Acc:HGNC:5007]	1679	1.2647968530654907	0.25704908	Yes	
row_7	MVD	mevalonate diphosphate decarboxylase [Source:HGNC Symbol;Acc:HGNC:7529]	1777	1.2185884714126587	0.27941337	Yes	
row_8	LSS	lanosterol synthase [Source:HGNC Symbol;Acc:HGNC:6708]	2040	1.1202936172485352	0.29551876	Yes	
row_9	ECH1	enoyl-CoA hydratase 1 [Source:HGNC Symbol;Acc:HGNC:3149]	2045	1.119035005569458	0.31824896	Yes	
row_10	ABCA2	ATP binding cassette subfamily A member 2 [Source:HGNC Symbol;Acc:HGNC:32]	2136	1.0942045450210571	0.3382557	Yes	
row_11	CD9	CD9 molecule [Source:HGNC Symbol;Acc:HGNC:1709]	2380	1.0014853477478027	0.35242665	Yes	
row_12	ATF5	activating transcription factor 5 [Source:HGNC Symbol;Acc:HGNC:790]	2502	0.970835268497467	0.369117	Yes	
row_13	ACTG1	actin gamma 1 [Source:HGNC Symbol;Acc:HGNC:144]	2512	0.9662995338439941	0.38860184	Yes	
row_14	PNRC1	proline rich nuclear receptor coactivator 1 [Source:HGNC Symbol;Acc:HGNC:17278]	2654	0.9258849620819092	0.40385947	Yes	
row_15	TRIB3	tribbles pseudokinase 3 [Source:HGNC Symbol;Acc:HGNC:16228]	2659	0.923528254032135	0.42260048	Yes	
row_16	GLDC	glycine decarboxylase [Source:HGNC Symbol;Acc:HGNC:4313]	2767	0.8903108239173889	0.43800864	Yes	
row_17	PPARG	peroxisome proliferator activated receptor gamma [Source:HGNC Symbol;Acc:HGNC:9236]	2916	0.851395308971405	0.4515659	Yes	
row_18	ACSS2	acyl-CoA synthetase short chain family member 2 [Source:HGNC Symbol;Acc:HGNC:15814]	3059	0.8129646182060242	0.46449366	Yes	
row_19	TP53INP1	tumor protein p53 inducible nuclear protein 1 [Source:HGNC Symbol;Acc:HGNC:18022]	3129	0.798890233039856	0.47901598	Yes	
row_20	SQLE	squalene epoxidase [Source:HGNC Symbol;Acc:HGNC:11279]	3354	0.7508475184440613	0.48856255	Yes	
row_21	FBXO6	F-box protein 6 [Source:HGNC Symbol;Acc:HGNC:13585]	3482	0.7244073152542114	0.50007	Yes	
row_22	PCYT2	phosphate cytidylyltransferase 2, ethanolamine [Source:HGNC Symbol;Acc:HGNC:8756]	3719	0.6754493713378906	0.50776875	Yes	
row_23	MVK	mevalonate kinase [Source:HGNC Symbol;Acc:HGNC:7530]	4108	0.6293376088142395	0.51060855	Yes	
row_24	LGALS3	galectin 3 [Source:HGNC Symbol;Acc:HGNC:6563]	4188	0.6225631237030029	0.5212752	Yes	
row_25	FDFT1	farnesyl-diphosphate farnesyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:3629]	4286	0.6202608346939087	0.53143096	Yes	
row_26	HMGCR	3-hydroxy-3-methylglutaryl-CoA reductase [Source:HGNC Symbol;Acc:HGNC:5006]	4571	0.6002442836761475	0.5363579	Yes	
row_27	SCD	stearoyl-CoA desaturase [Source:HGNC Symbol;Acc:HGNC:10571]	4727	0.5819070339202881	0.54423594	Yes	
