NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	OLR1	oxidized low density lipoprotein receptor 1 [Source:HGNC Symbol;Acc:HGNC:8133]	39	3.924996852874756	0.036630366	Yes	
row_1	TMPRSS6	transmembrane serine protease 6 [Source:HGNC Symbol;Acc:HGNC:16517]	140	3.2639341354370117	0.06534675	Yes	
row_2	CTSE	cathepsin E [Source:HGNC Symbol;Acc:HGNC:2530]	180	3.005300521850586	0.09315803	Yes	
row_3	MMP15	matrix metallopeptidase 15 [Source:HGNC Symbol;Acc:HGNC:7161]	201	2.8671162128448486	0.1201348	Yes	
row_4	C3	complement C3 [Source:HGNC Symbol;Acc:HGNC:1318]	226	2.7761764526367188	0.14613627	Yes	
row_5	PDGFB	platelet derived growth factor subunit B [Source:HGNC Symbol;Acc:HGNC:8800]	237	2.727663516998291	0.172034	Yes	
row_6	F10	coagulation factor X [Source:HGNC Symbol;Acc:HGNC:3528]	327	2.4227302074432373	0.19296797	Yes	
row_7	FGA	fibrinogen alpha chain [Source:HGNC Symbol;Acc:HGNC:3661]	330	2.4227302074432373	0.21614821	Yes	
row_8	FGG	fibrinogen gamma chain [Source:HGNC Symbol;Acc:HGNC:3694]	331	2.4227302074432373	0.23938009	Yes	
row_9	A2M	alpha-2-macroglobulin [Source:HGNC Symbol;Acc:HGNC:7]	510	2.3828766345977783	0.257634	Yes	
row_10	TIMP3	TIMP metallopeptidase inhibitor 3 [Source:HGNC Symbol;Acc:HGNC:11822]	561	2.267688274383545	0.2780882	Yes	
row_11	F2	coagulation factor II, thrombin [Source:HGNC Symbol;Acc:HGNC:3535]	592	2.1703598499298096	0.2981255	Yes	
row_12	ITGB3	integrin subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:6156]	595	2.1657166481018066	0.31884122	Yes	
row_13	VWF	von Willebrand factor [Source:HGNC Symbol;Acc:HGNC:12726]	987	1.7011035680770874	0.32505804	Yes	
row_14	CRIP2	cysteine rich protein 2 [Source:HGNC Symbol;Acc:HGNC:2361]	1081	1.6168073415756226	0.33816063	Yes	
row_15	F3	coagulation factor III, tissue factor [Source:HGNC Symbol;Acc:HGNC:3541]	1204	1.5193114280700684	0.3495796	Yes	
row_16	CFH	complement factor H [Source:HGNC Symbol;Acc:HGNC:4883]	1218	1.5086227655410767	0.3637103	Yes	
row_17	COMP	cartilage oligomeric matrix protein [Source:HGNC Symbol;Acc:HGNC:2227]	1408	1.3950588703155518	0.3722079	Yes	
row_18	SERPING1	serpin family G member 1 [Source:HGNC Symbol;Acc:HGNC:1228]	1464	1.385754942893982	0.38407606	Yes	
row_19	MMP3	matrix metallopeptidase 3 [Source:HGNC Symbol;Acc:HGNC:7173]	1466	1.385754942893982	0.39733842	Yes	
row_20	PROC	protein C, inactivator of coagulation factors Va and VIIIa [Source:HGNC Symbol;Acc:HGNC:9451]	1497	1.3754836320877075	0.40975353	Yes	
row_21	DPP4	dipeptidyl peptidase 4 [Source:HGNC Symbol;Acc:HGNC:3009]	1855	1.1860934495925903	0.41190973	Yes	
row_22	GSN	gelsolin [Source:HGNC Symbol;Acc:HGNC:4620]	1866	1.1805922985076904	0.42297238	Yes	
row_23	DCT	dopachrome tautomerase [Source:HGNC Symbol;Acc:HGNC:2709]	1893	1.1707322597503662	0.4335274	Yes	
row_24	PF4	platelet factor 4 [Source:HGNC Symbol;Acc:HGNC:8861]	1896	1.1707322597503662	0.44470206	Yes	
row_25	CD9	CD9 molecule [Source:HGNC Symbol;Acc:HGNC:1709]	2380	1.0014853477478027	0.4418348	Yes	
row_26	MAFF	MAF bZIP transcription factor F [Source:HGNC Symbol;Acc:HGNC:6780]	2908	0.8525803685188293	0.43640363	Yes	
row_27	CFB	complement factor B [Source:HGNC Symbol;Acc:HGNC:1037]	3020	0.8245617151260376	0.44144455	Yes	
row_28	C8G	complement C8 gamma chain [Source:HGNC Symbol;Acc:HGNC:1354]	3114	0.8017200827598572	0.44673118	Yes	
row_29	DUSP14	dual specificity phosphatase 14 [Source:HGNC Symbol;Acc:HGNC:17007]	3152	0.7945851683616638	0.45339525	Yes	
row_30	ARF4	ADP ribosylation factor 4 [Source:HGNC Symbol;Acc:HGNC:655]	3248	0.7771297693252563	0.45839444	Yes	
row_31	CFD	complement factor D [Source:HGNC Symbol;Acc:HGNC:2771]	3580	0.7058605551719666	0.4566169	Yes	
row_32	ANG	angiogenin [Source:HGNC Symbol;Acc:HGNC:483]	3695	0.6799001097679138	0.46019316	Yes	
row_33	HPN	hepsin [Source:HGNC Symbol;Acc:HGNC:5155]	3809	0.6633318066596985	0.4636364	Yes	
row_34	C9	complement C9 [Source:HGNC Symbol;Acc:HGNC:1358]	3943	0.6474316716194153	0.46641076	Yes	
row_35	FYN	FYN proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:4037]	4065	0.635233461856842	0.46937796	Yes	
row_36	C1S	complement C1s [Source:HGNC Symbol;Acc:HGNC:1247]	4668	0.588176965713501	0.45947498	No	
row_37	MBL2	mannose binding lectin 2 [Source:HGNC Symbol;Acc:HGNC:6922]	4737	0.580342710018158	0.46328425	No	
row_38	CTSH	cathepsin H [Source:HGNC Symbol;Acc:HGNC:2535]	4803	0.5722286701202393	0.4670932	No	
row_39	ITIH1	inter-alpha-trypsin inhibitor heavy chain 1 [Source:HGNC Symbol;Acc:HGNC:6166]	5425	0.5539348721504211	0.45637128	No	
row_40	PRSS23	serine protease 23 [Source:HGNC Symbol;Acc:HGNC:14370]	5582	0.5398699641227722	0.4575204	No	
row_41	PLEK	pleckstrin [Source:HGNC Symbol;Acc:HGNC:9070]	6051	0.5316740274429321	0.45053533	No	
row_42	ISCU	iron-sulfur cluster assembly enzyme [Source:HGNC Symbol;Acc:HGNC:29882]	6732	0.49643194675445557	0.4377387	No	
row_43	BMP1	bone morphogenetic protein 1 [Source:HGNC Symbol;Acc:HGNC:1067]	6846	0.48273295164108276	0.43945011	No	
row_44	PROZ	protein Z, vitamin K dependent plasma glycoprotein [Source:HGNC Symbol;Acc:HGNC:9460]	6905	0.4751584231853485	0.44250897	No	
row_45	FBN1	fibrillin 1 [Source:HGNC Symbol;Acc:HGNC:3603]	7176	0.4481179714202881	0.43983486	No	
row_46	LGMN	legumain [Source:HGNC Symbol;Acc:HGNC:9472]	7465	0.4186551570892334	0.4364135	No	
row_47	CTSB	cathepsin B [Source:HGNC Symbol;Acc:HGNC:2527]	7487	0.4162485599517822	0.43986276	No	
row_48	CSRP1	cysteine and glycine rich protein 1 [Source:HGNC Symbol;Acc:HGNC:2469]	7745	0.3937569260597229	0.43700305	No	
