NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MMP13	matrix metallopeptidase 13 [Source:HGNC Symbol;Acc:HGNC:7159]	35	3.9950177669525146	0.029550254	Yes	
row_1	OLR1	oxidized low density lipoprotein receptor 1 [Source:HGNC Symbol;Acc:HGNC:8133]	39	3.924996852874756	0.059394274	Yes	
row_2	TMPRSS6	transmembrane serine protease 6 [Source:HGNC Symbol;Acc:HGNC:16517]	140	3.2639341354370117	0.08169025	Yes	
row_3	LCK	LCK proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6524]	154	3.2559516429901123	0.106175296	Yes	
row_4	CCL5	C-C motif chemokine ligand 5 [Source:HGNC Symbol;Acc:HGNC:10632]	172	3.0883848667144775	0.12927948	Yes	
row_5	MMP15	matrix metallopeptidase 15 [Source:HGNC Symbol;Acc:HGNC:7161]	201	2.8671162128448486	0.15041238	Yes	
row_6	C3	complement C3 [Source:HGNC Symbol;Acc:HGNC:1318]	226	2.7761764526367188	0.17095545	Yes	
row_7	PDGFB	platelet derived growth factor subunit B [Source:HGNC Symbol;Acc:HGNC:8800]	237	2.727663516998291	0.19149077	Yes	
row_8	F10	coagulation factor X [Source:HGNC Symbol;Acc:HGNC:3528]	327	2.4227302074432373	0.20765842	Yes	
row_9	CTSD	cathepsin D [Source:HGNC Symbol;Acc:HGNC:2529]	546	2.3141047954559326	0.2196619	Yes	
row_10	CD55	CD55 molecule (Cromer blood group) [Source:HGNC Symbol;Acc:HGNC:2665]	584	2.1932296752929688	0.23542479	Yes	
row_11	C4BPB	complement component 4 binding protein beta [Source:HGNC Symbol;Acc:HGNC:1328]	589	2.1797614097595215	0.2519384	Yes	
row_12	F2	coagulation factor II, thrombin [Source:HGNC Symbol;Acc:HGNC:3535]	592	2.1703598499298096	0.26843208	Yes	
row_13	CR2	complement C3d receptor 2 [Source:HGNC Symbol;Acc:HGNC:2336]	651	2.0621509552001953	0.28265262	Yes	
row_14	IL6	interleukin 6 [Source:HGNC Symbol;Acc:HGNC:6018]	665	2.042234420776367	0.2978851	Yes	
row_15	FCER1G	Fc fragment of IgE receptor Ig [Source:HGNC Symbol;Acc:HGNC:3611]	1065	1.6274408102035522	0.299973	Yes	
row_16	CDA	cytidine deaminase [Source:HGNC Symbol;Acc:HGNC:1712]	1183	1.5346355438232422	0.30864632	Yes	
row_17	F3	coagulation factor III, tissue factor [Source:HGNC Symbol;Acc:HGNC:3541]	1204	1.5193114280700684	0.31971133	Yes	
row_18	CFH	complement factor H [Source:HGNC Symbol;Acc:HGNC:4883]	1218	1.5086227655410767	0.33087587	Yes	
