NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CDKN1A	cyclin dependent kinase inhibitor 1A [Source:HGNC Symbol;Acc:HGNC:1784]	1197	1.5264089107513428	-0.016133718	No	
row_1	CDKN1B	cyclin dependent kinase inhibitor 1B [Source:HGNC Symbol;Acc:HGNC:1785]	1353	1.4133890867233276	-0.0064175604	No	
row_2	RAD50	RAD50 double strand break repair protein [Source:HGNC Symbol;Acc:HGNC:9816]	2313	1.0285948514938354	-0.021230314	No	
row_3	MYC	MYC proto-oncogene, bHLH transcription factor [Source:HGNC Symbol;Acc:HGNC:7553]	2543	0.9583787322044373	-0.017846238	No	
row_4	CCNE1	cyclin E1 [Source:HGNC Symbol;Acc:HGNC:1589]	2609	0.9409427642822266	-0.01039024	No	
row_5	TFRC	transferrin receptor [Source:HGNC Symbol;Acc:HGNC:11763]	3103	0.8035531640052795	-0.01533694	No	
row_6	PMS2	PMS1 homolog 2, mismatch repair system component [Source:HGNC Symbol;Acc:HGNC:9122]	3521	0.7184450626373291	-0.01914463	No	
row_7	CDC25B	cell division cycle 25B [Source:HGNC Symbol;Acc:HGNC:1726]	3804	0.6648465394973755	-0.019981524	No	
row_8	PAN2	poly(A) specific ribonuclease subunit PAN2 [Source:HGNC Symbol;Acc:HGNC:20074]	4732	0.5805807113647461	-0.03831714	No	
row_9	JPT1	Jupiter microtubule associated homolog 1 [Source:HGNC Symbol;Acc:HGNC:14569]	5608	0.5374714136123657	-0.05572658	No	
row_10	DCTPP1	dCTP pyrophosphatase 1 [Source:HGNC Symbol;Acc:HGNC:28777]	7813	0.38594692945480347	-0.1089769	No	
row_11	WDR90	WD repeat domain 90 [Source:HGNC Symbol;Acc:HGNC:26960]	8848	0.2992423176765442	-0.13281158	No	
row_12	POP7	POP7 homolog, ribonuclease P/MRP subunit [Source:HGNC Symbol;Acc:HGNC:19949]	9214	0.2774833142757416	-0.13955642	No	
row_13	BRMS1L	BRMS1 like transcriptional repressor [Source:HGNC Symbol;Acc:HGNC:20512]	9406	0.26308366656303406	-0.14194125	No	
row_14	MTHFD2	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase [Source:HGNC Symbol;Acc:HGNC:7434]	9597	0.24859890341758728	-0.14444087	No	
row_15	CNOT9	CCR4-NOT transcription complex subunit 9 [Source:HGNC Symbol;Acc:HGNC:10445]	9783	0.23911108076572418	-0.1469033	No	
row_16	NOLC1	nucleolar and coiled-body phosphoprotein 1 [Source:HGNC Symbol;Acc:HGNC:15608]	11434	0.1280190497636795	-0.18833113	No	
row_17	CDC25A	cell division cycle 25A [Source:HGNC Symbol;Acc:HGNC:1725]	11968	0.09492149204015732	-0.2011934	No	
row_18	PNN	pinin, desmosome associated protein [Source:HGNC Symbol;Acc:HGNC:9162]	12009	0.09112405776977539	-0.201343	No	
row_19	EIF2S1	eukaryotic translation initiation factor 2 subunit alpha [Source:HGNC Symbol;Acc:HGNC:3265]	12046	0.08902857452630997	-0.2014095	No	
row_20	TIPIN	TIMELESS interacting protein [Source:HGNC Symbol;Acc:HGNC:30750]	12220	0.07673951983451843	-0.20513831	No	
row_21	CTCF	CCCTC-binding factor [Source:HGNC Symbol;Acc:HGNC:13723]	12242	0.07454148679971695	-0.20495756	No	
row_22	SLBP	stem-loop binding protein [Source:HGNC Symbol;Acc:HGNC:10904]	12328	0.06912312656641006	-0.20648454	No	
