NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CCND1	cyclin D1 [Source:HGNC Symbol;Acc:HGNC:1582]	1189	1.530617117881775	-0.015597151	No	
row_1	CDKN1B	cyclin dependent kinase inhibitor 1B [Source:HGNC Symbol;Acc:HGNC:1785]	1353	1.4133890867233276	-0.005821189	No	
row_2	BCL3	BCL3 transcription coactivator [Source:HGNC Symbol;Acc:HGNC:998]	1601	1.308995246887207	7.490242E-4	No	
row_3	ODC1	ornithine decarboxylase 1 [Source:HGNC Symbol;Acc:HGNC:8109]	1937	1.1509507894515991	0.00347895	No	
row_4	ATF5	activating transcription factor 5 [Source:HGNC Symbol;Acc:HGNC:790]	2502	0.970835268497467	-0.0014963223	No	
row_5	MYC	MYC proto-oncogene, bHLH transcription factor [Source:HGNC Symbol;Acc:HGNC:7553]	2543	0.9583787322044373	0.006956354	No	
row_6	RASAL2	RAS protein activator like 2 [Source:HGNC Symbol;Acc:HGNC:9874]	3024	0.8239614963531494	0.0026994965	No	
row_7	SQLE	squalene epoxidase [Source:HGNC Symbol;Acc:HGNC:11279]	3354	0.7508475184440613	0.0016239119	No	
row_8	CDC25B	cell division cycle 25B [Source:HGNC Symbol;Acc:HGNC:1726]	3804	0.6648465394973755	-0.0034063496	No	
row_9	YTHDC1	YTH domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30626]	4129	0.6257898211479187	-0.0055905916	No	
row_10	SLC38A1	solute carrier family 38 member 1 [Source:HGNC Symbol;Acc:HGNC:13447]	4852	0.564711332321167	-0.018672207	No	
row_11	JPT1	Jupiter microtubule associated homolog 1 [Source:HGNC Symbol;Acc:HGNC:14569]	5608	0.5374714136123657	-0.032876894	No	
row_12	TGFB1	transforming growth factor beta 1 [Source:HGNC Symbol;Acc:HGNC:11766]	6475	0.5245705246925354	-0.05007988	No	
row_13	CUL4A	cullin 4A [Source:HGNC Symbol;Acc:HGNC:2554]	7110	0.45513537526130676	-0.061970416	No	
row_14	HIF1A	hypoxia inducible factor 1 subunit alpha [Source:HGNC Symbol;Acc:HGNC:4910]	7303	0.4332834780216217	-0.06264663	No	
row_15	E2F2	E2F transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:3114]	7475	0.4173135459423065	-0.06293785	No	
row_16	CCNT1	cyclin T1 [Source:HGNC Symbol;Acc:HGNC:1599]	7598	0.4082295298576355	-0.062051788	No	
row_17	FOXN3	forkhead box N3 [Source:HGNC Symbol;Acc:HGNC:1928]	7737	0.39520999789237976	-0.061708394	No	
row_18	PRMT5	protein arginine methyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:10894]	7830	0.3835940659046173	-0.06029037	No	
row_19	DR1	down-regulator of transcription 1 [Source:HGNC Symbol;Acc:HGNC:3017]	8201	0.353807657957077	-0.066356614	No	
row_20	SLC7A5	solute carrier family 7 member 5 [Source:HGNC Symbol;Acc:HGNC:11063]	8320	0.34222424030303955	-0.06602051	No	
row_21	SMARCC1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 1 [Source:HGNC Symbol;Acc:HGNC:11104]	8468	0.33091631531715393	-0.06654632	No	
row_22	PML	promyelocytic leukemia [Source:HGNC Symbol;Acc:HGNC:9113]	8870	0.2977958917617798	-0.07396873	No	
