NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	B3GNT3	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:13528]	125	3.3033013343811035	0.024132097	Yes	
row_1	ELF3	E74 like ETS transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:3318]	129	3.2723402976989746	0.051162776	Yes	
row_2	CITED2	Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 2 [Source:HGNC Symbol;Acc:HGNC:1987]	519	2.3690996170043945	0.060728535	Yes	
row_3	CTH	cystathionine gamma-lyase [Source:HGNC Symbol;Acc:HGNC:2501]	557	2.280534029006958	0.07866375	Yes	
row_4	GPR87	G protein-coupled receptor 87 [Source:HGNC Symbol;Acc:HGNC:4538]	579	2.2097480297088623	0.09642635	Yes	
row_5	EGLN3	egl-9 family hypoxia inducible factor 3 [Source:HGNC Symbol;Acc:HGNC:14661]	613	2.1200108528137207	0.113135226	Yes	
row_6	DCN	decorin [Source:HGNC Symbol;Acc:HGNC:2705]	634	2.0659282207489014	0.12973228	Yes	
row_7	HS6ST2	heparan sulfate 6-O-sulfotransferase 2 [Source:HGNC Symbol;Acc:HGNC:19133]	712	1.9864884614944458	0.14419715	Yes	
row_8	CHST6	carbohydrate sulfotransferase 6 [Source:HGNC Symbol;Acc:HGNC:6938]	826	1.9051026105880737	0.15705682	Yes	
row_9	LHX9	LIM homeobox 9 [Source:HGNC Symbol;Acc:HGNC:14222]	936	1.7647985219955444	0.16885765	Yes	
row_10	ALDOA	aldolase, fructose-bisphosphate A [Source:HGNC Symbol;Acc:HGNC:414]	945	1.755029320716858	0.18318953	Yes	
row_11	TPBG	trophoblast glycoprotein [Source:HGNC Symbol;Acc:HGNC:12004]	1004	1.6856293678283691	0.19565344	Yes	
row_12	BIK	BCL2 interacting killer [Source:HGNC Symbol;Acc:HGNC:1051]	1046	1.6416057348251343	0.20819229	Yes	
row_13	PYGB	glycogen phosphorylase B [Source:HGNC Symbol;Acc:HGNC:9723]	1073	1.6255230903625488	0.22098583	Yes	
row_14	DSC2	desmocollin 2 [Source:HGNC Symbol;Acc:HGNC:3036]	1153	1.5555493831634521	0.23182905	Yes	
row_15	DDIT4	DNA damage inducible transcript 4 [Source:HGNC Symbol;Acc:HGNC:24944]	1237	1.5033533573150635	0.24213645	Yes	
