NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KEL	Kell metallo-endopeptidase (Kell blood group) [Source:HGNC Symbol;Acc:HGNC:6308]	50	3.8231723308563232	0.032874305	Yes	
row_1	SPTB	spectrin beta, erythrocytic [Source:HGNC Symbol;Acc:HGNC:11274]	167	3.1094980239868164	0.057663728	Yes	
row_2	CTSE	cathepsin E [Source:HGNC Symbol;Acc:HGNC:2530]	180	3.005300521850586	0.084211506	Yes	
row_3	C3	complement C3 [Source:HGNC Symbol;Acc:HGNC:1318]	226	2.7761764526367188	0.1078582	Yes	
row_4	AQP3	aquaporin 3 (Gill blood group) [Source:HGNC Symbol;Acc:HGNC:636]	312	2.4508116245269775	0.1275627	Yes	
row_5	EPB42	erythrocyte membrane protein band 4.2 [Source:HGNC Symbol;Acc:HGNC:3381]	448	2.4227302074432373	0.14572318	Yes	
row_6	KDM7A	lysine demethylase 7A [Source:HGNC Symbol;Acc:HGNC:22224]	559	2.276970624923706	0.16322754	Yes	
row_7	ACP5	acid phosphatase 5, tartrate resistant [Source:HGNC Symbol;Acc:HGNC:124]	624	2.0981152057647705	0.1803231	Yes	
row_8	KLF1	Kruppel like factor 1 [Source:HGNC Symbol;Acc:HGNC:6345]	723	1.9864884614944458	0.19554178	Yes	
row_9	ANK1	ankyrin 1 [Source:HGNC Symbol;Acc:HGNC:492]	1477	1.384620189666748	0.18844254	Yes	
row_10	PDZK1IP1	PDZK1 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:16887]	1578	1.3238683938980103	0.19768773	Yes	
row_11	MARCHF8	membrane associated ring-CH-type finger 8 [Source:HGNC Symbol;Acc:HGNC:23356]	1775	1.2196640968322754	0.20351897	Yes	
row_12	BLVRB	biliverdin reductase B [Source:HGNC Symbol;Acc:HGNC:1063]	1791	1.2150822877883911	0.21399014	Yes	
