NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IRF6	interferon regulatory factor 6 [Source:HGNC Symbol;Acc:HGNC:6121]	26	4.102447986602783	0.027695686	Yes	
row_1	MUC1	mucin 1, cell surface associated [Source:HGNC Symbol;Acc:HGNC:7508]	45	3.8610129356384277	0.053928748	Yes	
row_2	IRF4	interferon regulatory factor 4 [Source:HGNC Symbol;Acc:HGNC:6119]	137	3.2639341354370117	0.0741453	Yes	
row_3	CXCL10	C-X-C motif chemokine ligand 10 [Source:HGNC Symbol;Acc:HGNC:10637]	186	2.964383125305176	0.09340246	Yes	
row_4	CSF1	colony stimulating factor 1 [Source:HGNC Symbol;Acc:HGNC:2432]	265	2.596877098083496	0.10934255	Yes	
row_5	CDKN1C	cyclin dependent kinase inhibitor 1C [Source:HGNC Symbol;Acc:HGNC:1786]	284	2.5368287563323975	0.12641901	Yes	
row_6	RHOH	ras homolog family member H [Source:HGNC Symbol;Acc:HGNC:686]	392	2.4227302074432373	0.14040495	Yes	
row_7	HOPX	HOP homeobox [Source:HGNC Symbol;Acc:HGNC:24961]	518	2.3734805583953857	0.15358487	Yes	
row_8	CST7	cystatin F [Source:HGNC Symbol;Acc:HGNC:2479]	520	2.3689827919006348	0.16994031	Yes	
row_9	DHRS3	dehydrogenase/reductase 3 [Source:HGNC Symbol;Acc:HGNC:17693]	658	2.055603265762329	0.1806118	Yes	
row_10	MXD1	MAX dimerization protein 1 [Source:HGNC Symbol;Acc:HGNC:6761]	932	1.7694404125213623	0.18578759	Yes	
row_11	RHOB	ras homolog family member B [Source:HGNC Symbol;Acc:HGNC:668]	944	1.7553987503051758	0.19764155	Yes	
row_12	PLIN2	perilipin 2 [Source:HGNC Symbol;Acc:HGNC:248]	999	1.691230058670044	0.2079398	Yes	
row_13	GPX4	glutathione peroxidase 4 [Source:HGNC Symbol;Acc:HGNC:4556]	1129	1.582689642906189	0.21554804	Yes	
row_14	XBP1	X-box binding protein 1 [Source:HGNC Symbol;Acc:HGNC:12801]	1221	1.5065480470657349	0.22361243	Yes	
row_15	GBP4	guanylate binding protein 4 [Source:HGNC Symbol;Acc:HGNC:20480]	1247	1.4951422214508057	0.23330471	Yes	
row_16	GABARAPL1	GABA type A receptor associated protein like 1 [Source:HGNC Symbol;Acc:HGNC:4068]	1310	1.443088412284851	0.24168022	Yes	
row_17	TLR7	toll like receptor 7 [Source:HGNC Symbol;Acc:HGNC:15631]	1562	1.3374757766723633	0.24443792	Yes	
row_18	COL6A1	collagen type VI alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2211]	1603	1.3071823120117188	0.25244257	Yes	
row_19	TRAF1	TNF receptor associated factor 1 [Source:HGNC Symbol;Acc:HGNC:12031]	1608	1.3028945922851562	0.26134852	Yes	
row_20	KLF6	Kruppel like factor 6 [Source:HGNC Symbol;Acc:HGNC:2235]	1643	1.2844629287719727	0.2693512	Yes	
row_21	BATF	basic leucine zipper ATF-like transcription factor [Source:HGNC Symbol;Acc:HGNC:958]	1675	1.2666141986846924	0.27730808	Yes	
row_22	IGF1R	insulin like growth factor 1 receptor [Source:HGNC Symbol;Acc:HGNC:5465]	1698	1.2507838010787964	0.28538823	Yes	
row_23	PIM1	Pim-1 proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:8986]	1727	1.2400352954864502	0.29323888	Yes	
row_24	MYO1E	myosin IE [Source:HGNC Symbol;Acc:HGNC:7599]	1784	1.2170361280441284	0.30020642	Yes	
row_25	SOCS2	suppressor of cytokine signaling 2 [Source:HGNC Symbol;Acc:HGNC:19382]	1814	1.2029377222061157	0.3077747	Yes	
row_26	BATF3	basic leucine zipper ATF-like transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:28915]	1881	1.17507004737854	0.31419343	Yes	
row_27	ODC1	ornithine decarboxylase 1 [Source:HGNC Symbol;Acc:HGNC:8109]	1937	1.1509507894515991	0.32072985	Yes	
row_28	MAP3K8	mitogen-activated protein kinase kinase kinase 8 [Source:HGNC Symbol;Acc:HGNC:6860]	1946	1.147557258605957	0.32845822	Yes	
row_29	SLC29A2	solute carrier family 29 member 2 [Source:HGNC Symbol;Acc:HGNC:11004]	2077	1.1152888536453247	0.33280855	Yes	
row_30	SHE	Src homology 2 domain containing E [Source:HGNC Symbol;Acc:HGNC:27004]	2090	1.1129372119903564	0.3401941	Yes	
row_31	SYNGR2	synaptogyrin 2 [Source:HGNC Symbol;Acc:HGNC:11499]	2210	1.0657703876495361	0.34448647	Yes	
row_32	ANXA4	annexin A4 [Source:HGNC Symbol;Acc:HGNC:542]	2228	1.0585265159606934	0.3513665	Yes	
row_33	SCN9A	sodium voltage-gated channel alpha subunit 9 [Source:HGNC Symbol;Acc:HGNC:10597]	2279	1.0379084348678589	0.3572505	Yes	
row_34	NCOA3	nuclear receptor coactivator 3 [Source:HGNC Symbol;Acc:HGNC:7670]	2359	1.0087065696716309	0.3621827	Yes	
row_35	IL18R1	interleukin 18 receptor 1 [Source:HGNC Symbol;Acc:HGNC:5988]	2388	1.0010696649551392	0.36838093	Yes	
row_36	SELP	selectin P [Source:HGNC Symbol;Acc:HGNC:10721]	2448	0.986616313457489	0.37367755	Yes	
row_37	MYC	MYC proto-oncogene, bHLH transcription factor [Source:HGNC Symbol;Acc:HGNC:7553]	2543	0.9583787322044373	0.37787384	Yes	
row_38	TNFSF10	TNF superfamily member 10 [Source:HGNC Symbol;Acc:HGNC:11925]	2579	0.9492700695991516	0.38353285	Yes	
row_39	PDCD2L	programmed cell death 2 like [Source:HGNC Symbol;Acc:HGNC:28194]	2580	0.9489569067955017	0.39009482	Yes	
row_40	CCNE1	cyclin E1 [Source:HGNC Symbol;Acc:HGNC:1589]	2609	0.9409427642822266	0.39587727	Yes	
