NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLC28A2	solute carrier family 28 member 2 [Source:HGNC Symbol;Acc:HGNC:11002]	32	4.0262131690979	0.026205387	Yes	
row_1	OLR1	oxidized low density lipoprotein receptor 1 [Source:HGNC Symbol;Acc:HGNC:8133]	39	3.924996852874756	0.052403577	Yes	
row_2	LCK	LCK proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6524]	154	3.2559516429901123	0.07131663	Yes	
row_3	CCL5	C-C motif chemokine ligand 5 [Source:HGNC Symbol;Acc:HGNC:10632]	172	3.0883848667144775	0.091613136	Yes	
row_4	CXCL10	C-X-C motif chemokine ligand 10 [Source:HGNC Symbol;Acc:HGNC:10637]	186	2.964383125305176	0.11118051	Yes	
row_5	TNFSF9	TNF superfamily member 9 [Source:HGNC Symbol;Acc:HGNC:11939]	195	2.8986358642578125	0.13043575	Yes	
row_6	CSF1	colony stimulating factor 1 [Source:HGNC Symbol;Acc:HGNC:2432]	265	2.596877098083496	0.14608736	Yes	
row_7	PCDH7	protocadherin 7 [Source:HGNC Symbol;Acc:HGNC:8659]	295	2.495920181274414	0.16209559	Yes	
row_8	CD70	CD70 molecule [Source:HGNC Symbol;Acc:HGNC:11937]	412	2.4227302074432373	0.17536248	Yes	
row_9	CX3CL1	C-X3-C motif chemokine ligand 1 [Source:HGNC Symbol;Acc:HGNC:10647]	567	2.2576205730438232	0.18653806	Yes	
row_10	CD55	CD55 molecule (Cromer blood group) [Source:HGNC Symbol;Acc:HGNC:2665]	584	2.1932296752929688	0.20085013	Yes	
row_11	ITGB3	integrin subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:6156]	595	2.1657166481018066	0.21513265	Yes	
row_12	IL18	interleukin 18 [Source:HGNC Symbol;Acc:HGNC:5986]	609	2.138669490814209	0.22915599	Yes	
row_13	LY6E	lymphocyte antigen 6 family member E [Source:HGNC Symbol;Acc:HGNC:6727]	664	2.046863079071045	0.24150261	Yes	
row_14	IL6	interleukin 6 [Source:HGNC Symbol;Acc:HGNC:6018]	665	2.042234420776367	0.25521466	Yes	
row_15	ADM	adrenomedullin [Source:HGNC Symbol;Acc:HGNC:259]	700	1.9929972887039185	0.26771683	Yes	
row_16	IL1R1	interleukin 1 receptor type 1 [Source:HGNC Symbol;Acc:HGNC:5993]	796	1.9459158182144165	0.27832535	Yes	
