NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLAMF7	SLAM family member 7 [Source:HGNC Symbol;Acc:HGNC:21394]	83	3.545459032058716	0.023165392	Yes	
row_1	IRF4	interferon regulatory factor 4 [Source:HGNC Symbol;Acc:HGNC:6119]	137	3.2639341354370117	0.045096744	Yes	
row_2	CCL5	C-C motif chemokine ligand 5 [Source:HGNC Symbol;Acc:HGNC:10632]	172	3.0883848667144775	0.06626617	Yes	
row_3	PTGS2	prostaglandin-endoperoxide synthase 2 [Source:HGNC Symbol;Acc:HGNC:9605]	178	3.012589693069458	0.08764446	Yes	
row_4	CXCL10	C-X-C motif chemokine ligand 10 [Source:HGNC Symbol;Acc:HGNC:10637]	186	2.964383125305176	0.10862686	Yes	
row_5	RSAD2	radical S-adenosyl methionine domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30908]	273	2.5699639320373535	0.124750376	Yes	
row_6	CD38	CD38 molecule [Source:HGNC Symbol;Acc:HGNC:1667]	279	2.560105085372925	0.14289826	Yes	
row_7	LY6E	lymphocyte antigen 6 family member E [Source:HGNC Symbol;Acc:HGNC:6727]	664	2.046863079071045	0.14758061	Yes	
row_8	IL6	interleukin 6 [Source:HGNC Symbol;Acc:HGNC:6018]	665	2.042234420776367	0.1621606	Yes	
row_9	BANK1	B cell scaffold protein with ankyrin repeats 1 [Source:HGNC Symbol;Acc:HGNC:18233]	691	2.008730888366699	0.17585488	Yes	
row_10	IFIT1	interferon induced protein with tetratricopeptide repeats 1 [Source:HGNC Symbol;Acc:HGNC:5407]	1023	1.6605665683746338	0.17915	Yes	
row_11	IFIH1	interferon induced with helicase C domain 1 [Source:HGNC Symbol;Acc:HGNC:18873]	1049	1.6379528045654297	0.1901972	Yes	
row_12	TXNIP	thioredoxin interacting protein [Source:HGNC Symbol;Acc:HGNC:16952]	1124	1.5852797031402588	0.19960116	Yes	
row_13	IDO1	indoleamine 2,3-dioxygenase 1 [Source:HGNC Symbol;Acc:HGNC:6059]	1142	1.5724178552627563	0.21038738	Yes	
row_14	CMPK2	cytidine/uridine monophosphate kinase 2 [Source:HGNC Symbol;Acc:HGNC:27015]	1145	1.5691896677017212	0.22153847	Yes	
row_15	CDKN1A	cyclin dependent kinase inhibitor 1A [Source:HGNC Symbol;Acc:HGNC:1784]	1197	1.5264089107513428	0.23111695	Yes	
row_16	STAT3	signal transducer and activator of transcription 3 [Source:HGNC Symbol;Acc:HGNC:11364]	1201	1.5238674879074097	0.24191861	Yes	
row_17	CFH	complement factor H [Source:HGNC Symbol;Acc:HGNC:4883]	1218	1.5086227655410767	0.25227526	Yes	
row_18	GBP4	guanylate binding protein 4 [Source:HGNC Symbol;Acc:HGNC:20480]	1247	1.4951422214508057	0.2622253	Yes	
row_19	P2RY14	purinergic receptor P2Y14 [Source:HGNC Symbol;Acc:HGNC:16442]	1265	1.4769988059997559	0.2723303	Yes	
