NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CLDN16	claudin 16 [Source:HGNC Symbol;Acc:HGNC:2037]	71	3.6911380290985107	0.026919698	Yes	
row_1	CAPN9	calpain 9 [Source:HGNC Symbol;Acc:HGNC:1486]	171	3.096365213394165	0.0484817	Yes	
row_2	GPRC5C	G protein-coupled receptor class C group 5 member C [Source:HGNC Symbol;Acc:HGNC:13309]	183	2.9922537803649902	0.07150841	Yes	
row_3	SIDT1	SID1 transmembrane family member 1 [Source:HGNC Symbol;Acc:HGNC:25967]	256	2.6244280338287354	0.090092026	Yes	
row_4	RSAD2	radical S-adenosyl methionine domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30908]	273	2.5699639320373535	0.10969958	Yes	
row_5	SYNPO	synaptopodin [Source:HGNC Symbol;Acc:HGNC:30672]	291	2.5063560009002686	0.12878571	Yes	
row_6	CKM	creatine kinase, M-type [Source:HGNC Symbol;Acc:HGNC:1994]	322	2.4227302074432373	0.14688419	Yes	
row_7	CDH16	cadherin 16 [Source:HGNC Symbol;Acc:HGNC:1755]	352	2.4227302074432373	0.16500852	Yes	
row_8	CPB1	carboxypeptidase B1 [Source:HGNC Symbol;Acc:HGNC:2299]	440	2.4227302074432373	0.18163289	Yes	
row_9	BMPR1B	bone morphogenetic protein receptor type 1B [Source:HGNC Symbol;Acc:HGNC:1077]	524	2.3577070236206055	0.19785415	Yes	
row_10	THNSL2	threonine synthase like 2 [Source:HGNC Symbol;Acc:HGNC:25602]	587	2.183591365814209	0.21326204	Yes	
row_11	SCGB1A1	secretoglobin family 1A member 1 [Source:HGNC Symbol;Acc:HGNC:12523]	642	2.0659282207489014	0.22796017	Yes	
row_12	CD207	CD207 molecule [Source:HGNC Symbol;Acc:HGNC:17935]	643	2.0659282207489014	0.2440548	Yes	
row_13	PCDHB1	protocadherin beta 1 [Source:HGNC Symbol;Acc:HGNC:8680]	730	1.9864884614944458	0.2573065	Yes	
row_14	SLC29A3	solute carrier family 29 member 3 [Source:HGNC Symbol;Acc:HGNC:23096]	835	1.89895761013031	0.2694108	Yes	
row_15	PDE6B	phosphodiesterase 6B [Source:HGNC Symbol;Acc:HGNC:8786]	902	1.8086662292480469	0.28179437	Yes	
row_16	EDN1	endothelin 1 [Source:HGNC Symbol;Acc:HGNC:3176]	924	1.7811510562896729	0.29512736	Yes	
row_17	TGFB2	transforming growth factor beta 2 [Source:HGNC Symbol;Acc:HGNC:11768]	939	1.7604507207870483	0.3084801	Yes	
row_18	NTF3	neurotrophin 3 [Source:HGNC Symbol;Acc:HGNC:8023]	965	1.7285678386688232	0.3213	Yes	
row_19	KRT15	keratin 15 [Source:HGNC Symbol;Acc:HGNC:6421]	982	1.7048206329345703	0.33416763	Yes	
row_20	NR4A2	nuclear receptor subfamily 4 group A member 2 [Source:HGNC Symbol;Acc:HGNC:7981]	1006	1.6814459562301636	0.34667215	Yes	
row_21	KRT4	keratin 4 [Source:HGNC Symbol;Acc:HGNC:6441]	1040	1.6485786437988281	0.358662	Yes	
row_22	FGFR3	fibroblast growth factor receptor 3 [Source:HGNC Symbol;Acc:HGNC:3690]	1125	1.584585189819336	0.36883438	Yes	
row_23	LFNG	LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase [Source:HGNC Symbol;Acc:HGNC:6560]	1268	1.4766738414764404	0.37666613	Yes	
row_24	PRODH	proline dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:9453]	1355	1.4106340408325195	0.38543162	Yes	
row_25	PAX3	paired box 3 [Source:HGNC Symbol;Acc:HGNC:8617]	1442	1.3877166509628296	0.3940186	Yes	
row_26	TGM1	transglutaminase 1 [Source:HGNC Symbol;Acc:HGNC:11777]	1706	1.245911955833435	0.3969234	Yes	
row_27	SLC6A3	solute carrier family 6 member 3 [Source:HGNC Symbol;Acc:HGNC:11049]	1907	1.1707322597503662	0.40087175	Yes	
row_28	PKP1	plakophilin 1 [Source:HGNC Symbol;Acc:HGNC:9023]	2119	1.1015734672546387	0.40399686	Yes	
row_29	ACTC1	actin alpha cardiac muscle 1 [Source:HGNC Symbol;Acc:HGNC:143]	2446	0.986616313457489	0.40325236	Yes	
row_30	FGF22	fibroblast growth factor 22 [Source:HGNC Symbol;Acc:HGNC:3679]	2447	0.986616313457489	0.4109386	Yes	
row_31	SPHK2	sphingosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:18859]	2548	0.9568063020706177	0.41580647	Yes	
row_32	HTR1D	5-hydroxytryptamine receptor 1D [Source:HGNC Symbol;Acc:HGNC:5289]	2550	0.9561970829963684	0.42322987	Yes	
row_33	FGGY	FGGY carbohydrate kinase domain containing [Source:HGNC Symbol;Acc:HGNC:25610]	2634	0.9314868450164795	0.42834017	Yes	
row_34	ENTPD7	ectonucleoside triphosphate diphosphohydrolase 7 [Source:HGNC Symbol;Acc:HGNC:19745]	2802	0.8846079707145691	0.43091288	Yes	
row_35	TCF7L1	transcription factor 7 like 1 [Source:HGNC Symbol;Acc:HGNC:11640]	2988	0.8336155414581299	0.43262285	Yes	
row_36	UPK3B	uroplakin 3B [Source:HGNC Symbol;Acc:HGNC:21444]	3177	0.7889016270637512	0.4339069	Yes	
row_37	TFF2	trefoil factor 2 [Source:HGNC Symbol;Acc:HGNC:11756]	3207	0.7842040061950684	0.4392663	Yes	
