NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ERBB3	erb-b2 receptor tyrosine kinase 3 [Source:HGNC Symbol;Acc:HGNC:3431]	182	2.996861457824707	0.017897986	Yes	
row_1	COL1A1	collagen type I alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2197]	225	2.7817001342773438	0.037793618	Yes	
row_2	BDKRB2	bradykinin receptor B2 [Source:HGNC Symbol;Acc:HGNC:1030]	229	2.7660164833068848	0.058579538	Yes	
row_3	EPHB3	EPH receptor B3 [Source:HGNC Symbol;Acc:HGNC:3394]	306	2.472870349884033	0.07526645	Yes	
row_4	CKM	creatine kinase, M-type [Source:HGNC Symbol;Acc:HGNC:1994]	322	2.4227302074432373	0.093152694	Yes	
row_5	SGCA	sarcoglycan alpha [Source:HGNC Symbol;Acc:HGNC:10805]	762	1.9864884614944458	0.09678332	Yes	
row_6	CAMK2B	calcium/calmodulin dependent protein kinase II beta [Source:HGNC Symbol;Acc:HGNC:1461]	884	1.8335968255996704	0.107484564	Yes	
row_7	TNNC1	troponin C1, slow skeletal and cardiac type [Source:HGNC Symbol;Acc:HGNC:11943]	950	1.74831223487854	0.11899076	Yes	
row_8	CKB	creatine kinase B [Source:HGNC Symbol;Acc:HGNC:1991]	960	1.735469937324524	0.1318483	Yes	
row_9	ITGB4	integrin subunit beta 4 [Source:HGNC Symbol;Acc:HGNC:6158]	1008	1.6792384386062622	0.14329898	Yes	
row_10	SPDEF	SAM pointed domain containing ETS transcription factor [Source:HGNC Symbol;Acc:HGNC:17257]	1079	1.6183781623840332	0.1536958	Yes	
row_11	MYBPC3	myosin binding protein C3 [Source:HGNC Symbol;Acc:HGNC:7551]	1105	1.5914303064346313	0.16505311	Yes	
row_12	CDKN1A	cyclin dependent kinase inhibitor 1A [Source:HGNC Symbol;Acc:HGNC:1784]	1197	1.5264089107513428	0.17421314	Yes	
row_13	EFS	embryonal Fyn-associated substrate [Source:HGNC Symbol;Acc:HGNC:16898]	1222	1.505199909210205	0.1849459	Yes	
row_14	ACTA1	actin alpha 1, skeletal muscle [Source:HGNC Symbol;Acc:HGNC:129]	1229	1.505199909210205	0.19614415	Yes	
row_15	CHRNA1	cholinergic receptor nicotinic alpha 1 subunit [Source:HGNC Symbol;Acc:HGNC:1955]	1253	1.486808180809021	0.20676403	Yes	
row_16	SOD3	superoxide dismutase 3 [Source:HGNC Symbol;Acc:HGNC:11181]	1369	1.396132469177246	0.21432073	Yes	
row_17	CD36	CD36 molecule [Source:HGNC Symbol;Acc:HGNC:1663]	1470	1.385754942893982	0.22218709	Yes	
row_18	CACNA1H	calcium voltage-gated channel subunit alpha1 H [Source:HGNC Symbol;Acc:HGNC:1395]	1479	1.383298635482788	0.23241414	Yes	
row_19	TPD52L1	TPD52 like 1 [Source:HGNC Symbol;Acc:HGNC:12006]	1486	1.3781143426895142	0.24265382	Yes	
row_20	COL6A2	collagen type VI alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2212]	1524	1.3606359958648682	0.25195995	Yes	
row_21	FST	follistatin [Source:HGNC Symbol;Acc:HGNC:3971]	1580	1.321099877357483	0.26050237	Yes	
row_22	CAV3	caveolin 3 [Source:HGNC Symbol;Acc:HGNC:1529]	1586	1.3178941011428833	0.27031368	Yes	
row_23	ANKRD2	ankyrin repeat domain 2 [Source:HGNC Symbol;Acc:HGNC:495]	1621	1.2977006435394287	0.2792227	Yes	
row_24	PLXNB2	plexin B2 [Source:HGNC Symbol;Acc:HGNC:9104]	1835	1.1937540769577026	0.2827185	Yes	
row_25	GSN	gelsolin [Source:HGNC Symbol;Acc:HGNC:4620]	1866	1.1805922985076904	0.29084763	Yes	
row_26	LSP1	lymphocyte specific protein 1 [Source:HGNC Symbol;Acc:HGNC:6707]	2068	1.1161752939224243	0.29406863	Yes	
row_27	GJA5	gap junction protein alpha 5 [Source:HGNC Symbol;Acc:HGNC:4279]	2093	1.1129372119903564	0.30184263	Yes	
row_28	KLF5	Kruppel like factor 5 [Source:HGNC Symbol;Acc:HGNC:6349]	2126	1.098549246788025	0.3093012	Yes	
row_29	SYNGR2	synaptogyrin 2 [Source:HGNC Symbol;Acc:HGNC:11499]	2210	1.0657703876495361	0.31519362	Yes	
row_30	TNNT1	troponin T1, slow skeletal type [Source:HGNC Symbol;Acc:HGNC:11948]	2349	1.013980746269226	0.31927302	Yes	
row_31	ABLIM1	actin binding LIM protein 1 [Source:HGNC Symbol;Acc:HGNC:78]	2428	0.9910028576850891	0.32473078	Yes	
row_32	ACTC1	actin alpha cardiac muscle 1 [Source:HGNC Symbol;Acc:HGNC:143]	2446	0.986616313457489	0.331733	Yes	
row_33	MEF2D	myocyte enhancer factor 2D [Source:HGNC Symbol;Acc:HGNC:6997]	2541	0.9591009616851807	0.33653635	Yes	
row_34	ADCY9	adenylate cyclase 9 [Source:HGNC Symbol;Acc:HGNC:240]	2565	0.9530081748962402	0.34312987	Yes	
row_35	MAPK12	mitogen-activated protein kinase 12 [Source:HGNC Symbol;Acc:HGNC:6874]	2589	0.9469125270843506	0.34967744	Yes	
row_36	MYLPF	myosin light chain, phosphorylatable, fast skeletal muscle [Source:HGNC Symbol;Acc:HGNC:29824]	2769	0.8903108239173889	0.35176373	Yes	
row_37	FHL1	four and a half LIM domains 1 [Source:HGNC Symbol;Acc:HGNC:3702]	2896	0.8558028936386108	0.35496038	Yes	
row_38	AGRN	agrin [Source:HGNC Symbol;Acc:HGNC:329]	2944	0.844441831111908	0.36011437	Yes	
row_39	HSPB8	heat shock protein family B (small) member 8 [Source:HGNC Symbol;Acc:HGNC:30171]	3011	0.826642632484436	0.3646427	Yes	
row_40	FOXO4	forkhead box O4 [Source:HGNC Symbol;Acc:HGNC:7139]	3060	0.8127074241638184	0.36953145	Yes	
row_41	BHLHE40	basic helix-loop-helix family member e40 [Source:HGNC Symbol;Acc:HGNC:1046]	3070	0.8113197684288025	0.37541834	Yes	
row_42	BAG1	BAG cochaperone 1 [Source:HGNC Symbol;Acc:HGNC:937]	3144	0.7968575358390808	0.379541	Yes	
row_43	ITGB1	integrin subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:6153]	3166	0.7916601896286011	0.38496926	Yes	
row_44	MYO1C	myosin IC [Source:HGNC Symbol;Acc:HGNC:7597]	3174	0.7894629836082458	0.390743	Yes	
row_45	SORBS3	sorbin and SH3 domain containing 3 [Source:HGNC Symbol;Acc:HGNC:30907]	3184	0.7878280282020569	0.39645267	Yes	
row_46	ATP6AP1	ATPase H+ transporting accessory protein 1 [Source:HGNC Symbol;Acc:HGNC:868]	3201	0.7845515608787537	0.4019566	Yes	
row_47	ACTN3	actinin alpha 3 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:165]	3211	0.7839717864990234	0.40763718	Yes	
row_48	RIT1	Ras like without CAAX 1 [Source:HGNC Symbol;Acc:HGNC:10023]	3464	0.7260436415672302	0.40659657	Yes	
row_49	SPTAN1	spectrin alpha, non-erythrocytic 1 [Source:HGNC Symbol;Acc:HGNC:11273]	3504	0.7210691571235657	0.41102687	Yes	
row_50	GADD45B	growth arrest and DNA damage inducible beta [Source:HGNC Symbol;Acc:HGNC:4096]	3559	0.7100439071655273	0.41498607	Yes	
row_51	CFD	complement factor D [Source:HGNC Symbol;Acc:HGNC:2771]	3580	0.7058605551719666	0.419793	Yes	
row_52	SGCG	sarcoglycan gamma [Source:HGNC Symbol;Acc:HGNC:10809]	4094	0.6316385865211487	0.41129056	Yes	
row_53	HDAC5	histone deacetylase 5 [Source:HGNC Symbol;Acc:HGNC:14068]	4128	0.6259257793426514	0.41515836	Yes	
row_54	PTGIS	prostaglandin I2 synthase [Source:HGNC Symbol;Acc:HGNC:9603]	4159	0.6256392598152161	0.4191016	Yes	
row_55	FLII	FLII actin remodeling protein [Source:HGNC Symbol;Acc:HGNC:3750]	4616	0.59316486120224	0.41178304	Yes	
row_56	DMPK	DM1 protein kinase [Source:HGNC Symbol;Acc:HGNC:2933]	4646	0.5901238918304443	0.41548425	Yes	
row_57	MRAS	muscle RAS oncogene homolog [Source:HGNC Symbol;Acc:HGNC:7227]	4664	0.588381290435791	0.41948265	Yes	
row_58	SCD	stearoyl-CoA desaturase [Source:HGNC Symbol;Acc:HGNC:10571]	4727	0.5819070339202881	0.42226845	Yes	
row_59	NOS1	nitric oxide synthase 1 [Source:HGNC Symbol;Acc:HGNC:7872]	5262	0.5539348721504211	0.41263682	No	
row_60	ACTN2	actinin alpha 2 [Source:HGNC Symbol;Acc:HGNC:164]	5289	0.5539348721504211	0.41614264	No	
row_61	CACNG1	calcium voltage-gated channel auxiliary subunit gamma 1 [Source:HGNC Symbol;Acc:HGNC:1405]	5631	0.5352382659912109	0.41136116	No	
row_62	MYH4	myosin heavy chain 4 [Source:HGNC Symbol;Acc:HGNC:7574]	5929	0.5316740274429321	0.4076907	No	
row_63	TNNI2	troponin I2, fast skeletal type [Source:HGNC Symbol;Acc:HGNC:11946]	5947	0.5316740274429321	0.41126138	No	
