NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LCK	LCK proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6524]	154	3.2559516429901123	0.053191617	Yes	
row_1	FASLG	Fas ligand [Source:HGNC Symbol;Acc:HGNC:11936]	364	2.4227302074432373	0.090335555	Yes	
row_2	DAPP1	dual adaptor of phosphotyrosine and 3-phosphoinositides 1 [Source:HGNC Symbol;Acc:HGNC:16500]	785	1.9670509099960327	0.11403583	Yes	
row_3	FGF17	fibroblast growth factor 17 [Source:HGNC Symbol;Acc:HGNC:3673]	854	1.8776483535766602	0.14524731	Yes	
row_4	SQSTM1	sequestosome 1 [Source:HGNC Symbol;Acc:HGNC:11280]	1176	1.5379794836044312	0.16396838	Yes	
row_5	CDKN1A	cyclin dependent kinase inhibitor 1A [Source:HGNC Symbol;Acc:HGNC:1784]	1197	1.5264089107513428	0.19025147	Yes	
row_6	IL2RG	interleukin 2 receptor subunit gamma [Source:HGNC Symbol;Acc:HGNC:6010]	1263	1.478367567062378	0.21453018	Yes	
row_7	CDKN1B	cyclin dependent kinase inhibitor 1B [Source:HGNC Symbol;Acc:HGNC:1785]	1353	1.4133890867233276	0.23704894	Yes	
row_8	MYD88	MYD88 innate immune signal transduction adaptor [Source:HGNC Symbol;Acc:HGNC:7562]	1527	1.3559491634368896	0.2563922	Yes	
row_9	NGF	nerve growth factor [Source:HGNC Symbol;Acc:HGNC:7808]	1890	1.1725537776947021	0.26763985	Yes	
row_10	ARPC3	actin related protein 2/3 complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:706]	1924	1.1610420942306519	0.28717282	Yes	
row_11	PRKAR2A	protein kinase cAMP-dependent type II regulatory subunit alpha [Source:HGNC Symbol;Acc:HGNC:9391]	1983	1.1294701099395752	0.3055066	Yes	
row_12	FGF22	fibroblast growth factor 22 [Source:HGNC Symbol;Acc:HGNC:3679]	2447	0.986616313457489	0.31088415	Yes	
row_13	MAP2K6	mitogen-activated protein kinase kinase 6 [Source:HGNC Symbol;Acc:HGNC:6846]	2494	0.9749247431755066	0.32681412	Yes	
row_14	TRIB3	tribbles pseudokinase 3 [Source:HGNC Symbol;Acc:HGNC:16228]	2659	0.923528254032135	0.3387976	Yes	
row_15	STAT2	signal transducer and activator of transcription 2 [Source:HGNC Symbol;Acc:HGNC:11363]	2731	0.9009259939193726	0.35278344	Yes	
