NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TSPAN8	tetraspanin 8 [Source:HGNC Symbol;Acc:HGNC:11855]	558	2.2793684005737305	0.0350782	Yes	
row_1	KRT18	keratin 18 [Source:HGNC Symbol;Acc:HGNC:6430]	1055	1.6348410844802856	0.05776713	Yes	
row_2	CAV2	caveolin 2 [Source:HGNC Symbol;Acc:HGNC:1528]	1641	1.2859869003295898	0.07058938	Yes	
row_3	RAB5A	RAB5A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9783]	2308	1.0291955471038818	0.075749345	Yes	
row_4	SEC31A	SEC31 homolog A, COPII coat complex component [Source:HGNC Symbol;Acc:HGNC:17052]	2327	1.0236692428588867	0.09750204	Yes	
row_5	RAB2A	RAB2A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9763]	2694	0.9147334098815918	0.107915156	Yes	
row_6	DST	dystonin [Source:HGNC Symbol;Acc:HGNC:1090]	2723	0.9041866064071655	0.12681676	Yes	
row_7	COPB2	COPI coat complex subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:2232]	2830	0.8757795095443726	0.14309016	Yes	
row_8	BET1	Bet1 golgi vesicular membrane trafficking protein [Source:HGNC Symbol;Acc:HGNC:14562]	2923	0.8497218489646912	0.15915908	Yes	
row_9	TOM1L1	target of myb1 like 1 membrane trafficking protein [Source:HGNC Symbol;Acc:HGNC:11983]	3015	0.8253023624420166	0.17472382	Yes	
row_10	ARCN1	archain 1 [Source:HGNC Symbol;Acc:HGNC:649]	3017	0.8250401616096497	0.19260406	Yes	
row_11	GOLGA4	golgin A4 [Source:HGNC Symbol;Acc:HGNC:4427]	3191	0.7863354086875916	0.20520821	Yes	
row_12	TPD52	tumor protein D52 [Source:HGNC Symbol;Acc:HGNC:12005]	3336	0.7574499249458313	0.2179334	Yes	
row_13	SNAP23	synaptosome associated protein 23 [Source:HGNC Symbol;Acc:HGNC:11131]	3528	0.7169095277786255	0.22856654	Yes	
row_14	SEC22B	SEC22 homolog B, vesicle trafficking protein (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:10700]	3547	0.7116689085960388	0.24354781	Yes	
row_15	SEC24D	SEC24 homolog D, COPII coat complex component [Source:HGNC Symbol;Acc:HGNC:10706]	3620	0.6952891945838928	0.2567809	Yes	
row_16	BNIP3	BCL2 interacting protein 3 [Source:HGNC Symbol;Acc:HGNC:1084]	3715	0.6762442588806152	0.2690332	Yes	
row_17	VPS4B	vacuolar protein sorting 4 homolog B [Source:HGNC Symbol;Acc:HGNC:10895]	3723	0.674502968788147	0.28349155	Yes	
row_18	NAPG	NSF attachment protein gamma [Source:HGNC Symbol;Acc:HGNC:7642]	3737	0.6716188192367554	0.29773256	Yes	
row_19	YKT6	YKT6 v-SNARE homolog [Source:HGNC Symbol;Acc:HGNC:16959]	4642	0.5907326936721802	0.28723818	Yes	
row_20	COPB1	COPI coat complex subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:2231]	5594	0.5384730100631714	0.2743974	Yes	
row_21	COG2	component of oligomeric golgi complex 2 [Source:HGNC Symbol;Acc:HGNC:6546]	5656	0.5351452231407166	0.28443852	Yes	
row_22	IGF2R	insulin like growth factor 2 receptor [Source:HGNC Symbol;Acc:HGNC:5467]	5687	0.5318887829780579	0.2952085	Yes	
row_23	ARF1	ADP ribosylation factor 1 [Source:HGNC Symbol;Acc:HGNC:652]	6483	0.5236307978630066	0.28606904	Yes	
row_24	COPE	COPI coat complex subunit epsilon [Source:HGNC Symbol;Acc:HGNC:2234]	6739	0.49544453620910645	0.29024503	Yes	
row_25	ARFGEF2	ADP ribosylation factor guanine nucleotide exchange factor 2 [Source:HGNC Symbol;Acc:HGNC:15853]	6753	0.49417179822921753	0.30063486	Yes	
row_26	TMED2	transmembrane p24 trafficking protein 2 [Source:HGNC Symbol;Acc:HGNC:16996]	6836	0.48369088768959045	0.30901766	Yes	
row_27	SCAMP3	secretory carrier membrane protein 3 [Source:HGNC Symbol;Acc:HGNC:10565]	6880	0.4782957434654236	0.3182892	Yes	
row_28	CLTA	clathrin light chain A [Source:HGNC Symbol;Acc:HGNC:2090]	6911	0.4744671881198883	0.32781294	Yes	
