NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IPCEF1	interaction protein for cytohesin exchange factors 1 [Source:HGNC Symbol;Acc:HGNC:21204]	248	2.6497161388397217	0.09901609	Yes	
row_1	JUNB	JunB proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6205]	600	2.158111810684204	0.17582302	Yes	
row_2	GPX4	glutathione peroxidase 4 [Source:HGNC Symbol;Acc:HGNC:4556]	1129	1.582689642906189	0.22518022	Yes	
row_3	SBNO2	strawberry notch homolog 2 [Source:HGNC Symbol;Acc:HGNC:29158]	1738	1.2358486652374268	0.2586794	Yes	
row_4	LSP1	lymphocyte specific protein 1 [Source:HGNC Symbol;Acc:HGNC:6707]	2068	1.1161752939224243	0.2946052	Yes	
row_5	GSR	glutathione-disulfide reductase [Source:HGNC Symbol;Acc:HGNC:4623]	2335	1.0208418369293213	0.3283616	Yes	
row_6	FTL	ferritin light chain [Source:HGNC Symbol;Acc:HGNC:3999]	2827	0.8770599961280823	0.35060227	Yes	
row_7	HMOX2	heme oxygenase 2 [Source:HGNC Symbol;Acc:HGNC:5014]	3221	0.7820215821266174	0.3715869	Yes	
row_8	OXSR1	oxidative stress responsive kinase 1 [Source:HGNC Symbol;Acc:HGNC:8508]	3552	0.7111926674842834	0.39137688	Yes	
row_9	SOD2	superoxide dismutase 2 [Source:HGNC Symbol;Acc:HGNC:11180]	3579	0.7065359354019165	0.41881284	Yes	
row_10	LAMTOR5	late endosomal/lysosomal adaptor, MAPK and MTOR activator 5 [Source:HGNC Symbol;Acc:HGNC:17955]	3638	0.6913814544677734	0.44482163	Yes	
row_11	G6PD	glucose-6-phosphate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4057]	3868	0.6548570990562439	0.4649724	Yes	
row_12	STK25	serine/threonine kinase 25 [Source:HGNC Symbol;Acc:HGNC:11404]	4927	0.5540360808372498	0.45975706	Yes	
row_13	GLRX	glutaredoxin [Source:HGNC Symbol;Acc:HGNC:4330]	5625	0.5352478623390198	0.4630939	Yes	
row_14	PDLIM1	PDZ and LIM domain 1 [Source:HGNC Symbol;Acc:HGNC:2067]	6626	0.507037878036499	0.4575031	Yes	
row_15	ABCC1	ATP binding cassette subfamily C member 1 [Source:HGNC Symbol;Acc:HGNC:51]	6706	0.49914687871932983	0.4753239	Yes	
row_16	TXNRD1	thioredoxin reductase 1 [Source:HGNC Symbol;Acc:HGNC:12437]	6939	0.4734216034412384	0.48817998	Yes	
row_17	ERCC2	ERCC excision repair 2, TFIIH core complex helicase subunit [Source:HGNC Symbol;Acc:HGNC:3434]	9122	0.28665071725845337	0.44337323	No	
