NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CHAC1	ChaC glutathione specific gamma-glutamylcyclotransferase 1 [Source:HGNC Symbol;Acc:HGNC:28680]	247	2.669955253601074	0.047124147	Yes	
row_1	NABP1	nucleic acid binding protein 1 [Source:HGNC Symbol;Acc:HGNC:26232]	670	2.033660650253296	0.0769834	Yes	
row_2	WFS1	wolframin ER transmembrane glycoprotein [Source:HGNC Symbol;Acc:HGNC:12762]	829	1.9046615362167358	0.11106995	Yes	
row_3	ATF3	activating transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:785]	952	1.743844985961914	0.14286314	Yes	
row_4	IFIT1	interferon induced protein with tetratricopeptide repeats 1 [Source:HGNC Symbol;Acc:HGNC:5407]	1023	1.6605665683746338	0.17432946	Yes	
row_5	YIF1A	Yip1 interacting factor homolog A, membrane trafficking protein [Source:HGNC Symbol;Acc:HGNC:16688]	1177	1.5374001264572144	0.20118625	Yes	
row_6	HERPUD1	homocysteine inducible ER protein with ubiquitin like domain 1 [Source:HGNC Symbol;Acc:HGNC:13744]	1186	1.5339936017990112	0.23171625	Yes	
row_7	XBP1	X-box binding protein 1 [Source:HGNC Symbol;Acc:HGNC:12801]	1221	1.5065480470657349	0.26102543	Yes	
row_8	DDIT4	DNA damage inducible transcript 4 [Source:HGNC Symbol;Acc:HGNC:24944]	1237	1.5033533573150635	0.29076087	Yes	
row_9	IGFBP1	insulin like growth factor binding protein 1 [Source:HGNC Symbol;Acc:HGNC:5469]	1646	1.2833151817321777	0.3059468	Yes	
row_10	CEBPB	CCAAT enhancer binding protein beta [Source:HGNC Symbol;Acc:HGNC:1834]	1774	1.2197072505950928	0.3271089	Yes	
row_11	KDELR3	KDEL endoplasmic reticulum protein retention receptor 3 [Source:HGNC Symbol;Acc:HGNC:6306]	1928	1.1582436561584473	0.34636858	Yes	
row_12	SEC31A	SEC31 homolog A, COPII coat complex component [Source:HGNC Symbol;Acc:HGNC:17052]	2327	1.0236692428588867	0.35661006	Yes	
row_13	DCP2	decapping mRNA 2 [Source:HGNC Symbol;Acc:HGNC:24452]	2612	0.9401077628135681	0.3681188	Yes	
row_14	ARFGAP1	ADP ribosylation factor GTPase activating protein 1 [Source:HGNC Symbol;Acc:HGNC:15852]	2682	0.9171885251998901	0.38471594	Yes	
row_15	DNAJB9	DnaJ heat shock protein family (Hsp40) member B9 [Source:HGNC Symbol;Acc:HGNC:6968]	2726	0.9025481939315796	0.40169066	Yes	
row_16	SERP1	stress associated endoplasmic reticulum protein 1 [Source:HGNC Symbol;Acc:HGNC:10759]	3136	0.7980324625968933	0.40712723	Yes	
row_17	WIPI1	WD repeat domain, phosphoinositide interacting 1 [Source:HGNC Symbol;Acc:HGNC:25471]	3393	0.7412856221199036	0.41537467	Yes	
row_18	ATF4	activating transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:786]	3732	0.6731677055358887	0.4201414	Yes	
