NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	COL1A1	collagen type I alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2197]	225	2.7817001342773438	0.025320668	Yes	
row_1	TGFBR3	transforming growth factor beta receptor 3 [Source:HGNC Symbol;Acc:HGNC:11774]	275	2.566804885864258	0.05278135	Yes	
row_2	CITED2	Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 2 [Source:HGNC Symbol;Acc:HGNC:1987]	519	2.3690996170043945	0.073019624	Yes	
row_3	DUSP1	dual specificity phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:3064]	531	2.3300251960754395	0.09881172	Yes	
row_4	ID1	inhibitor of DNA binding 1, HLH protein [Source:HGNC Symbol;Acc:HGNC:5360]	593	2.169386148452759	0.121514864	Yes	
row_5	ITGB3	integrin subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:6156]	595	2.1657166481018066	0.14572637	Yes	
row_6	COL1A2	collagen type I alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2198]	615	2.116990566253662	0.16892773	Yes	
row_7	DBP	D-box binding PAR bZIP transcription factor [Source:HGNC Symbol;Acc:HGNC:2697]	837	1.8946592807769775	0.18442449	Yes	
row_8	F3	coagulation factor III, tissue factor [Source:HGNC Symbol;Acc:HGNC:3541]	1204	1.5193114280700684	0.19197616	Yes	
row_9	SMAD7	SMAD family member 7 [Source:HGNC Symbol;Acc:HGNC:6773]	1349	1.4158178567886353	0.20410247	Yes	
row_10	CDKN1B	cyclin dependent kinase inhibitor 1B [Source:HGNC Symbol;Acc:HGNC:1785]	1353	1.4133890867233276	0.21984275	Yes	
row_11	MGLL	monoglyceride lipase [Source:HGNC Symbol;Acc:HGNC:17038]	1606	1.3032183647155762	0.22791995	Yes	
row_12	KCNMA1	potassium calcium-activated channel subfamily M alpha 1 [Source:HGNC Symbol;Acc:HGNC:6284]	1652	1.28079354763031	0.2410917	Yes	
row_13	IGF1R	insulin like growth factor 1 receptor [Source:HGNC Symbol;Acc:HGNC:5465]	1698	1.2507838010787964	0.25392762	Yes	
row_14	KALRN	kalirin RhoGEF kinase [Source:HGNC Symbol;Acc:HGNC:4814]	1702	1.248335599899292	0.26782072	Yes	
row_15	SDC2	syndecan 2 [Source:HGNC Symbol;Acc:HGNC:10659]	1749	1.229168176651001	0.2803889	Yes	
row_16	NEK7	NIMA related kinase 7 [Source:HGNC Symbol;Acc:HGNC:13386]	1802	1.2076717615127563	0.29256156	Yes	
row_17	BDNF	brain derived neurotrophic factor [Source:HGNC Symbol;Acc:HGNC:1033]	1879	1.1766053438186646	0.30376676	Yes	
row_18	FBLN5	fibulin 5 [Source:HGNC Symbol;Acc:HGNC:3602]	1988	1.1284279823303223	0.31360644	Yes	
row_19	RND3	Rho family GTPase 3 [Source:HGNC Symbol;Acc:HGNC:671]	1995	1.1275304555892944	0.3260701	Yes	
row_20	VLDLR	very low density lipoprotein receptor [Source:HGNC Symbol;Acc:HGNC:12698]	2107	1.1069998741149902	0.3355925	Yes	
row_21	DAB2	DAB adaptor protein 2 [Source:HGNC Symbol;Acc:HGNC:2662]	2135	1.094634771347046	0.3471457	Yes	
row_22	ANXA4	annexin A4 [Source:HGNC Symbol;Acc:HGNC:542]	2228	1.0585265159606934	0.3566163	Yes	
row_23	CDON	cell adhesion associated, oncogene regulated [Source:HGNC Symbol;Acc:HGNC:17104]	2288	1.035563588142395	0.36668205	Yes	
row_24	IRS1	insulin receptor substrate 1 [Source:HGNC Symbol;Acc:HGNC:6125]	2489	0.9763656258583069	0.37244415	Yes	
row_25	MYC	MYC proto-oncogene, bHLH transcription factor [Source:HGNC Symbol;Acc:HGNC:7553]	2543	0.9583787322044373	0.38180107	Yes	
row_26	LPAR1	lysophosphatidic acid receptor 1 [Source:HGNC Symbol;Acc:HGNC:3166]	2738	0.897684633731842	0.38683757	Yes	
row_27	PPARG	peroxisome proliferator activated receptor gamma [Source:HGNC Symbol;Acc:HGNC:9236]	2916	0.851395308971405	0.39179504	Yes	
row_28	BHLHE40	basic helix-loop-helix family member e40 [Source:HGNC Symbol;Acc:HGNC:1046]	3070	0.8113197684288025	0.39692375	Yes	
row_29	GCNT1	glucosaminyl (N-acetyl) transferase 1 [Source:HGNC Symbol;Acc:HGNC:4203]	3173	0.7896283864974976	0.40312675	Yes	
row_30	INSIG1	insulin induced gene 1 [Source:HGNC Symbol;Acc:HGNC:6083]	3329	0.7591967582702637	0.40762052	Yes	
row_31	ATP2B4	ATPase plasma membrane Ca2+ transporting 4 [Source:HGNC Symbol;Acc:HGNC:817]	3591	0.7034286856651306	0.40875283	Yes	
row_32	CCN1	cellular communication network factor 1 [Source:HGNC Symbol;Acc:HGNC:2654]	3644	0.6906968355178833	0.41513985	Yes	
row_33	FZD2	frizzled class receptor 2 [Source:HGNC Symbol;Acc:HGNC:4040]	3743	0.6706995964050293	0.42011514	Yes	
row_34	CAV1	caveolin 1 [Source:HGNC Symbol;Acc:HGNC:1527]	3763	0.6684962511062622	0.42710587	Yes	
row_35	DDAH1	dimethylarginine dimethylaminohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:2715]	3821	0.6614885926246643	0.4330369	Yes	
row_36	FYN	FYN proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:4037]	4065	0.635233461856842	0.43387085	Yes	
row_37	YTHDC1	YTH domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30626]	4129	0.6257898211479187	0.4392474	Yes	
row_38	SYNE1	spectrin repeat containing nuclear envelope protein 1 [Source:HGNC Symbol;Acc:HGNC:17089]	4744	0.5800926685333252	0.42988363	Yes	
row_39	ATRN	attractin [Source:HGNC Symbol;Acc:HGNC:885]	4853	0.564357340335846	0.43341058	Yes	
row_40	PDLIM5	PDZ and LIM domain 5 [Source:HGNC Symbol;Acc:HGNC:17468]	4867	0.562586784362793	0.439371	Yes	
row_41	SLC22A18	solute carrier family 22 member 18 [Source:HGNC Symbol;Acc:HGNC:10964]	4872	0.5619564056396484	0.44555673	Yes	
row_42	MAP1B	microtubule associated protein 1B [Source:HGNC Symbol;Acc:HGNC:6836]	5465	0.5504254102706909	0.43642908	No	
row_43	INPP4B	inositol polyphosphate-4-phosphatase type II B [Source:HGNC Symbol;Acc:HGNC:6075]	5526	0.5424720644950867	0.44095066	No	
row_44	SCN8A	sodium voltage-gated channel alpha subunit 8 [Source:HGNC Symbol;Acc:HGNC:10596]	5630	0.5352382659912109	0.44428086	No	
row_45	CACNA1A	calcium voltage-gated channel subunit alpha1 A [Source:HGNC Symbol;Acc:HGNC:1388]	5911	0.5316740274429321	0.44300035	No	
row_46	PIAS3	protein inhibitor of activated STAT 3 [Source:HGNC Symbol;Acc:HGNC:16861]	6656	0.5052347779273987	0.42944172	No	
row_47	ABCC1	ATP binding cassette subfamily C member 1 [Source:HGNC Symbol;Acc:HGNC:51]	6706	0.49914687871932983	0.4337625	No	
row_48	RXRA	retinoid X receptor alpha [Source:HGNC Symbol;Acc:HGNC:10477]	6849	0.4824253022670746	0.4354945	No	
row_49	VAV2	vav guanine nucleotide exchange factor 2 [Source:HGNC Symbol;Acc:HGNC:12658]	7264	0.43710407614707947	0.42969525	No	
row_50	ADD3	adducin 3 [Source:HGNC Symbol;Acc:HGNC:245]	7323	0.4307679533958435	0.43301836	No	
row_51	ANXA2	annexin A2 [Source:HGNC Symbol;Acc:HGNC:537]	7390	0.42599111795425415	0.4360814	No	
row_52	ICA1	islet cell autoantigen 1 [Source:HGNC Symbol;Acc:HGNC:5343]	8015	0.3726713955402374	0.42413807	No	
