NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ATOH8	atonal bHLH transcription factor 8 [Source:HGNC Symbol;Acc:HGNC:24126]	33	4.0257487297058105	0.03313003	Yes	
row_1	ID2	inhibitor of DNA binding 2 [Source:HGNC Symbol;Acc:HGNC:5361]	54	3.809542655944824	0.064771146	Yes	
row_2	CDO1	cysteine dioxygenase type 1 [Source:HGNC Symbol;Acc:HGNC:1795]	69	3.6911380290985107	0.09556792	Yes	
row_3	APOE	apolipoprotein E [Source:HGNC Symbol;Acc:HGNC:613]	99	3.4814298152923584	0.12420651	Yes	
row_4	HSD17B2	hydroxysteroid 17-beta dehydrogenase 2 [Source:HGNC Symbol;Acc:HGNC:5211]	189	2.9502675533294678	0.14680962	Yes	
row_5	F10	coagulation factor X [Source:HGNC Symbol;Acc:HGNC:3528]	327	2.4227302074432373	0.16371818	Yes	
row_6	ENPEP	glutamyl aminopeptidase [Source:HGNC Symbol;Acc:HGNC:3355]	497	2.4227302074432373	0.17979917	Yes	
row_7	PTGES	prostaglandin E synthase [Source:HGNC Symbol;Acc:HGNC:9599]	588	2.1824886798858643	0.1958952	Yes	
row_8	ABCD2	ATP binding cassette subfamily D member 2 [Source:HGNC Symbol;Acc:HGNC:66]	645	2.0659282207489014	0.21188654	Yes	
row_9	IL1R1	interleukin 1 receptor type 1 [Source:HGNC Symbol;Acc:HGNC:5993]	796	1.9459158182144165	0.22443385	Yes	
row_10	JUP	junction plakoglobin [Source:HGNC Symbol;Acc:HGNC:6207]	894	1.8191945552825928	0.2372821	Yes	
row_11	TGFB2	transforming growth factor beta 2 [Source:HGNC Symbol;Acc:HGNC:11768]	939	1.7604507207870483	0.25100508	Yes	
row_12	MAOA	monoamine oxidase A [Source:HGNC Symbol;Acc:HGNC:6833]	1010	1.6778249740600586	0.2633582	Yes	
row_13	SPINT2	serine peptidase inhibitor, Kunitz type 2 [Source:HGNC Symbol;Acc:HGNC:11247]	1057	1.6322211027145386	0.27594703	Yes	
row_14	CDA	cytidine deaminase [Source:HGNC Symbol;Acc:HGNC:1712]	1183	1.5346355438232422	0.28566903	Yes	
row_15	GCNT2	glucosaminyl (N-acetyl) transferase 2 (I blood group) [Source:HGNC Symbol;Acc:HGNC:4204]	1298	1.4518333673477173	0.29497656	Yes	
row_16	GABARAPL1	GABA type A receptor associated protein like 1 [Source:HGNC Symbol;Acc:HGNC:4068]	1310	1.443088412284851	0.30687395	Yes	
row_17	DDC	dopa decarboxylase [Source:HGNC Symbol;Acc:HGNC:2719]	1375	1.3950588703155518	0.31699523	Yes	
row_18	CD36	CD36 molecule [Source:HGNC Symbol;Acc:HGNC:1663]	1470	1.385754942893982	0.32626218	Yes	
row_19	IGFBP1	insulin like growth factor binding protein 1 [Source:HGNC Symbol;Acc:HGNC:5469]	1646	1.2833151817321777	0.3325696	Yes	
row_20	UPP1	uridine phosphorylase 1 [Source:HGNC Symbol;Acc:HGNC:12576]	1716	1.2414196729660034	0.34126467	Yes	
row_21	GCH1	GTP cyclohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:4193]	1731	1.2388935089111328	0.35136074	Yes	
row_22	BLVRB	biliverdin reductase B [Source:HGNC Symbol;Acc:HGNC:1063]	1791	1.2150822877883911	0.36009207	Yes	
row_23	PYCR1	pyrroline-5-carboxylate reductase 1 [Source:HGNC Symbol;Acc:HGNC:9721]	1875	1.178226113319397	0.36789164	Yes	
row_24	CYB5A	cytochrome b5 type A [Source:HGNC Symbol;Acc:HGNC:2570]	1885	1.174286961555481	0.37757164	Yes	
row_25	DDAH2	dimethylarginine dimethylaminohydrolase 2 [Source:HGNC Symbol;Acc:HGNC:2716]	1932	1.1541355848312378	0.3861247	Yes	
row_26	ALDH3A1	aldehyde dehydrogenase 3 family member A1 [Source:HGNC Symbol;Acc:HGNC:405]	1953	1.1450684070587158	0.3952736	Yes	
row_27	EPHA2	EPH receptor A2 [Source:HGNC Symbol;Acc:HGNC:3386]	1959	1.1429399251937866	0.40479246	Yes	
row_28	ECH1	enoyl-CoA hydratase 1 [Source:HGNC Symbol;Acc:HGNC:3149]	2045	1.119035005569458	0.4120406	Yes	
row_29	PDK4	pyruvate dehydrogenase kinase 4 [Source:HGNC Symbol;Acc:HGNC:8812]	2047	1.1184662580490112	0.4214563	Yes	
row_30	VTN	vitronectin [Source:HGNC Symbol;Acc:HGNC:12724]	2159	1.0880616903305054	0.4277706	Yes	
row_31	AKR1C2	aldo-keto reductase family 1 member C2 [Source:HGNC Symbol;Acc:HGNC:385]	2254	1.0446269512176514	0.4341579	Yes	
row_32	GSR	glutathione-disulfide reductase [Source:HGNC Symbol;Acc:HGNC:4623]	2335	1.0208418369293213	0.44070646	Yes	
row_33	SLC6A12	solute carrier family 6 member 12 [Source:HGNC Symbol;Acc:HGNC:11045]	2479	0.9812447428703308	0.44529152	Yes	
row_34	MAN1A1	mannosidase alpha class 1A member 1 [Source:HGNC Symbol;Acc:HGNC:6821]	2660	0.923069417476654	0.44842863	Yes	
row_35	DHPS	deoxyhypusine synthase [Source:HGNC Symbol;Acc:HGNC:2869]	2662	0.9219415187835693	0.45618534	Yes	
row_36	NPC1	NPC intracellular cholesterol transporter 1 [Source:HGNC Symbol;Acc:HGNC:7897]	2676	0.9198826551437378	0.46361437	Yes	
row_37	HMOX1	heme oxygenase 1 [Source:HGNC Symbol;Acc:HGNC:5013]	2785	0.8870782256126404	0.46830964	Yes	
row_38	TMBIM6	transmembrane BAX inhibitor motif containing 6 [Source:HGNC Symbol;Acc:HGNC:11723]	2789	0.8853016495704651	0.47570536	Yes	
row_39	UGDH	UDP-glucose 6-dehydrogenase [Source:HGNC Symbol;Acc:HGNC:12525]	2852	0.8692440390586853	0.4814397	Yes	
row_40	CFB	complement factor B [Source:HGNC Symbol;Acc:HGNC:1037]	3020	0.8245617151260376	0.48408145	Yes	
