NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	200	0.6491405	2.0163872	0.0	0.0	0.0	4867	tags=51%, list=13%, signal=57%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	Details ...	200	0.6393423	1.9920104	0.0	0.0	0.0	4586	tags=41%, list=12%, signal=46%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	Details ...	200	0.60434145	1.9013563	0.0	0.0	0.0	4765	tags=40%, list=12%, signal=45%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	200	0.56764704	1.7657365	0.0	3.629032E-4	0.001	4890	tags=41%, list=13%, signal=46%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	Details ...	161	0.57099247	1.7314993	0.0	7.5460825E-4	0.003	3804	tags=33%, list=10%, signal=36%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	83	0.5983658	1.6701174	0.0	0.0031000688	0.014	6591	tags=43%, list=17%, signal=52%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	200	0.5311511	1.6598105	0.0	0.002826375	0.015	4991	tags=37%, list=13%, signal=42%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Details ...	74	0.5738481	1.5953761	0.0015015015	0.0050659804	0.031	7672	tags=53%, list=20%, signal=66%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	198	0.50739694	1.5740067	0.0	0.006616593	0.045	3673	tags=27%, list=9%, signal=30%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	200	0.4907145	1.5196834	0.0	0.012924683	0.097	3896	tags=23%, list=10%, signal=25%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	Details ...	200	0.48704487	1.5082402	0.0	0.0139198415	0.113	8155	tags=45%, list=21%, signal=57%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	200	0.48204616	1.5000081	0.0	0.014614444	0.13	3809	tags=26%, list=10%, signal=28%	
