NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	A2M	alpha-2-macroglobulin [Source:HGNC Symbol;Acc:HGNC:7]	2066	1.2532835006713867	-0.042431176	No	
row_1	TP53BP2	tumor protein p53 binding protein 2 [Source:HGNC Symbol;Acc:HGNC:12000]	5354	0.5911237001419067	-0.12216768	No	
row_2	WDR26	WD repeat domain 26 [Source:HGNC Symbol;Acc:HGNC:21208]	5532	0.5733103156089783	-0.12174129	No	
row_3	NFE2L3	nuclear factor, erythroid 2 like 3 [Source:HGNC Symbol;Acc:HGNC:7783]	8656	0.4013045132160187	-0.19889702	No	
row_4	CSNK1G1	casein kinase 1 gamma 1 [Source:HGNC Symbol;Acc:HGNC:2454]	8847	0.3818567395210266	-0.20047528	No	
row_5	RIT1	Ras like without CAAX 1 [Source:HGNC Symbol;Acc:HGNC:10023]	9087	0.3617543578147888	-0.20349422	No	
row_6	SRPK1	SRSF protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:11305]	9164	0.3547411561012268	-0.2023647	No	
row_7	CDT1	chromatin licensing and DNA replication factor 1 [Source:HGNC Symbol;Acc:HGNC:24576]	9771	0.30757904052734375	-0.21533394	No	
row_8	A1BG	alpha-1-B glycoprotein [Source:HGNC Symbol;Acc:HGNC:5]	10006	0.2869205176830292	-0.2188761	No	
row_9	CSTB	cystatin B [Source:HGNC Symbol;Acc:HGNC:2482]	10094	0.2788662314414978	-0.21869205	No	
row_10	PURB	purine rich element binding protein B [Source:HGNC Symbol;Acc:HGNC:9702]	10225	0.2668023705482483	-0.21972369	No	
row_11	ANKRD27	ankyrin repeat domain 27 [Source:HGNC Symbol;Acc:HGNC:25310]	10307	0.2593452036380768	-0.21955486	No	
row_12	PKMYT1	protein kinase, membrane associated tyrosine/threonine 1 [Source:HGNC Symbol;Acc:HGNC:29650]	11112	0.2049526572227478	-0.23853222	No	
row_13	AGFG1	ArfGAP with FG repeats 1 [Source:HGNC Symbol;Acc:HGNC:5175]	11230	0.19516369700431824	-0.23985258	No	
row_14	TFRC	transferrin receptor [Source:HGNC Symbol;Acc:HGNC:11763]	11912	0.1420760452747345	-0.25620145	No	
row_15	NMI	N-myc and STAT interactor [Source:HGNC Symbol;Acc:HGNC:7854]	12012	0.13525570929050446	-0.25757918	No	
