NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ARC	activity regulated cytoskeleton associated protein [Source:HGNC Symbol;Acc:HGNC:648]	36	3.9721081256866455	0.022418372	Yes	
row_1	IL23A	interleukin 23 subunit alpha [Source:HGNC Symbol;Acc:HGNC:15488]	73	3.628873825073242	0.04281916	Yes	
row_2	TNF	tumor necrosis factor [Source:HGNC Symbol;Acc:HGNC:11892]	78	3.6152074337005615	0.063966535	Yes	
row_3	TNFAIP3	TNF alpha induced protein 3 [Source:HGNC Symbol;Acc:HGNC:11896]	92	3.571800947189331	0.08462619	Yes	
row_4	ICAM1	intercellular adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:5344]	94	3.5525357723236084	0.10548269	Yes	
row_5	SAA2	serum amyloid A2 [Source:HGNC Symbol;Acc:HGNC:10514]	179	3.163363456726074	0.121906765	Yes	
row_6	PTGS2	prostaglandin-endoperoxide synthase 2 [Source:HGNC Symbol;Acc:HGNC:9605]	188	3.119262933731079	0.14003554	Yes	
row_7	EGR1	early growth response 1 [Source:HGNC Symbol;Acc:HGNC:3238]	200	3.057419776916504	0.15772326	Yes	
row_8	CXCL1	C-X-C motif chemokine ligand 1 [Source:HGNC Symbol;Acc:HGNC:4602]	209	3.0025007724761963	0.17516568	Yes	
row_9	CXCL2	C-X-C motif chemokine ligand 2 [Source:HGNC Symbol;Acc:HGNC:4603]	268	2.784642457962036	0.19003546	Yes	
row_10	NEURL3	neuralized E3 ubiquitin protein ligase 3 [Source:HGNC Symbol;Acc:HGNC:25162]	270	2.7730042934417725	0.20630975	Yes	
row_11	CSF3	colony stimulating factor 3 [Source:HGNC Symbol;Acc:HGNC:2438]	292	2.6945228576660156	0.2216059	Yes	
row_12	EREG	epiregulin [Source:HGNC Symbol;Acc:HGNC:3443]	295	2.6771440505981445	0.23729087	Yes	
row_13	GRHL1	grainyhead like transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:17923]	321	2.6009609699249268	0.2519337	Yes	
row_14	ZSCAN12P1	zinc finger and SCAN domain containing 12 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:13850]	322	2.5988709926605225	0.26721025	Yes	
row_15	LTB	lymphotoxin beta [Source:HGNC Symbol;Acc:HGNC:6711]	336	2.5603315830230713	0.28192434	Yes	
row_16	DUSP8	dual specificity phosphatase 8 [Source:HGNC Symbol;Acc:HGNC:3074]	347	2.5476303100585938	0.2966413	Yes	
row_17	CXCL8	C-X-C motif chemokine ligand 8 [Source:HGNC Symbol;Acc:HGNC:6025]	367	2.481452465057373	0.31073666	Yes	
row_18	ATF3	activating transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:785]	413	2.41987943649292	0.3237982	Yes	
row_19	JUNB	JunB proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6205]	443	2.3495006561279297	0.33685955	Yes	
row_20	FOXD3	forkhead box D3 [Source:HGNC Symbol;Acc:HGNC:3804]	446	2.3457016944885254	0.35059625	Yes	
row_21	CCL4	C-C motif chemokine ligand 4 [Source:HGNC Symbol;Acc:HGNC:10630]	544	2.326512575149536	0.36176527	Yes	
row_22	KDM6B	lysine demethylase 6B [Source:HGNC Symbol;Acc:HGNC:29012]	713	2.21952748298645	0.37047067	Yes	
row_23	BCL3	BCL3 transcription coactivator [Source:HGNC Symbol;Acc:HGNC:998]	714	2.2152957916259766	0.3834925	Yes	
row_24	BBC3	BCL2 binding component 3 [Source:HGNC Symbol;Acc:HGNC:17868]	759	2.1349236965179443	0.3949049	Yes	
row_25	PER1	period circadian regulator 1 [Source:HGNC Symbol;Acc:HGNC:8845]	787	2.089948892593384	0.40649223	Yes	
row_26	ZC3H12A	zinc finger CCCH-type containing 12A [Source:HGNC Symbol;Acc:HGNC:26259]	788	2.0862722396850586	0.41875565	Yes	
row_27	HLA-B	major histocompatibility complex, class I, B [Source:HGNC Symbol;Acc:HGNC:4932]	789	2.0837268829345703	0.4310041	Yes	
row_28	BHLHE41	basic helix-loop-helix family member e41 [Source:HGNC Symbol;Acc:HGNC:16617]	804	2.0466365814208984	0.4426728	Yes	
row_29	NFKBIA	NFKB inhibitor alpha [Source:HGNC Symbol;Acc:HGNC:7797]	824	2.0255980491638184	0.45408857	Yes	
row_30	IRF7	interferon regulatory factor 7 [Source:HGNC Symbol;Acc:HGNC:6122]	914	1.9352343082427979	0.46316433	Yes	
row_31	CXCL3	C-X-C motif chemokine ligand 3 [Source:HGNC Symbol;Acc:HGNC:4604]	929	1.930860996246338	0.47415245	Yes	
row_32	SERTAD2	SERTA domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30784]	945	1.9057918787002563	0.48496735	Yes	
row_33	C1R	complement C1r [Source:HGNC Symbol;Acc:HGNC:1246]	1009	1.840549111366272	0.4941584	Yes	
row_34	RASD1	ras related dexamethasone induced 1 [Source:HGNC Symbol;Acc:HGNC:15828]	1062	1.779693365097046	0.50327593	Yes	
row_35	ZFP36	ZFP36 ring finger protein [Source:HGNC Symbol;Acc:HGNC:12862]	1063	1.7796516418457031	0.513737	Yes	
row_36	CIART	circadian associated repressor of transcription [Source:HGNC Symbol;Acc:HGNC:25200]	1074	1.7657191753387451	0.5238578	Yes	
row_37	NFKBIE	NFKB inhibitor epsilon [Source:HGNC Symbol;Acc:HGNC:7799]	1113	1.733412265777588	0.5330651	Yes	
row_38	FGA	fibrinogen alpha chain [Source:HGNC Symbol;Acc:HGNC:3661]	1121	1.7283916473388672	0.5430439	Yes	
row_39	CEMIP	cell migration inducing hyaluronidase 1 [Source:HGNC Symbol;Acc:HGNC:29213]	1250	1.6775166988372803	0.54959697	Yes	
row_40	NR4A3	nuclear receptor subfamily 4 group A member 3 [Source:HGNC Symbol;Acc:HGNC:7982]	1252	1.6751658916473389	0.559418	Yes	
row_41	NFKBIZ	NFKB inhibitor zeta [Source:HGNC Symbol;Acc:HGNC:29805]	1559	1.5132931470870972	0.56040597	Yes	
row_42	LBP	lipopolysaccharide binding protein [Source:HGNC Symbol;Acc:HGNC:6517]	1584	1.4989036321640015	0.5685966	Yes	
row_43	NR1D1	nuclear receptor subfamily 1 group D member 1 [Source:HGNC Symbol;Acc:HGNC:7962]	1635	1.4617161750793457	0.5758967	Yes	
row_44	NR4A1	nuclear receptor subfamily 4 group A member 1 [Source:HGNC Symbol;Acc:HGNC:7980]	1864	1.347725510597229	0.57792705	Yes	
row_45	ICAM5	intercellular adhesion molecule 5 [Source:HGNC Symbol;Acc:HGNC:5348]	1978	1.280862808227539	0.5825361	Yes	
row_46	IER2	immediate early response 2 [Source:HGNC Symbol;Acc:HGNC:28871]	1994	1.271584391593933	0.5896231	Yes	
row_47	NTNG2	netrin G2 [Source:HGNC Symbol;Acc:HGNC:14288]	2019	1.25816810131073	0.5963986	Yes	
row_48	IER3	immediate early response 3 [Source:HGNC Symbol;Acc:HGNC:5392]	2151	1.2237989902496338	0.6002071	Yes	
row_49	EFNA1	ephrin A1 [Source:HGNC Symbol;Acc:HGNC:3221]	2157	1.2216647863388062	0.607259	Yes	
row_50	ARRDC3	arrestin domain containing 3 [Source:HGNC Symbol;Acc:HGNC:29263]	2171	1.2147552967071533	0.61406356	Yes	
row_51	CCL20	C-C motif chemokine ligand 20 [Source:HGNC Symbol;Acc:HGNC:10619]	2197	1.2028003931045532	0.6204878	Yes	
row_52	PPP1R15A	protein phosphatase 1 regulatory subunit 15A [Source:HGNC Symbol;Acc:HGNC:14375]	2231	1.196176290512085	0.62666637	Yes	
row_53	ACAN	aggrecan [Source:HGNC Symbol;Acc:HGNC:319]	2275	1.1809009313583374	0.6324967	Yes	
row_54	FOS	Fos proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3796]	2462	1.1020448207855225	0.6341682	Yes	
row_55	FGB	fibrinogen beta chain [Source:HGNC Symbol;Acc:HGNC:3662]	2705	1.0401383638381958	0.6340288	Yes	
row_56	FGG	fibrinogen gamma chain [Source:HGNC Symbol;Acc:HGNC:3694]	2706	1.0401383638381958	0.64014286	Yes	
row_57	DBP	D-box binding PAR bZIP transcription factor [Source:HGNC Symbol;Acc:HGNC:2697]	2797	1.0202058553695679	0.6438141	Yes	
row_58	ACHE	acetylcholinesterase (Cartwright blood group) [Source:HGNC Symbol;Acc:HGNC:108]	2855	1.0027498006820679	0.64823544	Yes	
row_59	CREBRF	CREB3 regulatory factor [Source:HGNC Symbol;Acc:HGNC:24050]	2896	0.9874780774116516	0.6530064	Yes	
row_60	MAFF	MAF bZIP transcription factor F [Source:HGNC Symbol;Acc:HGNC:6780]	2931	0.9808887839317322	0.65789354	Yes	
row_61	AC020916.1	miR-23a/27a/24-2 cluster host gene [Source:HGNC Symbol;Acc:HGNC:27620]	3199	0.9179134368896484	0.6563896	Yes	
row_62	CLUHP3	clustered mitochondria homolog pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:28447]	3233	0.9090637564659119	0.6608805	Yes	
row_63	VGF	VGF nerve growth factor inducible [Source:HGNC Symbol;Acc:HGNC:12684]	3308	0.8959454894065857	0.66423476	Yes	
row_64	MALAT1	metastasis associated lung adenocarcinoma transcript 1 [Source:HGNC Symbol;Acc:HGNC:29665]	3367	0.8809993267059326	0.6679146	Yes	
row_65	ZNF57	zinc finger protein 57 [Source:HGNC Symbol;Acc:HGNC:13125]	3628	0.8256680965423584	0.6660493	Yes	
row_66	IRF1	interferon regulatory factor 1 [Source:HGNC Symbol;Acc:HGNC:6116]	3638	0.8239075541496277	0.6706598	Yes	
row_67	PPM1E	protein phosphatase, Mg2+/Mn2+ dependent 1E [Source:HGNC Symbol;Acc:HGNC:19322]	3652	0.8210123777389526	0.6751499	Yes	
row_68	FOSB	FosB proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3797]	3900	0.7695948481559753	0.6732909	Yes	
row_69	ZNF764	zinc finger protein 764 [Source:HGNC Symbol;Acc:HGNC:28200]	3941	0.7613577246665955	0.67673266	Yes	
row_70	LINC00472	long intergenic non-protein coding RNA 472 [Source:HGNC Symbol;Acc:HGNC:21380]	3996	0.7527369856834412	0.67976195	Yes	
row_71	ZBTB10	zinc finger and BTB domain containing 10 [Source:HGNC Symbol;Acc:HGNC:30953]	4039	0.7438145875930786	0.68304884	Yes	
row_72	KLF10	Kruppel like factor 10 [Source:HGNC Symbol;Acc:HGNC:11810]	4496	0.6702100038528442	0.67520493	Yes	
row_73	FGF18	fibroblast growth factor 18 [Source:HGNC Symbol;Acc:HGNC:3674]	4498	0.669887125492096	0.6791168	Yes	
row_74	NFIL3	nuclear factor, interleukin 3 regulated [Source:HGNC Symbol;Acc:HGNC:7787]	4569	0.6593371033668518	0.6811836	Yes	
row_75	DDIT3	DNA damage inducible transcript 3 [Source:HGNC Symbol;Acc:HGNC:2726]	4606	0.6545922756195068	0.6841011	Yes	
row_76	ZBTB43	zinc finger and BTB domain containing 43 [Source:HGNC Symbol;Acc:HGNC:17908]	4616	0.6530596017837524	0.6877073	Yes	
row_77	SNORA25	small nucleolar RNA, H/ACA box 25 [Source:HGNC Symbol;Acc:HGNC:32615]	4628	0.6518264412879944	0.69125456	Yes	
row_78	CD300LB	CD300 molecule like family member b [Source:HGNC Symbol;Acc:HGNC:30811]	4934	0.6103398203849792	0.6869607	No	
row_79	EGR2	early growth response 2 [Source:HGNC Symbol;Acc:HGNC:3239]	5287	0.6005497574806213	0.68139476	No	
row_80	SNORA3B	small nucleolar RNA, H/ACA box 3B [Source:HGNC Symbol;Acc:HGNC:32638]	5392	0.5879094004631042	0.6821631	No	
row_81	FST	follistatin [Source:HGNC Symbol;Acc:HGNC:3971]	5426	0.5865036845207214	0.6847579	No	
row_82	ZNF555	zinc finger protein 555 [Source:HGNC Symbol;Acc:HGNC:28382]	5432	0.5862534046173096	0.68807477	No	
row_83	NBEAP1	neurobeachin pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:1007]	7342	0.5303168296813965	0.6418613	No	
row_84	INO80D	INO80 complex subunit D [Source:HGNC Symbol;Acc:HGNC:25997]	7474	0.5265237092971802	0.64157116	No	
row_85	SNORA48	small nucleolar RNA, H/ACA box 48 [Source:HGNC Symbol;Acc:HGNC:32641]	7492	0.5236372351646423	0.64420986	No	
