NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CDH1	cadherin 1 [Source:HGNC Symbol;Acc:HGNC:1748]	1	4.70621395111084	0.027466387	Yes	
row_1	IRF6	interferon regulatory factor 6 [Source:HGNC Symbol;Acc:HGNC:6121]	2	4.569709300994873	0.05416117	Yes	
row_2	CDH3	cadherin 3 [Source:HGNC Symbol;Acc:HGNC:1762]	6	4.474906921386719	0.080224715	Yes	
row_3	C1orf116	chromosome 1 open reading frame 116 [Source:HGNC Symbol;Acc:HGNC:28667]	23	4.100795269012451	0.10376729	Yes	
row_4	FAM83B	family with sequence similarity 83 member B [Source:HGNC Symbol;Acc:HGNC:21357]	28	3.9998743534088135	0.12703004	Yes	
row_5	ST14	suppression of tumorigenicity 14 [Source:HGNC Symbol;Acc:HGNC:11344]	29	3.9902870655059814	0.15034002	Yes	
row_6	DMKN	dermokine [Source:HGNC Symbol;Acc:HGNC:25063]	43	3.884538173675537	0.17269672	Yes	
row_7	SLPI	secretory leukocyte peptidase inhibitor [Source:HGNC Symbol;Acc:HGNC:11092]	51	3.8677873611450195	0.19511044	Yes	
row_8	TRIM29	tripartite motif containing 29 [Source:HGNC Symbol;Acc:HGNC:17274]	55	3.792759418487549	0.21718909	Yes	
row_9	OVOL1	ovo like transcriptional repressor 1 [Source:HGNC Symbol;Acc:HGNC:8525]	62	3.760802745819092	0.23900364	Yes	
row_10	LCN2	lipocalin 2 [Source:HGNC Symbol;Acc:HGNC:6526]	65	3.7211103439331055	0.26068956	Yes	
row_11	SPINT1	serine peptidase inhibitor, Kunitz type 1 [Source:HGNC Symbol;Acc:HGNC:11246]	66	3.71763014793396	0.28240678	Yes	
row_12	MUC1	mucin 1, cell surface associated [Source:HGNC Symbol;Acc:HGNC:7508]	114	3.360279083251953	0.3008234	Yes	
row_13	S100P	S100 calcium binding protein P [Source:HGNC Symbol;Acc:HGNC:10504]	132	3.2342941761016846	0.31927833	Yes	
row_14	SH2D3A	SH2 domain containing 3A [Source:HGNC Symbol;Acc:HGNC:16885]	177	3.175079584121704	0.3366905	Yes	
row_15	MAL2	mal, T cell differentiation protein 2 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:13634]	181	3.1520049571990967	0.35502607	Yes	
row_16	KIAA0040	KIAA0040 [Source:HGNC Symbol;Acc:HGNC:28950]	186	3.1313068866729736	0.37321493	Yes	
row_17	PKP3	plakophilin 3 [Source:HGNC Symbol;Acc:HGNC:9025]	192	3.106569290161133	0.39123347	Yes	
row_18	ZNF165	zinc finger protein 165 [Source:HGNC Symbol;Acc:HGNC:12953]	205	3.0216147899627686	0.40857506	Yes	
row_19	MACC1	MET transcriptional regulator MACC1 [Source:HGNC Symbol;Acc:HGNC:30215]	214	2.9848029613494873	0.42580485	Yes	
row_20	MARVELD2	MARVEL domain containing 2 [Source:HGNC Symbol;Acc:HGNC:26401]	221	2.9428086280822754	0.44284093	Yes	
row_21	ESRP2	epithelial splicing regulatory protein 2 [Source:HGNC Symbol;Acc:HGNC:26152]	255	2.8373777866363525	0.45856425	Yes	
row_22	GRAMD2A	GRAM domain containing 2A [Source:HGNC Symbol;Acc:HGNC:27287]	258	2.819343090057373	0.47498235	Yes	
row_23	F11R	F11 receptor [Source:HGNC Symbol;Acc:HGNC:14685]	331	2.5777080059051514	0.4881822	Yes	
row_24	GJB3	gap junction protein beta 3 [Source:HGNC Symbol;Acc:HGNC:4285]	334	2.5676097869873047	0.5031297	Yes	
row_25	RNF43	ring finger protein 43 [Source:HGNC Symbol;Acc:HGNC:18505]	432	2.3790998458862305	0.5145241	Yes	
row_26	KRT15	keratin 15 [Source:HGNC Symbol;Acc:HGNC:6421]	450	2.3336586952209473	0.5277178	Yes	
row_27	DUSP16	dual specificity phosphatase 16 [Source:HGNC Symbol;Acc:HGNC:17909]	744	2.1606147289276123	0.5327772	Yes	
row_28	PDZK1IP1	PDZK1 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:16887]	773	2.1104042530059814	0.5443828	Yes	
row_29	KIAA1522	KIAA1522 [Source:HGNC Symbol;Acc:HGNC:29301]	776	2.105084180831909	0.5566284	Yes	
row_30	C6orf132	chromosome 6 open reading frame 132 [Source:HGNC Symbol;Acc:HGNC:21288]	781	2.0992162227630615	0.5687881	Yes	
row_31	TC2N	tandem C2 domains, nuclear [Source:HGNC Symbol;Acc:HGNC:19859]	802	2.0526092052459717	0.5802626	Yes	
row_32	PRSS8	serine protease 8 [Source:HGNC Symbol;Acc:HGNC:9491]	876	1.9654691219329834	0.58986014	Yes	
row_33	RHOD	ras homolog family member D [Source:HGNC Symbol;Acc:HGNC:670]	937	1.915128231048584	0.5994991	Yes	
row_34	MPZL3	myelin protein zero like 3 [Source:HGNC Symbol;Acc:HGNC:27279]	1014	1.833523154258728	0.6082485	Yes	
row_35	OVOL2	ovo like zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:15804]	1042	1.8021001815795898	0.6180789	Yes	
row_36	RTKN	rhotekin [Source:HGNC Symbol;Acc:HGNC:10466]	1060	1.7802469730377197	0.6280397	Yes	
row_37	ZFP36	ZFP36 ring finger protein [Source:HGNC Symbol;Acc:HGNC:12862]	1063	1.7796516418457031	0.6383843	Yes	
row_38	CD24P4	CD24 molecule pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:1649]	1139	1.7076992988586426	0.64642435	Yes	
row_39	PTPN6	protein tyrosine phosphatase non-receptor type 6 [Source:HGNC Symbol;Acc:HGNC:9658]	1279	1.6621217727661133	0.6525464	Yes	
row_40	STEAP4	STEAP4 metalloreductase [Source:HGNC Symbol;Acc:HGNC:21923]	1371	1.5871020555496216	0.65946907	Yes	
row_41	GRHL2	grainyhead like transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:2799]	1588	1.4962091445922852	0.6626345	Yes	
row_42	ELF3	E74 like ETS transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:3318]	1593	1.4918872117996216	0.6712464	Yes	
row_43	SSH3	slingshot protein phosphatase 3 [Source:HGNC Symbol;Acc:HGNC:30581]	1600	1.4862295389175415	0.6797736	Yes	
row_44	SCNN1A	sodium channel epithelial 1 subunit alpha [Source:HGNC Symbol;Acc:HGNC:10599]	1621	1.475090742111206	0.68787444	Yes	
row_45	SPINT1-AS1	SPINT1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:53162]	1629	1.4658243656158447	0.69625664	Yes	
row_46	BSPRY	B-box and SPRY domain containing [Source:HGNC Symbol;Acc:HGNC:18232]	1631	1.4657328128814697	0.70479316	Yes	
row_47	KCNK1	potassium two pore domain channel subfamily K member 1 [Source:HGNC Symbol;Acc:HGNC:6272]	1651	1.4516775608062744	0.71278304	Yes	
row_48	CBLC	Cbl proto-oncogene C [Source:HGNC Symbol;Acc:HGNC:15961]	1656	1.4497121572494507	0.72114855	Yes	
row_49	ENTPD2	ectonucleoside triphosphate diphosphohydrolase 2 [Source:HGNC Symbol;Acc:HGNC:3364]	1679	1.4443198442459106	0.729018	Yes	
row_50	FGFBP1	fibroblast growth factor binding protein 1 [Source:HGNC Symbol;Acc:HGNC:19695]	1723	1.4192068576812744	0.7361987	Yes	
row_51	S100A14	S100 calcium binding protein A14 [Source:HGNC Symbol;Acc:HGNC:18901]	1904	1.3231334686279297	0.73928225	Yes	
row_52	ELMO3	engulfment and cell motility 3 [Source:HGNC Symbol;Acc:HGNC:17289]	1977	1.2817776203155518	0.74491173	Yes	
row_53	GSN	gelsolin [Source:HGNC Symbol;Acc:HGNC:4620]	2126	1.2330058813095093	0.7482947	Yes	
row_54	HOOK2	hook microtubule tethering protein 2 [Source:HGNC Symbol;Acc:HGNC:19885]	2152	1.222556233406067	0.7547912	Yes	
row_55	ITGB6	integrin subunit beta 6 [Source:HGNC Symbol;Acc:HGNC:6161]	2323	1.1661657094955444	0.7572159	Yes	
row_56	PPL	periplakin [Source:HGNC Symbol;Acc:HGNC:9273]	2424	1.1192834377288818	0.7611734	Yes	
row_57	TMEM30B	transmembrane protein 30B [Source:HGNC Symbol;Acc:HGNC:27254]	2480	1.0982284545898438	0.7661694	Yes	
row_58	SPINT2	serine peptidase inhibitor, Kunitz type 2 [Source:HGNC Symbol;Acc:HGNC:11247]	2644	1.0569425821304321	0.76813674	Yes	
row_59	PRRG4	proline rich and Gla domain 4 [Source:HGNC Symbol;Acc:HGNC:30799]	2671	1.049170970916748	0.7735946	Yes	
row_60	CKMT1B	creatine kinase, mitochondrial 1B [Source:HGNC Symbol;Acc:HGNC:1995]	2711	1.0401383638381958	0.7786642	Yes	
row_61	LAD1	ladinin 1 [Source:HGNC Symbol;Acc:HGNC:6472]	2761	1.0271681547164917	0.7833999	Yes	
row_62	KRT16	keratin 16 [Source:HGNC Symbol;Acc:HGNC:6423]	2992	0.9652894139289856	0.7831026	Yes	
row_63	TSC22D3	TSC22 domain family member 3 [Source:HGNC Symbol;Acc:HGNC:3051]	3208	0.9150366187095642	0.7828988	Yes	
row_64	TACSTD2	tumor associated calcium signal transducer 2 [Source:HGNC Symbol;Acc:HGNC:11530]	3312	0.895685613155365	0.7854727	Yes	
