NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CDH1	cadherin 1 [Source:HGNC Symbol;Acc:HGNC:1748]	1	4.70621395111084	0.010473006	Yes	
row_1	IRF6	interferon regulatory factor 6 [Source:HGNC Symbol;Acc:HGNC:6121]	2	4.569709300994873	0.020667518	Yes	
row_2	CDH3	cadherin 3 [Source:HGNC Symbol;Acc:HGNC:1762]	6	4.474906921386719	0.030572444	Yes	
row_3	EPPK1	epiplakin 1 [Source:HGNC Symbol;Acc:HGNC:15577]	8	4.448622226715088	0.040470794	Yes	
row_4	FA2H	fatty acid 2-hydroxylase [Source:HGNC Symbol;Acc:HGNC:21197]	12	4.394401550292969	0.050196122	Yes	
row_5	ST14	suppression of tumorigenicity 14 [Source:HGNC Symbol;Acc:HGNC:11344]	29	3.9902870655059814	0.058681525	Yes	
row_6	OVOL1	ovo like transcriptional repressor 1 [Source:HGNC Symbol;Acc:HGNC:8525]	62	3.760802745819092	0.06623849	Yes	
row_7	RAB11FIP4	RAB11 family interacting protein 4 [Source:HGNC Symbol;Acc:HGNC:30267]	64	3.75430965423584	0.074587904	Yes	
row_8	SPINT1	serine peptidase inhibitor, Kunitz type 1 [Source:HGNC Symbol;Acc:HGNC:11246]	66	3.71763014793396	0.08285549	Yes	
row_9	FAM83H	family with sequence similarity 83 member H [Source:HGNC Symbol;Acc:HGNC:24797]	91	3.574972152709961	0.09020613	Yes	
row_10	SMPDL3B	sphingomyelin phosphodiesterase acid like 3B [Source:HGNC Symbol;Acc:HGNC:21416]	96	3.5455594062805176	0.098011754	Yes	
row_11	CGN	cingulin [Source:HGNC Symbol;Acc:HGNC:17429]	106	3.415773630142212	0.105397694	Yes	
row_12	MUC1	mucin 1, cell surface associated [Source:HGNC Symbol;Acc:HGNC:7508]	114	3.360279083251953	0.11271189	Yes	
row_13	CEBPA	CCAAT enhancer binding protein alpha [Source:HGNC Symbol;Acc:HGNC:1833]	122	3.3112552165985107	0.11991672	Yes	
row_14	S100P	S100 calcium binding protein P [Source:HGNC Symbol;Acc:HGNC:10504]	132	3.2342941761016846	0.1268978	Yes	
row_15	CAPN8	calpain 8 [Source:HGNC Symbol;Acc:HGNC:1485]	135	3.226564884185791	0.13404384	Yes	
row_16	SH2D3A	SH2 domain containing 3A [Source:HGNC Symbol;Acc:HGNC:16885]	177	3.175079584121704	0.14005986	Yes	
row_17	MAL2	mal, T cell differentiation protein 2 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:13634]	181	3.1520049571990967	0.14701353	Yes	
row_18	CACNG4	calcium voltage-gated channel auxiliary subunit gamma 4 [Source:HGNC Symbol;Acc:HGNC:1408]	184	3.138996124267578	0.15396422	Yes	
row_19	KIAA0040	KIAA0040 [Source:HGNC Symbol;Acc:HGNC:28950]	186	3.1313068866729736	0.1609238	Yes	
row_20	PKP3	plakophilin 3 [Source:HGNC Symbol;Acc:HGNC:9025]	192	3.106569290161133	0.16772404	Yes	
row_21	ENPP5	ectonucleotide pyrophosphatase/phosphodiesterase family member 5 [Source:HGNC Symbol;Acc:HGNC:13717]	202	3.046679735183716	0.17428657	Yes	
row_22	ZNF165	zinc finger protein 165 [Source:HGNC Symbol;Acc:HGNC:12953]	205	3.0216147899627686	0.1809754	Yes	
row_23	MACC1	MET transcriptional regulator MACC1 [Source:HGNC Symbol;Acc:HGNC:30215]	214	2.9848029613494873	0.18742593	Yes	
row_24	RHOB	ras homolog family member B [Source:HGNC Symbol;Acc:HGNC:668]	216	2.980046033859253	0.19404805	Yes	
row_25	MARVELD2	MARVEL domain containing 2 [Source:HGNC Symbol;Acc:HGNC:26401]	221	2.9428086280822754	0.200509	Yes	
row_26	CAMSAP3	calmodulin regulated spectrin associated protein family member 3 [Source:HGNC Symbol;Acc:HGNC:29307]	234	2.9261629581451416	0.20672458	Yes	
row_27	RAB17	RAB17, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:16523]	252	2.8579442501068115	0.21265782	Yes	
row_28	ESRP2	epithelial splicing regulatory protein 2 [Source:HGNC Symbol;Acc:HGNC:26152]	255	2.8373777866363525	0.21893564	Yes	
row_29	MAP7	microtubule associated protein 7 [Source:HGNC Symbol;Acc:HGNC:6869]	261	2.8048722743988037	0.22506285	Yes	
row_30	LMTK3	lemur tyrosine kinase 3 [Source:HGNC Symbol;Acc:HGNC:19295]	281	2.7415716648101807	0.23068441	Yes	
row_31	ERBB3	erb-b2 receptor tyrosine kinase 3 [Source:HGNC Symbol;Acc:HGNC:3431]	288	2.7168006896972656	0.2365891	Yes	
row_32	LSR	lipolysis stimulated lipoprotein receptor [Source:HGNC Symbol;Acc:HGNC:29572]	298	2.675140857696533	0.24232277	Yes	
row_33	USP18	ubiquitin specific peptidase 18 [Source:HGNC Symbol;Acc:HGNC:12616]	300	2.6715712547302246	0.24825673	Yes	
row_34	SIDT1	SID1 transmembrane family member 1 [Source:HGNC Symbol;Acc:HGNC:25967]	314	2.6228013038635254	0.25376952	Yes	
row_35	PPM1H	protein phosphatase, Mg2+/Mn2+ dependent 1H [Source:HGNC Symbol;Acc:HGNC:18583]	319	2.6076815128326416	0.25948283	Yes	
row_36	GRHL1	grainyhead like transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:17923]	321	2.6009609699249268	0.26525927	Yes	
