NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CDH1	cadherin 1 [Source:HGNC Symbol;Acc:HGNC:1748]	1	4.70621395111084	0.01745827	Yes	
row_1	IRF6	interferon regulatory factor 6 [Source:HGNC Symbol;Acc:HGNC:6121]	2	4.569709300994873	0.034435287	Yes	
row_2	CDH3	cadherin 3 [Source:HGNC Symbol;Acc:HGNC:1762]	6	4.474906921386719	0.050982464	Yes	
row_3	EPPK1	epiplakin 1 [Source:HGNC Symbol;Acc:HGNC:15577]	8	4.448622226715088	0.067483746	Yes	
row_4	DAPP1	dual adaptor of phosphotyrosine and 3-phosphoinositides 1 [Source:HGNC Symbol;Acc:HGNC:16500]	15	4.247020244598389	0.08310666	Yes	
row_5	C1orf116	chromosome 1 open reading frame 116 [Source:HGNC Symbol;Acc:HGNC:28667]	23	4.100795269012451	0.098160446	Yes	
row_6	MPZL2	myelin protein zero like 2 [Source:HGNC Symbol;Acc:HGNC:3496]	24	4.0548295974731445	0.113224626	Yes	
row_7	ST14	suppression of tumorigenicity 14 [Source:HGNC Symbol;Acc:HGNC:11344]	29	3.9902870655059814	0.1279455	Yes	
row_8	LRG1	leucine rich alpha-2-glycoprotein 1 [Source:HGNC Symbol;Acc:HGNC:29480]	40	3.9245924949645996	0.14226703	Yes	
row_9	OVOL1	ovo like transcriptional repressor 1 [Source:HGNC Symbol;Acc:HGNC:8525]	62	3.760802745819092	0.15569538	Yes	
row_10	RAB11FIP4	RAB11 family interacting protein 4 [Source:HGNC Symbol;Acc:HGNC:30267]	64	3.75430965423584	0.16961722	Yes	
row_11	SPINT1	serine peptidase inhibitor, Kunitz type 1 [Source:HGNC Symbol;Acc:HGNC:11246]	66	3.71763014793396	0.18340278	Yes	
row_12	SMPDL3B	sphingomyelin phosphodiesterase acid like 3B [Source:HGNC Symbol;Acc:HGNC:21416]	96	3.5455594062805176	0.19582444	Yes	
row_13	CGN	cingulin [Source:HGNC Symbol;Acc:HGNC:17429]	106	3.415773630142212	0.20828153	Yes	
row_14	B3GNT3	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:13528]	131	3.236933946609497	0.219686	Yes	
row_15	CAPN8	calpain 8 [Source:HGNC Symbol;Acc:HGNC:1485]	135	3.226564884185791	0.23159544	Yes	
