NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CCN5	cellular communication network factor 5 [Source:HGNC Symbol;Acc:HGNC:12770]	203	3.036452531814575	0.005624607	No	
row_1	PKIB	cAMP-dependent protein kinase inhibitor beta [Source:HGNC Symbol;Acc:HGNC:9018]	312	2.6429443359375	0.012302427	No	
row_2	TPD52L1	TPD52 like 1 [Source:HGNC Symbol;Acc:HGNC:12006]	735	2.16929292678833	0.0091350265	No	
row_3	AREG	amphiregulin [Source:HGNC Symbol;Acc:HGNC:651]	1067	1.7760224342346191	0.0069179167	No	
row_4	TFF1	trefoil factor 1 [Source:HGNC Symbol;Acc:HGNC:11755]	1294	1.6448262929916382	0.00695432	No	
row_5	RERG	RAS like estrogen regulated growth inhibitor [Source:HGNC Symbol;Acc:HGNC:15980]	1295	1.6447497606277466	0.012853725	No	
row_6	SEMA3B	semaphorin 3B [Source:HGNC Symbol;Acc:HGNC:10724]	1302	1.6435071229934692	0.018593011	No	
row_7	CA12	carbonic anhydrase 12 [Source:HGNC Symbol;Acc:HGNC:1371]	1827	1.3711222410202026	0.009916467	No	
row_8	KCNK5	potassium two pore domain channel subfamily K member 5 [Source:HGNC Symbol;Acc:HGNC:6280]	1980	1.2796567678451538	0.01056291	No	
row_9	NPY1R	neuropeptide Y receptor Y1 [Source:HGNC Symbol;Acc:HGNC:7956]	2329	1.1606701612472534	0.0056976047	No	
row_10	FREM2	FRAS1 related extracellular matrix 2 [Source:HGNC Symbol;Acc:HGNC:25396]	2471	1.100679874420166	0.005987473	No	
row_11	STC1	stanniocalcin 1 [Source:HGNC Symbol;Acc:HGNC:11373]	2852	1.0045888423919678	-2.678646E-4	No	
row_12	JPH1	junctophilin 1 [Source:HGNC Symbol;Acc:HGNC:14201]	2873	0.997721254825592	0.002791898	No	
row_13	CTSD	cathepsin D [Source:HGNC Symbol;Acc:HGNC:2529]	2887	0.9910226464271545	0.00600924	No	
row_14	CELSR2	cadherin EGF LAG seven-pass G-type receptor 2 [Source:HGNC Symbol;Acc:HGNC:3231]	2999	0.9650013446807861	0.006590766	No	
row_15	NRIP1	nuclear receptor interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:8001]	3378	0.8786275386810303	-6.448345E-5	No	
row_16	XBP1	X-box binding protein 1 [Source:HGNC Symbol;Acc:HGNC:12801]	3416	0.8713420629501343	0.0021009382	No	
row_17	MICB	MHC class I polypeptide-related sequence B [Source:HGNC Symbol;Acc:HGNC:7091]	3563	0.8391423225402832	0.0013230018	No	
row_18	H19	H19 imprinted maternally expressed transcript [Source:HGNC Symbol;Acc:HGNC:4713]	3684	0.8134900331497192	0.0011275918	No	
row_19	COLGALT1	collagen beta(1-O)galactosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:26182]	3802	0.7870236039161682	9.1508287E-4	No	
row_20	TST	thiosulfate sulfurtransferase [Source:HGNC Symbol;Acc:HGNC:12388]	4088	0.7349013686180115	-0.0038429205	No	
row_21	TMEM120B	transmembrane protein 120B [Source:HGNC Symbol;Acc:HGNC:32008]	4151	0.7232962846755981	-0.0028571037	No	
row_22	KRT13	keratin 13 [Source:HGNC Symbol;Acc:HGNC:6415]	4190	0.7171765565872192	-0.0012705884	No	
row_23	ABHD2	abhydrolase domain containing 2, acylglycerol lipase [Source:HGNC Symbol;Acc:HGNC:18717]	4559	0.6619517803192139	-0.008443575	No	
row_24	CXCL12	C-X-C motif chemokine ligand 12 [Source:HGNC Symbol;Acc:HGNC:10672]	4590	0.6551695466041565	-0.0068719178	No	
row_25	AMZ1	archaelysin family metallopeptidase 1 [Source:HGNC Symbol;Acc:HGNC:22231]	4649	0.648428201675415	-0.0060508633	No	
row_26	SLC27A2	solute carrier family 27 member 2 [Source:HGNC Symbol;Acc:HGNC:10996]	4785	0.6321513652801514	-0.007285856	No	
row_27	TMEM164	transmembrane protein 164 [Source:HGNC Symbol;Acc:HGNC:26217]	5349	0.5923576354980469	-0.019767486	No	
row_28	SLC22A5	solute carrier family 22 member 5 [Source:HGNC Symbol;Acc:HGNC:10969]	5423	0.5869146585464478	-0.019556224	No	
row_29	MAN1A1	mannosidase alpha class 1A member 1 [Source:HGNC Symbol;Acc:HGNC:6821]	5773	0.545018196105957	-0.0266557	No	
row_30	MAP6D1	MAP6 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25753]	7303	0.5303168296813965	-0.064421475	No	
row_31	PPIF	peptidylprolyl isomerase F [Source:HGNC Symbol;Acc:HGNC:9259]	7436	0.5285114049911499	-0.06595037	No	
