NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LUM	lumican [Source:HGNC Symbol;Acc:HGNC:6724]	829	2.0139338970184326	-0.011343811	No	
row_1	IL32	interleukin 32 [Source:HGNC Symbol;Acc:HGNC:16830]	978	1.865371823310852	-0.005824991	No	
row_2	DUSP10	dual specificity phosphatase 10 [Source:HGNC Symbol;Acc:HGNC:3065]	1411	1.5517734289169312	-0.009219936	No	
row_3	LDLR	low density lipoprotein receptor [Source:HGNC Symbol;Acc:HGNC:6547]	2353	1.1502772569656372	-0.027786264	No	
row_4	ANO5	anoctamin 5 [Source:HGNC Symbol;Acc:HGNC:27337]	3131	0.9313449859619141	-0.04320928	No	
row_5	TGIF1	TGFB induced factor homeobox 1 [Source:HGNC Symbol;Acc:HGNC:11776]	4557	0.6623343825340271	-0.076733716	No	
row_6	APOD	apolipoprotein D [Source:HGNC Symbol;Acc:HGNC:612]	5416	0.5872543454170227	-0.095974796	No	
row_7	ITM2A	integral membrane protein 2A [Source:HGNC Symbol;Acc:HGNC:6173]	5858	0.5368697047233582	-0.104686975	No	
row_8	PDGFD	platelet derived growth factor D [Source:HGNC Symbol;Acc:HGNC:30620]	6621	0.5332615375518799	-0.12171652	No	
row_9	HBA1	hemoglobin subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:4823]	7221	0.5303168296813965	-0.13454655	No	
row_10	TFPI	tissue factor pathway inhibitor [Source:HGNC Symbol;Acc:HGNC:11760]	8224	0.44999343156814575	-0.15819833	No	
row_11	GRIN2A	glutamate ionotropic receptor NMDA type subunit 2A [Source:HGNC Symbol;Acc:HGNC:4585]	8409	0.4315702021121979	-0.16079344	No	
row_12	SLC35G2	solute carrier family 35 member G2 [Source:HGNC Symbol;Acc:HGNC:28480]	8545	0.41418710350990295	-0.16220877	No	
row_13	TMEM47	transmembrane protein 47 [Source:HGNC Symbol;Acc:HGNC:18515]	8769	0.38985779881477356	-0.16602118	No	
row_14	NID1	nidogen 1 [Source:HGNC Symbol;Acc:HGNC:7821]	9789	0.30708783864974976	-0.19082844	No	
row_15	EXPH5	exophilin 5 [Source:HGNC Symbol;Acc:HGNC:30578]	10281	0.2621714472770691	-0.20220955	No	
row_16	CHEK2	checkpoint kinase 2 [Source:HGNC Symbol;Acc:HGNC:16627]	10509	0.24369069933891296	-0.20685765	No	
row_17	PRELP	proline and arginine rich end leucine rich repeat protein [Source:HGNC Symbol;Acc:HGNC:9357]	12550	0.09981831908226013	-0.25910074	No	
row_18	VCAM1	vascular cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:12663]	12599	0.09657423943281174	-0.25985792	No	
row_19	SULT1C4	sulfotransferase family 1C member 4 [Source:HGNC Symbol;Acc:HGNC:11457]	12734	0.08550229668617249	-0.26289406	No	
row_20	SPARC	secreted protein acidic and cysteine rich [Source:HGNC Symbol;Acc:HGNC:11219]	12930	0.07057442516088486	-0.26758212	No	
row_21	C21orf62	chromosome 21 open reading frame 62 [Source:HGNC Symbol;Acc:HGNC:1305]	13202	0.04947443678975105	-0.27434084	No	
row_22	PCDH11X	protocadherin 11 X-linked [Source:HGNC Symbol;Acc:HGNC:8656]	14637	0.0	-0.31141618	No	
row_23	HBA2	hemoglobin subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:4824]	22878	0.0	-0.5244572	No	
row_24	HBG1	hemoglobin subunit gamma 1 [Source:HGNC Symbol;Acc:HGNC:4831]	22913	0.0	-0.52533627	No	
