NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HGF	hepatocyte growth factor [Source:HGNC Symbol;Acc:HGNC:4893]	934	1.917211651802063	-0.011725748	No	
row_1	SERPINB2	serpin family B member 2 [Source:HGNC Symbol;Acc:HGNC:8584]	1031	1.814788579940796	-0.0024522315	No	
row_2	HPGDS	hematopoietic prostaglandin D synthase [Source:HGNC Symbol;Acc:HGNC:17890]	1589	1.4956202507019043	-0.0071631763	No	
row_3	AQP3	aquaporin 3 (Gill blood group) [Source:HGNC Symbol;Acc:HGNC:636]	1870	1.3452612161636353	-0.0056874775	No	
row_4	RHAG	Rh associated glycoprotein [Source:HGNC Symbol;Acc:HGNC:10006]	3247	0.9063770174980164	-0.03538675	No	
row_5	ITGA2B	integrin subunit alpha 2b [Source:HGNC Symbol;Acc:HGNC:6138]	3857	0.7787756323814392	-0.046085227	No	
row_6	TST	thiosulfate sulfurtransferase [Source:HGNC Symbol;Acc:HGNC:12388]	4088	0.7349013686180115	-0.047270566	No	
row_7	PF4	platelet factor 4 [Source:HGNC Symbol;Acc:HGNC:8861]	4622	0.6527089476585388	-0.056820996	No	
row_8	KLF1	Kruppel like factor 1 [Source:HGNC Symbol;Acc:HGNC:6345]	4967	0.6103398203849792	-0.06176013	No	
row_9	CST7	cystatin F [Source:HGNC Symbol;Acc:HGNC:2479]	5619	0.5621132850646973	-0.074947745	No	
row_10	HBD	hemoglobin subunit delta [Source:HGNC Symbol;Acc:HGNC:4829]	6711	0.5303168296813965	-0.09971553	No	
row_11	HDC	histidine decarboxylase [Source:HGNC Symbol;Acc:HGNC:4855]	6714	0.5303168296813965	-0.09633214	No	
row_12	PPIF	peptidylprolyl isomerase F [Source:HGNC Symbol;Acc:HGNC:9259]	7436	0.5285114049911499	-0.11154694	No	
row_13	CD36	CD36 molecule [Source:HGNC Symbol;Acc:HGNC:1663]	8017	0.4705581068992615	-0.12349222	No	
row_14	AMMECR1	AMMECR nuclear protein 1 [Source:HGNC Symbol;Acc:HGNC:467]	9396	0.33444175124168396	-0.15694785	No	
row_15	STK39	serine/threonine kinase 39 [Source:HGNC Symbol;Acc:HGNC:17717]	10269	0.26340141892433167	-0.17778331	No	
row_16	RAB31	RAB31, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9771]	10691	0.22977831959724426	-0.18717799	No	
row_17	LEPR	leptin receptor [Source:HGNC Symbol;Acc:HGNC:6554]	10694	0.22961997985839844	-0.18574235	No	
row_18	PIEZO2	piezo type mechanosensitive ion channel component 2 [Source:HGNC Symbol;Acc:HGNC:26270]	11907	0.14232058823108673	-0.21615125	No	
row_19	MINPP1	multiple inositol-polyphosphate phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:7102]	11931	0.13971370458602905	-0.21584083	No	
row_20	GSPT1	G1 to S phase transition 1 [Source:HGNC Symbol;Acc:HGNC:4621]	12333	0.1152922585606575	-0.22546008	No	
row_21	TFR2	transferrin receptor 2 [Source:HGNC Symbol;Acc:HGNC:11762]	12796	0.08017615973949432	-0.23688367	No	
row_22	CCNE1	cyclin E1 [Source:HGNC Symbol;Acc:HGNC:1589]	12828	0.07741270214319229	-0.2371836	No	
row_23	ELP5	elongator acetyltransferase complex subunit 5 [Source:HGNC Symbol;Acc:HGNC:30617]	12890	0.07400505244731903	-0.23828112	No	
row_24	PDLIM1	PDZ and LIM domain 1 [Source:HGNC Symbol;Acc:HGNC:2067]	13046	0.06181258708238602	-0.24188755	No	
row_25	MICAL2	microtubule associated monooxygenase, calponin and LIM domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24693]	13051	0.06111044064164162	-0.24159512	No	
row_26	SAC3D1	SAC3 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30179]	13217	0.048467814922332764	-0.24554649	No	
row_27	CLC	Charcot-Leyden crystal galectin [Source:HGNC Symbol;Acc:HGNC:2014]	14005	0.0	-0.26589084	No	
row_28	HBB	hemoglobin subunit beta [Source:HGNC Symbol;Acc:HGNC:4827]	14845	0.0	-0.2875794	No	
row_29	LAT	linker for activation of T cells [Source:HGNC Symbol;Acc:HGNC:18874]	15547	0.0	-0.30570057	No	
row_30	MPO	myeloperoxidase [Source:HGNC Symbol;Acc:HGNC:7218]	15863	0.0	-0.31384346	No	
row_31	ZNF593	zinc finger protein 593 [Source:HGNC Symbol;Acc:HGNC:30943]	19281	0.0	-0.40217456	No	
row_32	PPBP	pro-platelet basic protein [Source:HGNC Symbol;Acc:HGNC:9240]	20975	0.0	-0.44593942	No	
row_33	MS4A3	membrane spanning 4-domains A3 [Source:HGNC Symbol;Acc:HGNC:7317]	21033	0.0	-0.4474129	No	
row_34	TPSAB1	tryptase alpha/beta 1 [Source:HGNC Symbol;Acc:HGNC:12019]	22310	0.0	-0.48039812	No	
row_35	CSTA	cystatin A [Source:HGNC Symbol;Acc:HGNC:2481]	22657	0.0	-0.4893424	No	
row_36	HBG1	hemoglobin subunit gamma 1 [Source:HGNC Symbol;Acc:HGNC:4831]	22913	0.0	-0.49593425	No	
row_37	ACOT7	acyl-CoA thioesterase 7 [Source:HGNC Symbol;Acc:HGNC:24157]	26191	-0.0022202851250767708	-0.5806319	No	
row_38	PRDX2	peroxiredoxin 2 [Source:HGNC Symbol;Acc:HGNC:9353]	26353	-0.013731507584452629	-0.5847049	No	
row_39	SLC25A13	solute carrier family 25 member 13 [Source:HGNC Symbol;Acc:HGNC:10983]	26362	-0.01504376158118248	-0.58481425	No	
row_40	SNRNP25	small nuclear ribonucleoprotein U11/U12 subunit 25 [Source:HGNC Symbol;Acc:HGNC:14161]	26885	-0.05315522104501724	-0.59796387	No	
row_41	MRPS15	mitochondrial ribosomal protein S15 [Source:HGNC Symbol;Acc:HGNC:14504]	27218	-0.07733061164617538	-0.6060453	No	
row_42	ELOVL6	ELOVL fatty acid elongase 6 [Source:HGNC Symbol;Acc:HGNC:15829]	27562	-0.09343215823173523	-0.61430687	No	
row_43	LMNA	lamin A/C [Source:HGNC Symbol;Acc:HGNC:6636]	27623	-0.09907164424657822	-0.61521614	No	
row_44	CLEC11A	C-type lectin domain containing 11A [Source:HGNC Symbol;Acc:HGNC:10576]	27637	-0.09991682320833206	-0.614905	No	
row_45	APOBEC3B	apolipoprotein B mRNA editing enzyme catalytic subunit 3B [Source:HGNC Symbol;Acc:HGNC:17352]	28690	-0.14203548431396484	-0.6411797	No	
row_46	TUBB6	tubulin beta 6 class V [Source:HGNC Symbol;Acc:HGNC:20776]	29011	-0.16580204665660858	-0.64837784	No	
row_47	ATP5MC3	ATP synthase membrane subunit c locus 3 [Source:HGNC Symbol;Acc:HGNC:843]	29175	-0.17677408456802368	-0.65144646	No	
row_48	LRRC59	leucine rich repeat containing 59 [Source:HGNC Symbol;Acc:HGNC:28817]	29388	-0.19316323101520538	-0.65567553	No	
row_49	PMP22	peripheral myelin protein 22 [Source:HGNC Symbol;Acc:HGNC:9118]	29711	-0.21616648137569427	-0.6625992	No	
row_50	RNASE2	ribonuclease A family member 2 [Source:HGNC Symbol;Acc:HGNC:10045]	29840	-0.22577615082263947	-0.66444564	No	
row_51	CEP76	centrosomal protein 76 [Source:HGNC Symbol;Acc:HGNC:25727]	29910	-0.23155362904071808	-0.6647294	No	
row_52	MCM2	minichromosome maintenance complex component 2 [Source:HGNC Symbol;Acc:HGNC:6944]	30198	-0.2531726360321045	-0.6705086	No	
row_53	RMDN1	regulator of microtubule dynamics 1 [Source:HGNC Symbol;Acc:HGNC:24285]	30466	-0.27364981174468994	-0.67563814	No	
row_54	ABCD3	ATP binding cassette subfamily D member 3 [Source:HGNC Symbol;Acc:HGNC:67]	30495	-0.2763137221336365	-0.67457217	No	
row_55	SORD	sorbitol dehydrogenase [Source:HGNC Symbol;Acc:HGNC:11184]	30928	-0.31171944737434387	-0.6837204	No	
row_56	SAMM50	SAMM50 sorting and assembly machinery component [Source:HGNC Symbol;Acc:HGNC:24276]	31084	-0.32180607318878174	-0.6856428	No	
row_57	KLHL7	kelch like family member 7 [Source:HGNC Symbol;Acc:HGNC:15646]	31757	-0.3686315715312958	-0.7006265	No	
row_58	SYNCRIP	synaptotagmin binding cytoplasmic RNA interacting protein [Source:HGNC Symbol;Acc:HGNC:16918]	31877	-0.3803582191467285	-0.701239	No	
row_59	ACTN1	actinin alpha 1 [Source:HGNC Symbol;Acc:HGNC:163]	32187	-0.40979474782943726	-0.70657235	No	
row_60	CCL2	C-C motif chemokine ligand 2 [Source:HGNC Symbol;Acc:HGNC:10618]	32233	-0.4149048924446106	-0.7050481	No	
row_61	SLC7A5	solute carrier family 7 member 5 [Source:HGNC Symbol;Acc:HGNC:11063]	32254	-0.41628122329711914	-0.7028687	No	
row_62	SUCLA2	succinate-CoA ligase ADP-forming subunit beta [Source:HGNC Symbol;Acc:HGNC:11448]	32446	-0.43610692024230957	-0.70498127	No	
row_63	SFXN1	sideroflexin 1 [Source:HGNC Symbol;Acc:HGNC:16085]	32471	-0.4375403821468353	-0.70276755	No	
row_64	PRKAR2B	protein kinase cAMP-dependent type II regulatory subunit beta [Source:HGNC Symbol;Acc:HGNC:9392]	32535	-0.44292256236076355	-0.7015271	No	
row_65	SHMT2	serine hydroxymethyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:10852]	32865	-0.47397661209106445	-0.7069618	No	
row_66	RANBP1	RAN binding protein 1 [Source:HGNC Symbol;Acc:HGNC:9847]	32925	-0.4789979159832001	-0.7053843	No	
row_67	HSPA14	heat shock protein family A (Hsp70) member 14 [Source:HGNC Symbol;Acc:HGNC:29526]	32935	-0.4808350205421448	-0.70250237	No	
row_68	NUP85	nucleoporin 85 [Source:HGNC Symbol;Acc:HGNC:8734]	33145	-0.5032935738563538	-0.7046451	No	
row_69	PALM2AKAP2	PALM2 and AKAP2 fusion [Source:HGNC Symbol;Acc:HGNC:33529]	33356	-0.526299238204956	-0.7066646	No	
row_70	CPOX	coproporphyrinogen oxidase [Source:HGNC Symbol;Acc:HGNC:2321]	33362	-0.5272258520126343	-0.7033788	No	
row_71	H2AX	H2A.X variant histone [Source:HGNC Symbol;Acc:HGNC:4739]	33468	-0.5380247235298157	-0.7026081	No	
row_72	TPM1	tropomyosin 1 [Source:HGNC Symbol;Acc:HGNC:12010]	33473	-0.5380743741989136	-0.69922614	No	
row_73	FEN1	flap structure-specific endonuclease 1 [Source:HGNC Symbol;Acc:HGNC:3650]	33679	-0.5641337633132935	-0.70087135	No	
row_74	DNAJC12	DnaJ heat shock protein family (Hsp40) member C12 [Source:HGNC Symbol;Acc:HGNC:28908]	34003	-0.5653150081634521	-0.70555925	No	
row_75	NUDT1	nudix hydrolase 1 [Source:HGNC Symbol;Acc:HGNC:8048]	34070	-0.5667091608047485	-0.70359457	No	
row_76	COTL1	coactosin like F-actin binding protein 1 [Source:HGNC Symbol;Acc:HGNC:18304]	34108	-0.5706944465637207	-0.7008544	No	
row_77	PDSS1	decaprenyl diphosphate synthase subunit 1 [Source:HGNC Symbol;Acc:HGNC:17759]	34648	-0.5826104879379272	-0.71101403	No	
row_78	SUB1	SUB1 regulator of transcription [Source:HGNC Symbol;Acc:HGNC:19985]	34665	-0.5837205648422241	-0.7076466	No	
row_79	PROS1	protein S [Source:HGNC Symbol;Acc:HGNC:9456]	34724	-0.5910140872001648	-0.7053177	No	
row_80	NUDT4	nudix hydrolase 4 [Source:HGNC Symbol;Acc:HGNC:8051]	34835	-0.6064383387565613	-0.7042331	No	
row_81	RFC4	replication factor C subunit 4 [Source:HGNC Symbol;Acc:HGNC:9972]	35425	-0.6742445826530457	-0.71509165	Yes	
row_82	GINS2	GINS complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:24575]	35478	-0.6830977201461792	-0.71201116	Yes	
row_83	MELK	maternal embryonic leucine zipper kinase [Source:HGNC Symbol;Acc:HGNC:16870]	35519	-0.6880542635917664	-0.70858836	Yes	
row_84	HAT1	histone acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:4821]	35566	-0.6965914964675903	-0.70526534	Yes	
row_85	UBE2S	ubiquitin conjugating enzyme E2 S [Source:HGNC Symbol;Acc:HGNC:17895]	35623	-0.705321729183197	-0.7021443	Yes	
row_86	RNASEH2A	ribonuclease H2 subunit A [Source:HGNC Symbol;Acc:HGNC:18518]	35696	-0.7173439264297485	-0.699359	Yes	
row_87	EIF1AX	eukaryotic translation initiation factor 1A X-linked [Source:HGNC Symbol;Acc:HGNC:3250]	35703	-0.7182193994522095	-0.6948619	Yes	
row_88	MCM5	minichromosome maintenance complex component 5 [Source:HGNC Symbol;Acc:HGNC:6948]	35708	-0.7188507914543152	-0.690309	Yes	
row_89	PRDX4	peroxiredoxin 4 [Source:HGNC Symbol;Acc:HGNC:17169]	35710	-0.7189939618110657	-0.6856776	Yes	
