NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	AQP3	aquaporin 3 (Gill blood group) [Source:HGNC Symbol;Acc:HGNC:636]	1870	1.3452612161636353	-0.03270391	No	
row_1	CSF2RB	colony stimulating factor 2 receptor subunit beta [Source:HGNC Symbol;Acc:HGNC:2436]	3249	0.9063770174980164	-0.057783224	No	
row_2	HBD	hemoglobin subunit delta [Source:HGNC Symbol;Acc:HGNC:4829]	6711	0.5303168296813965	-0.14091517	No	
row_3	PPIF	peptidylprolyl isomerase F [Source:HGNC Symbol;Acc:HGNC:9259]	7436	0.5285114049911499	-0.1534885	No	
row_4	CD36	CD36 molecule [Source:HGNC Symbol;Acc:HGNC:1663]	8017	0.4705581068992615	-0.16301699	No	
row_5	AMMECR1	AMMECR nuclear protein 1 [Source:HGNC Symbol;Acc:HGNC:467]	9396	0.33444175124168396	-0.19469379	No	
row_6	LEPR	leptin receptor [Source:HGNC Symbol;Acc:HGNC:6554]	10694	0.22961997985839844	-0.22549097	No	
row_7	MINPP1	multiple inositol-polyphosphate phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:7102]	11931	0.13971370458602905	-0.25575224	No	
row_8	CCNE1	cyclin E1 [Source:HGNC Symbol;Acc:HGNC:1589]	12828	0.07741270214319229	-0.27796456	No	
row_9	SAC3D1	SAC3 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30179]	13217	0.048467814922332764	-0.28741089	No	
row_10	HBB	hemoglobin subunit beta [Source:HGNC Symbol;Acc:HGNC:4827]	14845	0.0	-0.32936656	No	
row_11	LAT	linker for activation of T cells [Source:HGNC Symbol;Acc:HGNC:18874]	15547	0.0	-0.34744337	No	
row_12	GZMB	granzyme B [Source:HGNC Symbol;Acc:HGNC:4709]	21660	0.0	-0.5050544	No	
row_13	HBG1	hemoglobin subunit gamma 1 [Source:HGNC Symbol;Acc:HGNC:4831]	22913	0.0	-0.5373399	No	
row_14	SNRNP25	small nuclear ribonucleoprotein U11/U12 subunit 25 [Source:HGNC Symbol;Acc:HGNC:14161]	26885	-0.05315522104501724	-0.63912755	No	
row_15	APOBEC3B	apolipoprotein B mRNA editing enzyme catalytic subunit 3B [Source:HGNC Symbol;Acc:HGNC:17352]	28690	-0.14203548431396484	-0.68400913	No	
row_16	CDC25A	cell division cycle 25A [Source:HGNC Symbol;Acc:HGNC:1725]	29138	-0.1744956076145172	-0.69352317	No	
row_17	ATP5MC3	ATP synthase membrane subunit c locus 3 [Source:HGNC Symbol;Acc:HGNC:843]	29175	-0.17677408456802368	-0.6924123	No	
row_18	MCM2	minichromosome maintenance complex component 2 [Source:HGNC Symbol;Acc:HGNC:6944]	30198	-0.2531726360321045	-0.71584636	No	
row_19	SLC7A5	solute carrier family 7 member 5 [Source:HGNC Symbol;Acc:HGNC:11063]	32254	-0.41628122329711914	-0.764037	No	
row_20	NUP85	nucleoporin 85 [Source:HGNC Symbol;Acc:HGNC:8734]	33145	-0.5032935738563538	-0.78118193	No	
row_21	FEN1	flap structure-specific endonuclease 1 [Source:HGNC Symbol;Acc:HGNC:3650]	33679	-0.5641337633132935	-0.788419	No	
row_22	COTL1	coactosin like F-actin binding protein 1 [Source:HGNC Symbol;Acc:HGNC:18304]	34108	-0.5706944465637207	-0.7928727	No	
row_23	RFC4	replication factor C subunit 4 [Source:HGNC Symbol;Acc:HGNC:9972]	35425	-0.6742445826530457	-0.81903094	Yes	
row_24	DTL	denticleless E3 ubiquitin protein ligase homolog [Source:HGNC Symbol;Acc:HGNC:30288]	35436	-0.6752368211746216	-0.8114997	Yes	
row_25	GINS2	GINS complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:24575]	35478	-0.6830977201461792	-0.80467725	Yes	
row_26	MELK	maternal embryonic leucine zipper kinase [Source:HGNC Symbol;Acc:HGNC:16870]	35519	-0.6880542635917664	-0.79777175	Yes	
row_27	HAT1	histone acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:4821]	35566	-0.6965914964675903	-0.7909225	Yes	
