NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GSN	gelsolin [Source:HGNC Symbol;Acc:HGNC:4620]	2126	1.2330058813095093	-0.04539582	No	
row_1	TRIM46	tripartite motif containing 46 [Source:HGNC Symbol;Acc:HGNC:19019]	2408	1.1257750988006592	-0.04396458	No	
row_2	HTT	huntingtin [Source:HGNC Symbol;Acc:HGNC:4851]	3851	0.7793195843696594	-0.07519504	No	
row_3	CRIP2	cysteine rich protein 2 [Source:HGNC Symbol;Acc:HGNC:2361]	4072	0.7375000715255737	-0.0751851	No	
row_4	CDKN1A	cyclin dependent kinase inhibitor 1A [Source:HGNC Symbol;Acc:HGNC:1784]	4074	0.7372170090675354	-0.069520764	No	
row_5	STIM1	stromal interaction molecule 1 [Source:HGNC Symbol;Acc:HGNC:11386]	4077	0.7368254065513611	-0.06388528	No	
row_6	ITGB7	integrin subunit beta 7 [Source:HGNC Symbol;Acc:HGNC:6162]	4126	0.7284818291664124	-0.059502337	No	
row_7	AARS1	alanyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:20]	7550	0.5183061957359314	-0.14391488	No	
row_8	CTC1	CST telomere replication complex component 1 [Source:HGNC Symbol;Acc:HGNC:26169]	9281	0.3435449004173279	-0.18594763	No	
row_9	EIF2AK2	eukaryotic translation initiation factor 2 alpha kinase 2 [Source:HGNC Symbol;Acc:HGNC:9437]	9439	0.3306242823600769	-0.1874509	No	
row_10	CASP3	caspase 3 [Source:HGNC Symbol;Acc:HGNC:1504]	9492	0.3267047703266144	-0.18627235	No	
row_11	ZNF358	zinc finger protein 358 [Source:HGNC Symbol;Acc:HGNC:16838]	9810	0.30563801527023315	-0.19210114	No	
row_12	TUBB3	tubulin beta 3 class III [Source:HGNC Symbol;Acc:HGNC:20772]	9888	0.29677075147628784	-0.19179937	No	
row_13	DCTPP1	dCTP pyrophosphatase 1 [Source:HGNC Symbol;Acc:HGNC:28777]	9932	0.2914096713066101	-0.1906608	No	
row_14	CBX5	chromobox 5 [Source:HGNC Symbol;Acc:HGNC:1555]	10031	0.28444138169288635	-0.19099662	No	
row_15	NUDC	nuclear distribution C, dynein complex regulator [Source:HGNC Symbol;Acc:HGNC:8045]	10913	0.22036291658878326	-0.21205121	No	
row_16	ACY1	aminoacylase 1 [Source:HGNC Symbol;Acc:HGNC:177]	10921	0.2198220193386078	-0.21053533	No	
