NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CDH1	cadherin 1 [Source:HGNC Symbol;Acc:HGNC:1748]	1	4.70621395111084	0.026326245	Yes	
row_1	IRF6	interferon regulatory factor 6 [Source:HGNC Symbol;Acc:HGNC:6121]	2	4.569709300994873	0.05191395	Yes	
row_2	CDH3	cadherin 3 [Source:HGNC Symbol;Acc:HGNC:1762]	6	4.474906921386719	0.0768934	Yes	
row_3	EPPK1	epiplakin 1 [Source:HGNC Symbol;Acc:HGNC:15577]	8	4.448622226715088	0.10177728	Yes	
row_4	MPZL2	myelin protein zero like 2 [Source:HGNC Symbol;Acc:HGNC:3496]	24	4.0548295974731445	0.12409482	Yes	
row_5	ST14	suppression of tumorigenicity 14 [Source:HGNC Symbol;Acc:HGNC:11344]	29	3.9902870655059814	0.14633486	Yes	
row_6	CEACAM1	CEA cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:1814]	30	3.9894046783447266	0.1686732	Yes	
row_7	OVOL1	ovo like transcriptional repressor 1 [Source:HGNC Symbol;Acc:HGNC:8525]	62	3.760802745819092	0.18893142	Yes	
row_8	SPINT1	serine peptidase inhibitor, Kunitz type 1 [Source:HGNC Symbol;Acc:HGNC:11246]	66	3.71763014793396	0.20967056	Yes	
row_9	FAM83H	family with sequence similarity 83 member H [Source:HGNC Symbol;Acc:HGNC:24797]	91	3.574972152709961	0.22906889	Yes	
row_10	ARHGEF16	Rho guanine nucleotide exchange factor 16 [Source:HGNC Symbol;Acc:HGNC:15515]	125	3.270238161087036	0.24652863	Yes	
row_11	CLDN1	claudin 1 [Source:HGNC Symbol;Acc:HGNC:2032]	140	3.1854522228240967	0.26400396	Yes	
row_12	MAL2	mal, T cell differentiation protein 2 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:13634]	181	3.1520049571990967	0.280621	Yes	
row_13	PKP3	plakophilin 3 [Source:HGNC Symbol;Acc:HGNC:9025]	192	3.106569290161133	0.2977579	Yes	
