NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GFI1	growth factor independent 1 transcriptional repressor [Source:HGNC Symbol;Acc:HGNC:4237]	1069	1.7697690725326538	-0.010799613	No	
row_1	GSE1	Gse1 coiled-coil protein [Source:HGNC Symbol;Acc:HGNC:28979]	1715	1.422715663909912	-0.013950901	No	
row_2	MZB1	marginal zone B and B1 cell specific protein [Source:HGNC Symbol;Acc:HGNC:30125]	2445	1.1108366250991821	-0.022226326	No	
row_3	PON1	paraoxonase 1 [Source:HGNC Symbol;Acc:HGNC:9204]	2806	1.0180608034133911	-0.021861503	No	
row_4	LDLRAD4	low density lipoprotein receptor class A domain containing 4 [Source:HGNC Symbol;Acc:HGNC:1224]	4320	0.6979761719703674	-0.054277886	No	
row_5	PALLD	palladin, cytoskeletal associated protein [Source:HGNC Symbol;Acc:HGNC:17068]	7610	0.5151969790458679	-0.1342465	No	
row_6	AEBP1	AE binding protein 1 [Source:HGNC Symbol;Acc:HGNC:303]	7617	0.5146558880805969	-0.1295217	No	
row_7	RCAN1	regulator of calcineurin 1 [Source:HGNC Symbol;Acc:HGNC:3040]	9409	0.3335951566696167	-0.17256504	No	
row_8	RAPGEF5	Rap guanine nucleotide exchange factor 5 [Source:HGNC Symbol;Acc:HGNC:16862]	10122	0.27551740407943726	-0.18832175	No	
row_9	RUFY3	RUN and FYVE domain containing 3 [Source:HGNC Symbol;Acc:HGNC:30285]	10329	0.257437527179718	-0.19119555	No	
row_10	LETM1	leucine zipper and EF-hand containing transmembrane protein 1 [Source:HGNC Symbol;Acc:HGNC:6556]	10424	0.24994653463363647	-0.19125086	No	
row_11	SCRN1	secernin 1 [Source:HGNC Symbol;Acc:HGNC:22192]	10854	0.2244434505701065	-0.20019068	No	
row_12	ADA	adenosine deaminase [Source:HGNC Symbol;Acc:HGNC:186]	11518	0.16951921582221985	-0.21568824	No	
row_13	TNFRSF21	TNF receptor superfamily member 21 [Source:HGNC Symbol;Acc:HGNC:13469]	12136	0.12481534481048584	-0.2304229	No	
row_14	GNA15	G protein subunit alpha 15 [Source:HGNC Symbol;Acc:HGNC:4383]	13183	0.05072477087378502	-0.25692785	No	
row_15	TMSB15A	thymosin beta 15a [Source:HGNC Symbol;Acc:HGNC:30744]	14751	0.0	-0.2973551	No	
row_16	SYK	spleen associated tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:11491]	17026	0.0	-0.3560223	No	
row_17	CD1E	CD1e molecule [Source:HGNC Symbol;Acc:HGNC:1638]	19910	0.0	-0.43040118	No	
row_18	CD1B	CD1b molecule [Source:HGNC Symbol;Acc:HGNC:1635]	19912	0.0	-0.43042699	No	
row_19	CD1A	CD1a molecule [Source:HGNC Symbol;Acc:HGNC:1634]	19913	0.0	-0.43042699	No	
row_20	NLGN4X	neuroligin 4 X-linked [Source:HGNC Symbol;Acc:HGNC:14287]	25005	0.0	-0.5617704	No	
row_21	CXXC5	CXXC finger protein 5 [Source:HGNC Symbol;Acc:HGNC:26943]	27128	-0.06982274353504181	-0.6158541	No	
row_22	CPVL	carboxypeptidase vitellogenic like [Source:HGNC Symbol;Acc:HGNC:14399]	28650	-0.13904988765716553	-0.6537762	No	
row_23	CDC25A	cell division cycle 25A [Source:HGNC Symbol;Acc:HGNC:1725]	29138	-0.1744956076145172	-0.66468596	No	
row_24	E2F7	E2F transcription factor 7 [Source:HGNC Symbol;Acc:HGNC:23820]	30010	-0.23962342739105225	-0.684885	No	
row_25	MCM2	minichromosome maintenance complex component 2 [Source:HGNC Symbol;Acc:HGNC:6944]	30198	-0.2531726360321045	-0.6873091	No	
row_26	RAG1	recombination activating 1 [Source:HGNC Symbol;Acc:HGNC:9831]	30416	-0.2697446644306183	-0.69035	No	
row_27	TFDP2	transcription factor Dp-2 [Source:HGNC Symbol;Acc:HGNC:11751]	30899	-0.3086617588996887	-0.69985867	No	
row_28	TUBB	tubulin beta class I [Source:HGNC Symbol;Acc:HGNC:20778]	31155	-0.3268609941005707	-0.7033384	No	
row_29	TUBB4B	tubulin beta 4B class IVb [Source:HGNC Symbol;Acc:HGNC:20771]	32819	-0.46880802512168884	-0.74179745	No	
row_30	GIHCG	GIHCG inhibitor of miR-200b/200a/429 expression [Source:HGNC Symbol;Acc:HGNC:52649]	33299	-0.5196229219436646	-0.74922854	No	
row_31	PALM2AKAP2	PALM2 and AKAP2 fusion [Source:HGNC Symbol;Acc:HGNC:33529]	33356	-0.526299238204956	-0.7456833	No	
row_32	DNTT	DNA nucleotidylexotransferase [Source:HGNC Symbol;Acc:HGNC:2983]	33727	-0.5653150081634521	-0.74986905	No	
row_33	ARPP21	cAMP regulated phosphoprotein 21 [Source:HGNC Symbol;Acc:HGNC:16968]	33843	-0.5653150081634521	-0.74747604	No	
row_34	GALNT7	polypeptide N-acetylgalactosaminyltransferase 7 [Source:HGNC Symbol;Acc:HGNC:4129]	34932	-0.6199968457221985	-0.76966715	No	
row_35	MIR646HG	MIR646 host gene [Source:HGNC Symbol;Acc:HGNC:27659]	35329	-0.6617769002914429	-0.7736091	Yes	
row_36	DTL	denticleless E3 ubiquitin protein ligase homolog [Source:HGNC Symbol;Acc:HGNC:30288]	35436	-0.6752368211746216	-0.76994175	Yes	
row_37	MELK	maternal embryonic leucine zipper kinase [Source:HGNC Symbol;Acc:HGNC:16870]	35519	-0.6880542635917664	-0.7655336	Yes	
row_38	FAIM	Fas apoptotic inhibitory molecule [Source:HGNC Symbol;Acc:HGNC:18703]	35719	-0.7210482954978943	-0.7638312	Yes	
row_39	CEP128	centrosomal protein 128 [Source:HGNC Symbol;Acc:HGNC:20359]	35804	-0.7372511625289917	-0.7590082	Yes	
row_40	TSHR	thyroid stimulating hormone receptor [Source:HGNC Symbol;Acc:HGNC:12373]	35827	-0.7414169907569885	-0.75254625	Yes	
row_41	MYB	MYB proto-oncogene, transcription factor [Source:HGNC Symbol;Acc:HGNC:7545]	35904	-0.7547273635864258	-0.7473512	Yes	
row_42	MCM4	minichromosome maintenance complex component 4 [Source:HGNC Symbol;Acc:HGNC:6947]	36394	-0.8345150947570801	-0.75205475	Yes	
row_43	HMGB3	high mobility group box 3 [Source:HGNC Symbol;Acc:HGNC:5004]	36461	-0.8501410484313965	-0.7456971	Yes	
row_44	HHIP	hedgehog interacting protein [Source:HGNC Symbol;Acc:HGNC:14866]	36528	-0.8596314787864685	-0.7392494	Yes	
row_45	GGH	gamma-glutamyl hydrolase [Source:HGNC Symbol;Acc:HGNC:4248]	36645	-0.8722518086433411	-0.7339721	Yes	
row_46	FANCI	FA complementation group I [Source:HGNC Symbol;Acc:HGNC:25568]	36647	-0.8728286623954773	-0.7257223	Yes	
row_47	LRR1	leucine rich repeat protein 1 [Source:HGNC Symbol;Acc:HGNC:19742]	36655	-0.8745481371879578	-0.7176111	Yes	
row_48	TYMS	thymidylate synthetase [Source:HGNC Symbol;Acc:HGNC:12441]	36660	-0.8756598830223083	-0.7094119	Yes	
row_49	CRNDE	colorectal neoplasia differentially expressed [Source:HGNC Symbol;Acc:HGNC:37078]	36802	-0.9087855815887451	-0.70443314	Yes	
row_50	KIF18B	kinesin family member 18B [Source:HGNC Symbol;Acc:HGNC:27102]	36813	-0.9131514430046082	-0.6960333	Yes	
row_51	SLC1A4	solute carrier family 1 member 4 [Source:HGNC Symbol;Acc:HGNC:10942]	36887	-0.9178973436355591	-0.6892138	Yes	
row_52	NSD2	nuclear receptor binding SET domain protein 2 [Source:HGNC Symbol;Acc:HGNC:12766]	36945	-0.9304265975952148	-0.6818628	Yes	
row_53	MCM10	minichromosome maintenance 10 replication initiation factor [Source:HGNC Symbol;Acc:HGNC:18043]	37060	-0.9646201133728027	-0.67565805	Yes	
row_54	CEP70	centrosomal protein 70 [Source:HGNC Symbol;Acc:HGNC:29972]	37342	-1.0295048952102661	-0.67314655	Yes	
row_55	MPP1	membrane palmitoylated protein 1 [Source:HGNC Symbol;Acc:HGNC:7219]	37366	-1.0392448902130127	-0.6638866	Yes	
row_56	NUSAP1	nucleolar and spindle associated protein 1 [Source:HGNC Symbol;Acc:HGNC:18538]	37393	-1.0461161136627197	-0.6546389	Yes	
row_57	RRM2	ribonucleotide reductase regulatory subunit M2 [Source:HGNC Symbol;Acc:HGNC:10452]	37437	-1.0596692562103271	-0.6457012	Yes	
row_58	DIAPH3	diaphanous related formin 3 [Source:HGNC Symbol;Acc:HGNC:15480]	37502	-1.0855940580368042	-0.63705957	Yes	
row_59	BUB1	BUB1 mitotic checkpoint serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:1148]	37533	-1.094598650932312	-0.62745535	Yes	
row_60	AURKA	aurora kinase A [Source:HGNC Symbol;Acc:HGNC:11393]	37572	-1.1138697862625122	-0.6178748	Yes	
row_61	PRR11	proline rich 11 [Source:HGNC Symbol;Acc:HGNC:25619]	37625	-1.131528615951538	-0.608488	Yes	
row_62	UBE2C	ubiquitin conjugating enzyme E2 C [Source:HGNC Symbol;Acc:HGNC:15937]	37652	-1.1413666009902954	-0.59833723	Yes	
row_63	UHRF1	ubiquitin like with PHD and ring finger domains 1 [Source:HGNC Symbol;Acc:HGNC:12556]	37669	-1.1518059968948364	-0.5878294	Yes	
row_64	ATAD2	ATPase family AAA domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30123]	37710	-1.16407310962677	-0.5778245	Yes	
row_65	NEIL3	nei like DNA glycosylase 3 [Source:HGNC Symbol;Acc:HGNC:24573]	37732	-1.1737359762191772	-0.56723773	Yes	
row_66	RAD51AP1	RAD51 associated protein 1 [Source:HGNC Symbol;Acc:HGNC:16956]	37770	-1.1872990131378174	-0.55693525	Yes	
row_67	TTK	TTK protein kinase [Source:HGNC Symbol;Acc:HGNC:12401]	37814	-1.206197738647461	-0.5466083	Yes	
row_68	CKS2	CDC28 protein kinase regulatory subunit 2 [Source:HGNC Symbol;Acc:HGNC:2000]	37815	-1.2062044143676758	-0.5351719	Yes	
row_69	GINS1	GINS complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:28980]	37842	-1.2296905517578125	-0.5241837	Yes	
row_70	E2F2	E2F transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:3114]	37860	-1.239446997642517	-0.5128708	Yes	
row_71	CDCA2	cell division cycle associated 2 [Source:HGNC Symbol;Acc:HGNC:14623]	37929	-1.2746319770812988	-0.50254	Yes	
row_72	CCNB1	cyclin B1 [Source:HGNC Symbol;Acc:HGNC:1579]	37960	-1.2930268049240112	-0.49105442	Yes	
row_73	HMMR	hyaluronan mediated motility receptor [Source:HGNC Symbol;Acc:HGNC:5012]	37997	-1.3099696636199951	-0.479563	Yes	
row_74	SGO2	shugoshin 2 [Source:HGNC Symbol;Acc:HGNC:30812]	38000	-1.3105741739273071	-0.4671887	Yes	
row_75	KIF2C	kinesin family member 2C [Source:HGNC Symbol;Acc:HGNC:6393]	38005	-1.3165042400360107	-0.45480976	Yes	
row_76	NDC80	NDC80 kinetochore complex component [Source:HGNC Symbol;Acc:HGNC:16909]	38029	-1.3309789896011353	-0.44278377	Yes	
