NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EPHB6	EPH receptor B6 [Source:HGNC Symbol;Acc:HGNC:3396]	219	2.9521067142486572	0.00439722	No	
row_1	CD3D	CD3d molecule [Source:HGNC Symbol;Acc:HGNC:1673]	835	2.000094413757324	-0.0047613694	No	
row_2	TRBC2	T cell receptor beta constant 2 [Source:HGNC Symbol;Acc:HGNC:12157]	1328	1.6275945901870728	-0.011994149	No	
row_3	VAV1	vav guanine nucleotide exchange factor 1 [Source:HGNC Symbol;Acc:HGNC:12657]	1410	1.5527112483978271	-0.008792092	No	
row_4	STAT5A	signal transducer and activator of transcription 5A [Source:HGNC Symbol;Acc:HGNC:11366]	2334	1.1585901975631714	-0.0288396	No	
row_5	LCK	LCK proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6524]	2527	1.0857510566711426	-0.030121487	No	
row_6	ATN1	atrophin 1 [Source:HGNC Symbol;Acc:HGNC:3033]	2792	1.0219709873199463	-0.033494305	No	
row_7	RBCK1	RANBP2-type and C3HC4-type zinc finger containing 1 [Source:HGNC Symbol;Acc:HGNC:15864]	2879	0.9949226975440979	-0.032329492	No	
row_8	CHI3L2	chitinase 3 like 2 [Source:HGNC Symbol;Acc:HGNC:1933]	2897	0.9874417185783386	-0.029395442	No	
row_9	TRAPPC6A	trafficking protein particle complex 6A [Source:HGNC Symbol;Acc:HGNC:23069]	3328	0.8902515172958374	-0.037536602	No	
row_10	MFHAS1	malignant fibrous histiocytoma amplified sequence 1 [Source:HGNC Symbol;Acc:HGNC:16982]	3340	0.8870542049407959	-0.034789726	No	
row_11	RCE1	Ras converting CAAX endopeptidase 1 [Source:HGNC Symbol;Acc:HGNC:13721]	3604	0.8289797902107239	-0.038796403	No	
row_12	PMS2P1	PMS1 homolog 2, mismatch repair system component pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:9123]	3701	0.810809314250946	-0.03852123	No	
row_13	IL10	interleukin 10 [Source:HGNC Symbol;Acc:HGNC:5962]	4471	0.6750409603118896	-0.05621626	No	
row_14	RHOH	ras homolog family member H [Source:HGNC Symbol;Acc:HGNC:686]	4709	0.6395120620727539	-0.060194455	No	
row_15	NELFA	negative elongation factor complex member A [Source:HGNC Symbol;Acc:HGNC:12768]	4862	0.621416449546814	-0.062023517	No	
row_16	LIG4	DNA ligase 4 [Source:HGNC Symbol;Acc:HGNC:6601]	4922	0.6123008131980896	-0.06146464	No	
row_17	GATA3	GATA binding protein 3 [Source:HGNC Symbol;Acc:HGNC:4172]	5369	0.5891080498695374	-0.07105166	No	
row_18	DNAJC5	DnaJ heat shock protein family (Hsp40) member C5 [Source:HGNC Symbol;Acc:HGNC:16235]	5476	0.5808824896812439	-0.07182277	No	
row_19	SH2D1A	SH2 domain containing 1A [Source:HGNC Symbol;Acc:HGNC:10820]	5835	0.5368697047233582	-0.07929935	No	
row_20	ITM2A	integral membrane protein 2A [Source:HGNC Symbol;Acc:HGNC:6173]	5858	0.5368697047233582	-0.07803596	No	
row_21	TRAT1	T cell receptor associated transmembrane adaptor 1 [Source:HGNC Symbol;Acc:HGNC:30698]	6551	0.5368697047233582	-0.0942005	No	
row_22	MAZ	MYC associated zinc finger protein [Source:HGNC Symbol;Acc:HGNC:6914]	7483	0.5246323943138123	-0.11662373	No	
row_23	PEX1	peroxisomal biogenesis factor 1 [Source:HGNC Symbol;Acc:HGNC:8850]	7488	0.5239626169204712	-0.11493625	No	
row_24	THAP9-AS1	THAP9 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:44172]	7638	0.51231449842453	-0.11706031	No	
row_25	ZNF84	zinc finger protein 84 [Source:HGNC Symbol;Acc:HGNC:13159]	7664	0.5089666843414307	-0.11597036	No	
