NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PPP2R5B	protein phosphatase 2 regulatory subunit B'beta [Source:HGNC Symbol;Acc:HGNC:9310]	1088	1.7573305368423462	-0.019274421	No	
row_1	ZNF385A	zinc finger protein 385A [Source:HGNC Symbol;Acc:HGNC:17521]	1720	1.42112135887146	-0.028411169	No	
row_2	SFN	stratifin [Source:HGNC Symbol;Acc:HGNC:10773]	2866	0.9986625909805298	-0.05301685	No	
row_3	PSMB8	proteasome 20S subunit beta 8 [Source:HGNC Symbol;Acc:HGNC:9545]	3490	0.8566232919692993	-0.06481372	No	
row_4	CDKN1A	cyclin dependent kinase inhibitor 1A [Source:HGNC Symbol;Acc:HGNC:1784]	4074	0.7372170090675354	-0.07618033	No	
row_5	PSMB9	proteasome 20S subunit beta 9 [Source:HGNC Symbol;Acc:HGNC:9546]	4138	0.726516842842102	-0.07412281	No	
row_6	RAD50	RAD50 double strand break repair protein [Source:HGNC Symbol;Acc:HGNC:9816]	5730	0.5495502948760986	-0.11257024	No	
row_7	CDKN2A	cyclin dependent kinase inhibitor 2A [Source:HGNC Symbol;Acc:HGNC:1787]	6023	0.5368697047233582	-0.117411785	No	
row_8	H4C13	H4 clustered histone 13 [Source:HGNC Symbol;Acc:HGNC:4791]	6025	0.5368697047233582	-0.11471057	No	
row_9	H2BC9	H2B clustered histone 9 [Source:HGNC Symbol;Acc:HGNC:4755]	6062	0.5368697047233582	-0.11291655	No	
row_10	H3-4	H3.4 histone [Source:HGNC Symbol;Acc:HGNC:4778]	6215	0.5368697047233582	-0.11412928	No	
row_11	PIAS4	protein inhibitor of activated STAT 4 [Source:HGNC Symbol;Acc:HGNC:17002]	7928	0.4800214171409607	-0.15606624	No	
row_12	PSME4	proteasome activator subunit 4 [Source:HGNC Symbol;Acc:HGNC:20635]	8639	0.4033016562461853	-0.1724209	No	
row_13	TP53BP1	tumor protein p53 binding protein 1 [Source:HGNC Symbol;Acc:HGNC:11999]	8839	0.3828536868095398	-0.17563424	No	
row_14	PSMA2	proteasome 20S subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:9531]	9176	0.35404878854751587	-0.18254495	No	
row_15	CDC16	cell division cycle 16 [Source:HGNC Symbol;Acc:HGNC:1720]	9294	0.34277135133743286	-0.18383643	No	
row_16	PSME3	proteasome activator subunit 3 [Source:HGNC Symbol;Acc:HGNC:9570]	9514	0.324489027261734	-0.18786463	No	
row_17	ANAPC2	anaphase promoting complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:19989]	9558	0.3209829330444336	-0.18734871	No	
row_18	PPP2CB	protein phosphatase 2 catalytic subunit beta [Source:HGNC Symbol;Acc:HGNC:9300]	9734	0.3115084767341614	-0.19030236	No	
row_19	UBC	ubiquitin C [Source:HGNC Symbol;Acc:HGNC:12468]	9832	0.3038323223590851	-0.19127324	No	
