NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	H2AJ	H2A.J histone [Source:HGNC Symbol;Acc:HGNC:14456]	3550	0.8411421775817871	-0.084050395	No	
row_1	POLD4	DNA polymerase delta 4, accessory subunit [Source:HGNC Symbol;Acc:HGNC:14106]	5504	0.5763481259346008	-0.12926283	No	
row_2	H4C13	H4 clustered histone 13 [Source:HGNC Symbol;Acc:HGNC:4791]	6025	0.5368697047233582	-0.13783439	No	
row_3	H2BC9	H2B clustered histone 9 [Source:HGNC Symbol;Acc:HGNC:4755]	6062	0.5368697047233582	-0.13390979	No	
row_4	H3-4	H3.4 histone [Source:HGNC Symbol;Acc:HGNC:4778]	6215	0.5368697047233582	-0.13298015	No	
row_5	H2AB1	H2A.B variant histone 1 [Source:HGNC Symbol;Acc:HGNC:22516]	6917	0.5303168296813965	-0.14628409	No	
row_6	TINF2	TERF1 interacting nuclear factor 2 [Source:HGNC Symbol;Acc:HGNC:11824]	7852	0.4876958429813385	-0.16598907	No	
row_7	STN1	STN1 subunit of CST complex [Source:HGNC Symbol;Acc:HGNC:26200]	8425	0.429455429315567	-0.17687435	No	
row_8	DAXX	death domain associated protein [Source:HGNC Symbol;Acc:HGNC:2681]	8703	0.3971336781978607	-0.18043543	No	
row_9	RSF1	remodeling and spacing factor 1 [Source:HGNC Symbol;Acc:HGNC:18118]	8781	0.38942644000053406	-0.17890249	No	
row_10	CHTF18	chromosome transmission fidelity factor 18 [Source:HGNC Symbol;Acc:HGNC:18435]	8782	0.38940662145614624	-0.17538172	No	
row_11	ACD	ACD shelterin complex subunit and telomerase recruitment factor [Source:HGNC Symbol;Acc:HGNC:25070]	9131	0.357542484998703	-0.18113387	No	
row_12	CTC1	CST telomere replication complex component 1 [Source:HGNC Symbol;Acc:HGNC:26169]	9281	0.3435449004173279	-0.18187469	No	
row_13	POLA2	DNA polymerase alpha 2, accessory subunit [Source:HGNC Symbol;Acc:HGNC:30073]	9960	0.28923144936561584	-0.19676454	No	
