NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	C3	complement C3 [Source:HGNC Symbol;Acc:HGNC:1318]	71	3.6319797039031982	0.1435366	Yes	
row_1	GZMM	granzyme M [Source:HGNC Symbol;Acc:HGNC:4712]	84	3.6152074337005615	0.28792292	Yes	
row_2	CFB	complement factor B [Source:HGNC Symbol;Acc:HGNC:1037]	240	2.9179439544677734	0.40071532	Yes	
row_3	C1S	complement C1s [Source:HGNC Symbol;Acc:HGNC:1247]	330	2.581235408782959	0.5017327	Yes	
row_4	MASP1	mannan binding lectin serine peptidase 1 [Source:HGNC Symbol;Acc:HGNC:6901]	989	1.8619791269302368	0.55929375	Yes	
row_5	C4A	complement C4A (Rodgers blood group) [Source:HGNC Symbol;Acc:HGNC:1323]	999	1.8527443408966064	0.63321626	Yes	
row_6	C1R	complement C1r [Source:HGNC Symbol;Acc:HGNC:1246]	1009	1.840549111366272	0.70665073	Yes	
row_7	C4B	complement C4B (Chido blood group) [Source:HGNC Symbol;Acc:HGNC:1324]	1861	1.3502167463302612	0.7387534	Yes	
row_8	C2	complement C2 [Source:HGNC Symbol;Acc:HGNC:1248]	2524	1.0872797966003418	0.7652046	Yes	
row_9	CFD	complement factor D [Source:HGNC Symbol;Acc:HGNC:2771]	3205	0.9160419702529907	0.7843381	Yes	
row_10	COLEC11	collectin subfamily member 11 [Source:HGNC Symbol;Acc:HGNC:17213]	4754	0.6363897323608398	0.7699019	No	
row_11	MBL2	mannose binding lectin 2 [Source:HGNC Symbol;Acc:HGNC:6922]	5629	0.5608338713645935	0.76981723	No	
row_12	CRP	C-reactive protein [Source:HGNC Symbol;Acc:HGNC:2367]	6659	0.5303168296813965	0.7645152	No	
row_13	MASP2	mannan binding lectin serine peptidase 2 [Source:HGNC Symbol;Acc:HGNC:6902]	8023	0.4702571928501129	0.748199	No	
row_14	CFP	complement factor properdin [Source:HGNC Symbol;Acc:HGNC:8864]	8697	0.3982548117637634	0.746789	No	
row_15	IGLV1-51	immunoglobulin lambda variable 1-51 [Source:HGNC Symbol;Acc:HGNC:5882]	8977	0.3727608323097229	0.7545158	No	
row_16	IGHV3-13	immunoglobulin heavy variable 3-13 [Source:HGNC Symbol;Acc:HGNC:5581]	11866	0.1424972414970398	0.685767	No	
row_17	COLEC10	collectin subfamily member 10 [Source:HGNC Symbol;Acc:HGNC:2220]	11996	0.1358962506055832	0.6878805	No	
row_18	IGLV2-11	immunoglobulin lambda variable 2-11 [Source:HGNC Symbol;Acc:HGNC:5887]	14225	0.0	0.63044304	No	
row_19	IGLV2-14	immunoglobulin lambda variable 2-14 [Source:HGNC Symbol;Acc:HGNC:5888]	14226	0.0	0.63044304	No	
row_20	IGLV2-23	immunoglobulin lambda variable 2-23 [Source:HGNC Symbol;Acc:HGNC:5890]	14228	0.0	0.6304173	No	
