NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RAB5IF	RAB5 interacting factor [Source:HGNC Symbol;Acc:HGNC:15870]	2649	1.0554670095443726	-0.061162584	No	
row_1	SLC52A2	solute carrier family 52 member 2 [Source:HGNC Symbol;Acc:HGNC:30224]	2734	1.032066822052002	-0.056232743	No	
row_2	MRPL12	mitochondrial ribosomal protein L12 [Source:HGNC Symbol;Acc:HGNC:10378]	4070	0.7376618981361389	-0.08564116	No	
row_3	LAGE3	L antigen family member 3 [Source:HGNC Symbol;Acc:HGNC:26058]	7784	0.495509535074234	-0.17813855	No	
row_4	BYSL	bystin like [Source:HGNC Symbol;Acc:HGNC:1157]	9576	0.31990575790405273	-0.22219907	No	
row_5	PFDN6	prefoldin subunit 6 [Source:HGNC Symbol;Acc:HGNC:4926]	10351	0.25619518756866455	-0.24042897	No	
row_6	PKMYT1	protein kinase, membrane associated tyrosine/threonine 1 [Source:HGNC Symbol;Acc:HGNC:29650]	11112	0.2049526572227478	-0.25864974	No	
row_7	STIP1	stress induced phosphoprotein 1 [Source:HGNC Symbol;Acc:HGNC:11387]	12632	0.09387412667274475	-0.29723942	No	
row_8	BOLA2	bolA family member 2 [Source:HGNC Symbol;Acc:HGNC:29488]	15174	0.0	-0.3628729	No	
row_9	TUBA1A	tubulin alpha 1a [Source:HGNC Symbol;Acc:HGNC:20766]	26219	-0.004174794070422649	-0.6481083	No	
row_10	ORMDL2	ORMDL sphingolipid biosynthesis regulator 2 [Source:HGNC Symbol;Acc:HGNC:16037]	26899	-0.05396122485399246	-0.6652755	No	
row_11	MARS1	methionyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:6898]	27475	-0.08640284091234207	-0.6795333	No	
row_12	JMJD6	jumonji domain containing 6, arginine demethylase and lysine hydroxylase [Source:HGNC Symbol;Acc:HGNC:19355]	27516	-0.08914279192686081	-0.6799533	No	
row_13	QPRT	quinolinate phosphoribosyltransferase [Source:HGNC Symbol;Acc:HGNC:9755]	27639	-0.09991682320833206	-0.68241715	No	
row_14	PTTG3P	pituitary tumor-transforming 3, pseudogene [Source:HGNC Symbol;Acc:HGNC:13422]	28485	-0.13803747296333313	-0.7032938	No	
row_15	TOMM70	translocase of outer mitochondrial membrane 70 [Source:HGNC Symbol;Acc:HGNC:11985]	28654	-0.13954798877239227	-0.70667326	No	
row_16	APOBEC3B	apolipoprotein B mRNA editing enzyme catalytic subunit 3B [Source:HGNC Symbol;Acc:HGNC:17352]	28690	-0.14203548431396484	-0.70660025	No	
row_17	ELOC	elongin C [Source:HGNC Symbol;Acc:HGNC:11617]	29115	-0.17237985134124756	-0.7163663	No	
row_18	CDC25A	cell division cycle 25A [Source:HGNC Symbol;Acc:HGNC:1725]	29138	-0.1744956076145172	-0.7157342	No	
