NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CDK6	cyclin dependent kinase 6 [Source:HGNC Symbol;Acc:HGNC:1777]	1971	1.2848789691925049	-0.039305463	No	
row_1	PON3	paraoxonase 3 [Source:HGNC Symbol;Acc:HGNC:9206]	1992	1.2727748155593872	-0.028374001	No	
row_2	SOX4	SRY-box transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:11200]	3276	0.9014443755149841	-0.05337422	No	
row_3	TMEFF1	transmembrane protein with EGF like and two follistatin like domains 1 [Source:HGNC Symbol;Acc:HGNC:11866]	4932	0.6103398203849792	-0.09059219	No	
row_4	CCNT1	cyclin T1 [Source:HGNC Symbol;Acc:HGNC:1599]	8339	0.4389236569404602	-0.17453668	No	
row_5	MFN2	mitofusin 2 [Source:HGNC Symbol;Acc:HGNC:16877]	8586	0.40881556272506714	-0.17720777	No	
row_6	RRP1	ribosomal RNA processing 1 [Source:HGNC Symbol;Acc:HGNC:18785]	9109	0.36027848720550537	-0.18743764	No	
row_7	SNRNP200	small nuclear ribonucleoprotein U5 subunit 200 [Source:HGNC Symbol;Acc:HGNC:30859]	10303	0.2599824368953705	-0.21588482	No	
row_8	GAPDH	glyceraldehyde-3-phosphate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4141]	11696	0.15876957774162292	-0.25037754	No	
row_9	ZNF300	zinc finger protein 300 [Source:HGNC Symbol;Acc:HGNC:13091]	11720	0.15639285743236542	-0.24956444	No	
row_10	ZMYM2	zinc finger MYM-type containing 2 [Source:HGNC Symbol;Acc:HGNC:12989]	12660	0.09164800494909286	-0.27297115	No	
row_11	RECQL4	RecQ like helicase 4 [Source:HGNC Symbol;Acc:HGNC:9949]	12785	0.08142369240522385	-0.27543864	No	
row_12	TWIST1	twist family bHLH transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:12428]	14825	0.0	-0.3280553	No	
row_13	GABRB2	gamma-aminobutyric acid type A receptor subunit beta2 [Source:HGNC Symbol;Acc:HGNC:4082]	16379	0.0	-0.36813062	No	
row_14	MYCN	MYCN proto-oncogene, bHLH transcription factor [Source:HGNC Symbol;Acc:HGNC:7559]	18168	0.0	-0.4142702	No	
row_15	EIF4A1	eukaryotic translation initiation factor 4A1 [Source:HGNC Symbol;Acc:HGNC:3282]	23605	0.0	-0.55454683	No	
row_16	TUBA1A	tubulin alpha 1a [Source:HGNC Symbol;Acc:HGNC:20766]	26219	-0.004174794070422649	-0.62193805	No	
row_17	MLLT11	MLLT11 transcription factor 7 cofactor [Source:HGNC Symbol;Acc:HGNC:16997]	26511	-0.025017138570547104	-0.62922233	No	
row_18	RCC2	regulator of chromosome condensation 2 [Source:HGNC Symbol;Acc:HGNC:30297]	27789	-0.10109726339578629	-0.6612662	No	
row_19	ILF3	interleukin enhancer binding factor 3 [Source:HGNC Symbol;Acc:HGNC:6038]	28321	-0.12700988352298737	-0.67382634	No	
row_20	CDC25A	cell division cycle 25A [Source:HGNC Symbol;Acc:HGNC:1725]	29138	-0.1744956076145172	-0.6933139	No	
